abandonment,əbændənmənt
aggregation,æɡɹəɡeɪʃən
aggressions,əɡɹɛʃənz
agonizingly,æɡənaɪzɪŋɫi
agoraphobia,əɡɔɹəfoʊbiə
agostinelli,ɑɡoʊstinɛɫi
agrarianism,əɡɹɛɹiənɪzəm
agriculture,æɡɹɪkəɫtʃɝ
agronomists,əɡɹɑnəmɪsts
ailurophile,eɪɫʊɹəfaɪəɫ
ailurophile,eɪɫʊɹəfaɪɫ
albatrosses,æɫbətɹɑsɪz
albendazole,ɑɫbəndəzoʊɫi
albertville,æɫbɝtvɪɫ
albuquerque,æɫbəkɝki
alessandras,æɫɛsændɹəz
alexandrine,æɫəɡzændɹin
alexopoulos,æɫɪɡzɑpəɫɪs
algorithmic,æɫɡɝɪðəmɪk
alislamiyya,æɫəsɫəmiə
allegations,æɫəɡeɪʃənz
alleghenies,æɫəɡɛniz
alleghenies,æɫəɡeɪniz
allegiances,æɫidʒiænsɪz
allegiances,əɫidʒənsɪz
allegorical,æɫəɡɔɹəkəɫ
allensworth,æɫənzwɝθ
alleviating,əɫivieɪtɪŋ
alleviation,əɫivieɪʃən
allgemeines,ɔɫɡəmaɪnz
allocations,æɫəkeɪʃənz
alphabetize,æɫfəbətaɪz
alphametric,æɫfəmɛtɹɪk
alterations,ɔɫtɝeɪʃənz
altercation,ɑɫtɝkeɪʃən
alternacare,ɔɫtɝnəkɛɹ
alternately,ɔɫtɝnətɫi
alternating,ɔɫtɝneɪtɪŋ
alternation,ɔɫtɝneɪʃən
alternative,ɔɫtɝnətɪv
altschiller,ɔɫtʃɪɫɝ
altzheimers,ɑɫtshaɪmɝz
amalgamated,əmæɫɡəmeɪtɪd
amalgamates,əmæɫɡəmeɪts
amaryllises,æmɝɪɫəsəz
ambassadors,æmbæsədɝz
ambassadors,æmbæsədɝz
ambiguities,æmbəɡjuətiz
ambitiously,æmbɪʃəsɫi
ambivalence,æmbɪvəɫəns
ameliorated,əmiɫjɝeɪtɪd
americanism,əmɛɹɪkənɪzəm
americanize,əmɛɹəkənaɪz
amerifirsts,əmɛɹɪfɝsts
amherstdale,æmɝstdeɪɫ
ammunitions,æmjənɪʃənz
amoxicillin,əmɔksəsɪɫɪn
amphetamine,æmfɛtəmin
amphophilic,æmfəfɪɫɪk
amputations,æmpjuteɪʃənz
amyotrophic,æmaɪətɹoʊfɪk
amyotrophic,æmiətɹoʊfɪk
anachronism,ənækɹənɪzəm
anaesthesia,ænəsθiʒə
anaesthetic,ænəsθɛtɪk
analyticity,ænəɫətɪsəti
anaphylaxis,ænəfəɫæksɪs
androgynous,ændɹɔdʒənəs
anecdotally,ænəkdoʊtəɫi
anecdotally,ænɪkdoʊtəɫi
anencephaly,ænɪnsɛfəɫi
anesthetics,ænəsθɛtɪks
anesthetist,ənɛsθətəst
angelically,ændʒɛɫɪkɫi
angiomedics,ændʒioʊmɛdɪks
angioplasty,ændʒiəpɫæsti
angiotensin,ændʒioʊtɛnsɪn
anglophones,ænɡɫəfoʊnz
animosities,ænəmɑsətiz
annihilated,ənaɪəɫeɪtɪd
anniversary,ænəvɝsɝi
annotations,ænəteɪʃənz
announcment,ənaʊnsmənt
anonymously,ənɑnəməsɫi
antagonisms,æntæɡənɪzəmz
antagonists,æntæɡənəsts
antagonized,æntæɡənaɪzd
antarcticas,æntɑɹktɪkəz
antecedents,æntɛsədənts
antecedents,æntɪsidənts
antechamber,æntɛtʃeɪmbɝ
anthologies,ænθɑɫədʒiz
anthologist,ænθɔɫəɡɪst
antibiotics,æntaɪbaɪɑtɪks
antibiotics,æntibaɪɑtɪks
anticipated,æntɪsəpeɪtɪd
anticipates,æntɪsəpeɪts
anticyclone,æntisaɪkɫoʊn
antidumping,æntaɪdəmpɪŋ
antidumping,æntidəmpɪŋ
antimissile,æntaɪmɪsəɫ
antioxidant,æntiɑksədənt
antipathies,æntɪpəθiz
antipoverty,æntaɪpɑvɝti
antipoverty,æntipɑvɝti
antiquities,æntɪkwətiz
antismoking,æntaɪsmoʊkɪŋ
antismoking,æntismoʊkɪŋ
aphrodisiac,æfɹoʊdiziæk
apocalyptic,əpɑkəɫɪptɪk
apologising,əpɑɫədʒaɪzɪŋ
apologizing,əpɑɫədʒaɪzɪŋ
apostrophes,əpɑstɹəfiz
appalachian,æpəɫætʃən
appalachian,æpəɫeɪʃən
appalachian,æpəɫeɪtʃən
appallingly,əpɔɫɪŋɫi
apparatchik,æpɝætʃɪk
apparatuses,æpɝætəsəz
apparitions,æpɝɪʃənz
appealingly,əpiɫɪŋɫi
appearances,əpɪɹənsəz
appeasement,əpizmənt
appellation,æpəɫeɪʃən
appenzeller,æpɪnzəɫɝ
application,æpɫəkeɪʃən
applicators,æpɫəkeɪtɝz
appointment,əpɔɪntmənt
apportioned,əpɔɹʃənd
appreciable,əpɹiʃəbəɫ
appreciably,əpɹiʃəbɫi
appreciated,əpɹiʃieɪtɪd
appreciates,əpɹiʃieɪts
apprehended,æpɹɪhɛndɪd
apprenticed,əpɹɛntəst
apprentices,əpɹɛntəsɪz
approaching,əpɹoʊtʃɪŋ
approbation,æpɹəbeɪʃən
appropriate,əpɹoʊpɹieɪt
appropriate,əpɹoʊpɹiət
approvingly,əpɹuvɪŋɫi
approximate,əpɹɑksəmeɪt
approximate,əpɹɑksəmət
aquaculture,ækwəkəɫtʃɝ
arbitragers,ɑɹbɪtɹɑʒɝz
arbitragers,ɑɹbɪtɹɑʒɝz
arbitrageur,ɑɹbɪtɹɑʒɝ
arbitraging,ɑɹbətɹɑdʒɪŋ
arbitrarily,ɑɹbɪtɹɛɹəɫi
arbitrating,ɑɹbətɹeɪtɪŋ
arbitration,ɑɹbɪtɹeɪʃən
arbitrators,ɑɹbətɹeɪtɝz
arbitrators,ɑɹbɪtɹeɪtɝz
arbitrators,ɑɹbətɹeɪtɝz
archaeology,ɑɹkiɑɫədʒi
archambault,ɑɹʃəmboʊ
archdiocese,ɑɹtʃdaɪəsəs
archdiocese,ɑɹtʃdaɪəsiz
archipelago,ɑɹkəpɛɫəɡoʊ
archipelago,ɑɹtʃəpəɫeɪɡoʊ
architraves,ɑɹkətɹeɪvz
arcidiacono,ɑɹtʃidiɑkoʊnoʊ
arganbright,ɑɹɡænbɹaɪt
argenbright,ɑɹɡɪnbɹaɪt
argentinian,ɑɹdʒəntɪniən
argosystems,ɑɹɡoʊsɪstəmz
arianespace,ɛɹiænspeɪs
aristocracy,ɛɹəstɑkɹəsi
aristocrats,ɝɪstəkɹæts
arkadelphia,ɑɹkədɛɫfiə
arraignment,ɝeɪnmənt
arrangement,ɝeɪndʒmənt
arrhythmias,ɝɪðmiəz
arrowsmiths,æɹoʊsmɪθs
arrowsmiths,ɛɹoʊsmɪθs
articulated,ɑɹtɪkjəɫeɪtɪd
articulates,ɑɹtɪkjəɫəts
artiodactyl,ɑɹtioʊdæktəɫ
arunachalam,ɑɹunətʃɑɫəm
ascertained,æsɝteɪnd
ashenfelter,æʃənfɛɫtɝ
asphyxiated,æsfɪksieɪtɪd
asphyxiates,æsfɪksieɪts
aspirations,æspɝeɪʃənz
assassinate,əsæsəneɪt
assemblyman,əsɛmbɫimæn
assemblyman,əsɛmbɫimən
assemblymen,əsɛmbɫimɪn
assertively,əsɝtɪvɫi
assessments,əsɛsmənts
assiduously,əsɪdwəsɫi
assignments,əsaɪnmənts
assignments,əsaɪnmənts
assimilated,əsɪməɫeɪtɪd
associating,əsoʊsieɪtɪŋ
association,əsoʊsieɪʃən
association,əsoʊʃieɪʃən
associative,əsoʊʃətɪv
assumptions,əsəmpʃənz
astigmatism,əstɪɡmətɪzəm
astonishing,əstɑnɪʃɪŋ
astringents,əstɹɪndʒənts
astrologers,əstɹɑɫədʒɝz
astronautic,æstɹənɑtɪk
astronomers,əstɹɑnəmɝz
asymmetries,eɪsɪmətɹiz
athanassiou,ɑθənəsiu
athleticism,æθɫɛtɪsɪzm
atmospheric,ætməsfɛɹɪk
attachments,ətætʃmənts
attentively,ətɛntɪvɫi
attenuation,ətɛnjueɪʃən
attitudinal,ætətudənəɫ
attractions,ətɹækʃənz
attributing,ətɹɪbjətɪŋ
attribution,ætɹɪbjuʃən
auctioneers,ɔkʃənɪɹz
audiophiles,ɔdioʊfiɫz
audiotronic,ɔdioʊtɹɑnɪk
audiovisual,ɔdioʊvɪʒuəɫ
auditioning,ɑdɪʃənɪŋ
auditoriums,ɔdɪtɔɹiəmz
aufderheide,aʊfdɝhaɪd
aughenbaugh,ɔɛnbɔ
augmentable,ɑɡmɛntəbəɫ
augustinian,ɑɡəstɪniən
augustyniak,aʊɡəstɪniæk
aujourdhuis,oʊʒɔɹdwiz
australasia,ɔstɹəɫeɪʒə
australians,ɔstɹeɪɫjənz
australians,ɔstɹeɪɫjənz
authorities,əθɔɹətiz
authorities,əθɔɹɪtiz
authorizing,ɔθɝaɪzɪŋ
autographed,ɔtəɡɹæft
automobiles,ɔtəmoʊbiɫz
automobiles,ɔtəmoʊbiɫz
automotives,ɔtəmoʊtɪvz
automoviles,ɔtoʊmoʊviɫɛz
autopacific,ɔtoʊpəsɪfɪk
autotrophic,ɔtətɹoʊfɪk
autoworkers,ɔtoʊwɝkɝz
awesomeness,ɔsəmnɛs
awkwardness,ɔkwɝdnəs
azerbaijans,æzɝbaɪdʒɑnz
azerbaijans,ɑzɝbaɪdʒɑnz
azerbaijani,æzɝbaɪdʒɑni
azerbaijani,ɑzɝbaɪdʒɑni
babylonians,bæbəɫoʊniənz
babysitters,beɪbisɪtɝz
babysitting,beɪbisɪtɪŋ
bacchanalia,bækəneɪɫjə
backgrounds,bækɡɹaʊndz
backpacking,bækpækɪŋ
backpedaled,bækpɛdəɫd
backslashes,bæksɫæʃəz
backsliding,bæksɫaɪdɪŋ
backstreets,bækstits
backtracked,bæktɹækt
badalamenti,bɑdɑɫɑmɛnti
badertscher,bædɝtʃɝ
bagdasarian,bæɡdəsɛɹiən
baillargeon,bəɫɑɹdʒɪn
bainbridges,beɪnbɹɪdʒəz
bakersfield,beɪkɝzfiɫd
balanchines,bæɫəntʃinz
balbriggans,bæɫbɹɪɡənz
balcerowicz,bæɫsɛɹəwɪts
baldassarre,bɔɫdəsɑɹi
balestrieri,bɑɫɛstɹɪɹi
ballesteros,bæɫɪstɝoʊz
ballesteros,bəɫɛstɝoʊs
balloonists,bəɫunɪsts
ballplayers,bɔɫpɫeɪɝz
bandleaders,bændɫidɝz
bangladeshs,bæŋɫədɛʃɪz
bangladeshi,bæŋɫədɛʃi
bankamerica,bæŋkəmɛɹɪkə
bankholding,bæŋkhoʊɫdɪŋ
bankrolling,bæŋkɹoʊɫɪŋ
bankruptcys,bæŋkɹəpsiz
bankrupting,bæŋkɹəptɪŋ
bankvermont,bæŋkvɝmɑnt
barbecueing,bɑɹbɪkjuɪŋ
barbequeing,bɑɹbɪkjuɪŋ
barbiturate,bɑɹbɪtʃɝət
barraclough,bæɹəkɫaʊ
barrilleaux,bæɹɪɫoʊ
bartholomay,bɑɹθəɫɑmeɪ
bartholomew,bɑɹθɑɫəmju
bartlebaugh,bɑɹtəɫbɔ
bartlestein,bɑɹtəɫstaɪn
bartlestein,bɑɹtəɫstin
baryshnikov,bɝɪʃnɪkɑv
bashfulness,bæʃfəɫnɛs
baskerville,bæskɝvɪɫ
basketballs,bæskətbɔɫz
basketballs,bæskətbɔɫz
basketmaker,bæskətmeɪkɝ
batignolles,bætɪnjoʊɫəs
battenfield,bætənfiɫd
battipaglia,bætɪpæɡɫiə
battlefield,bætəɫfiɫd
battlefront,bætəɫfɹənt
battlements,bætəɫmənts
battleships,bætəɫʃɪps
bauernfeind,baʊɝnfaɪnd
baumgardner,baʊmɡɑɹdnɝ
baumgardner,bɑmɡɑɹdnɝ
baumgartner,baʊmɡɑɹtnɝ
baumgartner,bɑmɡɑɹtnɝ
beachcomber,bitʃkoʊmɝ
beachfronts,bitʃfɹɑnts
beanblossom,binbɫəsəm
bearishness,bɛɹɪʃnəs
beautifully,bjutəfɫi
bedingfield,bɛdɪŋfiɫd
beetlejuice,bitəɫdʒus
befriending,bɪfɹɛndɪŋ
behaviorist,bɪheɪvjɝɪst
beleaguered,bɪɫiɡɝd
belefiville,bəɫɛfəvɪɫ
beligerence,bəɫɪdʒɝəns
bellflowers,bɛɫfɫaʊɝz
belligerent,bəɫɪdʒɝənt
bellwethers,bɛɫwɛðɝz
bellyaching,bɛɫieɪkɪŋ
benedictine,bɛnədɪktin
benediction,bɛnədɪkʃən
benefactors,bɛnəfæktɝz
benefactors,bɛnəfæktɝz
beneficence,bənɛfəsəns
beneficials,bɛnəfɪʃəɫz
beneficiary,bɛnəfɪʃiɛɹi
benefitting,bɛnəfɪtɪŋ
benevolence,bənɛvəɫəns
benninghoff,bɛnɪŋhɔf
bensonhurst,bɛnsənhɝst
bentonville,bɛntənvɪɫ
bereavement,bɝivmənt
bergenfield,bɝɡənfiɫd
berlascones,bɛɹɫəskoʊniz
berlusconis,bɝɫəskoʊniz
bertelsmann,bɝtəɫzmən
bespectacle,bɪspɛktəkəɫ
bestsellers,bɛsɛɫɝz
bestsellers,bɛstsɛɫɝz
bestselling,bɛsɛɫɪŋ
bestselling,bɛstsɛɫɪŋ
bettencourt,bɛtɪnkɔɹt
bewildering,bɪwɪɫdɝɪŋ
bicarbonate,baɪkɑɹbənət
bicentenary,baɪsɛntɪnɛɹi
bickerstaff,bɪkɝstæf
biedermeier,bidɝmaɪɹ
bifurcation,baɪfɝkeɪʃən
bifurcation,bɪfɝkeɪʃən
biggerstaff,bɪɡɝstæf
bilaterally,baɪɫætɝəɫi
billancourt,bɪɫənkɔɹt
billingslea,bɪɫɪŋzɫi
billingsley,bɪɫɪŋzɫi
billionaire,bɪɫjənɛɹ
biochemical,baɪoʊkɛməkəɫ
biochemical,baɪoʊkɛmɪkəɫ
bioengineer,baɪoʊɛndʒənɪɹ
biofeedback,baɪoʊfidbæk
biographers,baɪɑɡɹəfɝz
biographies,baɪɑɡɹəfiz
biologicals,baɪəɫɑdʒɪkəɫz
biomaterial,baɪoʊmətɪɹiəɫ
biomedicals,baɪoʊmɛdɪkəɫz
biondolillo,bioʊndoʊɫɪɫoʊ
biopharmacy,baɪoʊfɑɹməsi
biosciences,baɪɔsaɪɛnsɪz
biospherian,baɪoʊsfɪɹiən
biotechnica,baɪoʊtɛknɪkə
birdfeather,bɝdfɛðɝ
birdfeeders,bɝdfidɝz
birdfeeders,bɝdfidɝz
birdwatcher,bɝdwɑtʃɝ
birthplaces,bɝθpɫeɪsɪz
birthrights,bɝθɹaɪts
bisexuality,baɪsɛkʃuæɫəti
bishopsgate,bɪʃəpsɡeɪt
bissonnette,bɪsənɛt
bittermanns,bɪtɝmənz
bittersweet,bɪtɝswit
blackboards,bɫækbɔɹdz
blacklisted,bɫækɫɪstɪd
blackmailed,bɫækmeɪɫd
blackstones,bɫækstoʊnz
blackwelder,bɫækwɛɫdɝ
blamestrorm,bɫeɪmstɔɹm
blanchfield,bɫæntʃfiɫd
blankenburg,bɫæŋkənbɝɡ
blankenhorn,bɫæŋkɪnhɝn
blankenship,bɫæŋkənʃɪp
blankinship,bɫæŋkɪnʃɪp
blasphemous,bɫæsfəməs
blassingame,bɫɑsɪŋɡɑmi
blazejewski,bɫəzeɪɛfski
blepharisma,bɫɛfɝɪzmə
blessedness,bɫɛsədnəs
blessington,bɫɛsɪŋtən
blindfolded,bɫaɪndfoʊɫdɪd
bloatedness,bɫoʊtɪdnəs
blockbuster,bɫɑkbəstɝ
blockhouses,bɫɑkhaʊsəz
blogosphere,bɫɔɡəsfɪɹ
blogosphere,bɫɔɡɔsfiɹ
bloodhounds,bɫədhaʊndz
bloodhounds,bɫədhaʊnz
bloodstains,bɫədsteɪnz
bloodstream,bɫədstɹim
bloodsucker,bɫədsəkɝ
bloodsworth,bɫədzwɝθ
bloomington,bɫumɪŋtən
blowtorches,bɫoʊtɔɹtʃəz
bludgeoning,bɫədʒənɪŋ
blueberries,bɫubɛɹiz
blueblooded,bɫubɫədəd
bluebonnets,bɫubɑnəts
bluebottles,bɫubɔtəɫz
bluepencils,bɫupɛnsəɫz
blumenshine,bɫəmɪnʃaɪn
blumenstein,bɫumɛnstaɪn
blumenstein,bɫumɛnstin
blumenstock,bɫumɛnstɑk
bodenheimer,bɑdɪnhaɪmɝ
bogdanowicz,bəɡdænəwɪtʃ
bogenschutz,bɑɡɪnʃəts
boilermaker,bɔɪɫɝmeɪkɝ
boilerplate,bɔɪɫɝpɫeɪt
bollettieri,bəɫɛtiɛɹi
bombardiers,bɑmbɝdɪɹz
bombardment,bɑmbɑɹdmənt
bonaventura,boʊnɑvɛntʊɹə
bonaventure,bɑnəvɛntʃɝ
bondholders,bɑndhoʊɫdɝz
bondholders,bɑndhoʊɫdɝz
bonecrusher,boʊnkɹəʃɝ
bonenberger,boʊnənbɝɡɝ
bongiovanni,boʊndʒoʊvɑni
bonnevilles,bɑnəvɪɫz
bookbinders,bʊkbaɪndɝz
bookcellars,bʊksɛɫɝz
bookkeepers,bʊkkipɝz
bookkeeping,bʊkkipɪŋ
bookmobiles,bʊkmoʊbiɫz
booksellers,bʊksɛɫɝz
bookshelves,bʊkʃɛɫvz
boomeranged,bumɝæŋd
boomershine,bumɝʃaɪn
boondoggles,bundɑɡəɫz
boorishness,bʊɹɪʃnəs
bootleggers,butɫɛɡɝz
bootlegging,butɫɛɡɪŋ
borcherding,bɔɹkɝdɪŋ
borkenhagen,bɔɹkɪnhɑɡən
borkenhagen,bɔɹkɪnheɪɡən
bosendorfer,boʊzəndɔɹfɝ
botanically,bətænəkəɫi
botanically,bətænəkɫi
bottenfield,bətɛnfiɫd
bottlenecks,bɑtəɫnɛks
boulangerie,buɫæŋɡɝi
bourgeoisie,bʊɹʒwɑzi
bourguignon,bʊɹɡinjoʊn
bouthillier,baʊθəɫiɝ
bowermaster,boʊɝmæstɝ
bracamontes,bɹækəmɑntiz
bracamontes,bɹækəmɑntiz
brachiopods,bɹeɪkiəpɑdz
brackenbury,bɹækənbɛɹi
bradstreets,bɹædstɹits
bradtmiller,bɹætmɪɫɝ
bradycardia,bɹædəkɑɹdiə
bradycardia,bɹædɪkɑɹdiə
braggadocio,bɹæɡədoʊʃioʊ
brainstorms,bɹeɪnstɔɹmz
brainwashed,bɹeɪnwɑʃt
brainwashes,bɹeɪnwɑʃəz
braithwaite,bɹeɪθweɪt
brandeberry,bɹændbɛɹi
brandenberg,bɹændənbɝɡ
brandenburg,bɹændənbɝɡ
brandishing,bɹændɪʃɪŋ
branstetter,bɹænstɪtɝ
brattaslava,bɹɑtəsɫɑvə
brazzaville,bɹæzəvɪɫ
breadbasket,bɹɛdbæskət
breadwinner,bɹɛdwɪnɝ
breastfeeds,bɹɛstfidz
breastplate,bɹɛstpɫeɪt
breidenbach,bɹaɪdɪnbɑk
breitenbach,bɹaɪtɪnbɑk
breitkreutz,bɹaɪtkɹɔɪts
breitweiser,bɹaɪtwaɪsɝ
brendlinger,bɹɛndəɫɪŋɝ
brendlinger,bɹɛndɫɪŋɝ
brentlinger,bɹɛntəɫɪŋɝ
brentlinger,bɹɛntɫɪŋɝ
bricklayers,bɹɪkɫeɪɝz
bridegrooms,bɹaɪdɡɹumz
bridenbaugh,bɹɪdɪnbaʊ
bridenstine,bɹɪdɪnstin
bridesmaids,bɹaɪdzmeɪdz
bridesmaids,bɹaɪdzmeɪdz
bridesmaids,bɹaɪdzmeɪdz
bridgeforth,bɹɪdʒfɔɹθ
bridgestone,bɹɪdʒstoʊn
bridgewater,bɹɪdʒwɔtɝ
brightening,bɹaɪtənɪŋ
brightening,bɹaɪtnɪŋ
brilliantly,bɹɪɫjəntɫi
brinkerhoff,bɹɪŋkɝhɔf
brittingham,bɹɪtɪŋhæm
broadcaster,bɹɔdkæstɝ
broadstreet,bɹɔdstɹit
brockington,bɹɑkɪŋtən
brooksville,bɹʊksvɪɫ
broomsticks,bɹumstɪks
brotherhood,bɹəðɝhʊd
brouillette,bɹwiɫɛt
brownfields,bɹaʊnfiɫdz
brownmiller,bɹaʊnmɪɫɝ
brownsville,bɹaʊnzvɪɫ
bruchhausen,bɹukhaʊzən
bruckheimer,bɹəkhaɪmɝ
brueggemann,bɹuɡmən
brusselmans,bɹəsəɫmənz
brutalities,bɹutæɫətiz
brutalizing,bɹutəɫaɪzɪŋ
bucciarelli,butʃɝɛɫi
buchananism,bjukænənɪzəm
buckminster,bəkmɪnstɝ
buddenhagen,bədɪnhəɡən
budyonnovsk,budjənɑvsk
bulletproof,bʊɫətpɹuf
bullfighter,bʊɫfaɪtɝ
bullishness,bʊɫɪʃnəs
bullshitter,bʊɫʃɪtɝ
bundesbanks,bʊndɪsbæŋks
bundesposts,bʊndɪspoʊsts
buonicontis,bwɑnɪkɑntiz
bureaucracy,bjʊɹɑkɹəsi
bureaucrats,bjʊɹəkɹæts
bureaucrats,bjʊɹoʊkɹæts
burglarized,bɝɡɫɝaɪzd
burgomaster,bɝɡəmæstɝ
burgundians,bɝɡəndiənz
burlingtons,bɝɫɪŋtənz
bushwhacked,bʊʃwækt
businessman,bɪznəsmæn
businessman,bɪznɪsmæn
businessmen,bɪznɪsmɛn
buttacavoli,butɑkɑvoʊɫi
buttafuocos,butəfwoʊkoʊz
butterballs,bətɝbɔɫz
butterbaugh,bətɝbaʊ
butterfield,bətɝfiɫd
butterflies,bətɝfɫaɪz
butterworth,bətɝwɝθ
buttonholed,bətənhoʊɫd
buttonholes,bətənhoʊɫz
buttonville,bətənvɪɫ
buttressing,bətɹəsɪŋ
byelorussia,bɛɫoʊɹəʃə
byelorussia,baɪɛɫoʊɹəʃə
byelorussia,baɪəɫoʊɹəʃə
cablesystem,keɪbəɫsɪstəm
cablevision,keɪbəɫvɪʒən
cadwaladers,kædwɔɫədɝz
cadwallader,kædwɔɫədɝ
caffeinated,kæfɪneɪtəd
caillebotte,kaɪbɔt
calculating,kæɫkjəɫeɪtɪŋ
calculation,kæɫkjəɫeɪʃən
calculators,kæɫkjəɫeɪtɝz
caledonians,kæɫɪdoʊniənz
calibration,kæɫəbɹeɪʃən
californias,kæɫɪfɔɹnjəz
californian,kæɫɪfɔɹnjən
calisthenic,kæɫəsθɛnɪk
calligraphy,kəɫɪɡɹəfi
callousness,kæɫəsnəs
caltagirone,kɑɫtɑdʒɪɹoʊni
camaraderie,kɑmɝɑdɝi
cammermeyer,kæmɝmaɪɝ
camouflaged,kæməfɫɑʒd
campaigners,kæmpeɪnɝz
campaigning,kæmpeɪnɪŋ
campgrounds,kæmpɡɹaʊndz
canandaigua,kænəndeɪɡwə
canariensis,kənɛɹiɛnsəs
candidacies,kændədəsiz
candlelight,kændəɫɫaɪt
candlemaker,kændəɫmeɪkɝ
candlestick,kændəɫstɪk
cannibalism,kænəbəɫɪzəm
cannibalize,kænəbəɫaɪz
cannistraro,kænɪstɹɑɹoʊ
cannonsburg,kænənzbɝɡ
cantaloupes,kæntəɫoʊps
canterburys,kænɝbɛɹiz
canterburys,kæntɝbɛɹiz
capacitance,kəpæsətəns
capillaries,kæpəɫɛɹiz
capitalisms,kæpətəɫɪzəmz
capitalists,kæpətəɫɪsts
capitalized,kæpɪtəɫaɪzd
capitalizes,kæpətəɫaɪzɪz
capitulated,kəpɪtʃəɫeɪtɪd
cappelletti,kɑpɛɫɛti
captivating,kæptɪveɪtɪŋ
caramelized,kɛɹəməɫaɪzd
carborundum,kɑɹbɝəndəm
carburetion,kɑɹbjɝiʃən
carburetors,kɑɹbɝeɪtɝz
carcinogens,kɑɹsɪnədʒənz
