abortifacients,əbɔɹtəfeɪʃənts
clarifications,kɫɛɹɪfɪkeɪʃənz
classification,kɫæsəfəkeɪʃən
claustrophobia,kɫɔstɹəfoʊbiə
claustrophobic,kɫɔstɹəfoʊbɪk
clearinghouses,kɫiɹɪŋhaʊsɪz
climatologists,kɫaɪmətɑɫədʒɪs
climatologists,kɫaɪmətɑɫədʒɪsts
climatologists,kɫɪmətɑɫədʒɪs
climatologists,kɫɪmətɑɫədʒɪsts
coarticulating,koʊɑɹtɪkjuɫeɪtɪŋ
coarticulation,koʊɑɹtɪkjuɫeɪʃən
cohentannoudji,koʊəntənudʒi
coincidentally,koʊɪnsɪdɛnəɫi
coincidentally,koʊɪnsɪdɛntəɫi
collaborations,kɑɫəbɝeɪʃənz
collateralized,kəɫætɝəɫaɪzd
collectibility,kəɫɛktɪbɪɫɪti
commemorations,kəmɛmɝeɪʃənz
commensurately,kəmɛnsɝətɫi
commensurately,kəmɛnʃɝətɫi
commercialized,kəmɝʃəɫaɪzd
commonsensical,kɑmənsɛnsɪkəɫ
communications,kəmjunɪkeɪʃənz
communications,kəmjunəkeɪʃənz
communications,kəmjunəkeɪʃənz
comprehensible,kɑmpɹihɛnsəbəɫ
computervision,kəmpjutɝvɪʒən
concentrations,kɑnsəntɹeɪʃənz
conceptualizes,kənsɛptʃwəɫaɪzɪz
concessionaire,kənsɛʃənɛɹ
conditionality,kəndɪʃənæɫɪti
confidentially,kɑnfədɛnʃəɫi
configurations,kənfɪɡjɝeɪʃənz
conformational,kɑnfɝmeɪʃənəɫ
confrontations,kɑnfɹənteɪʃənz
conglomeration,kənɡɫɑmɝeɪʃən
congratulating,kənɡɹætʃəɫeɪtɪŋ
congratulation,kənɡɹætʃəɫeɪʃən
congratulatory,kənɡɹætʃəɫətɔɹi
congregational,kɑŋɡɹəɡeɪʃənəɫ
congresspeople,kɑŋɡɹəspipəɫ
congressperson,kɑŋɡɹəspɝsən
congresswomans,kɑŋɡɹəswʊmənz
conservatively,kənsɝvətɪvɫi
conservativism,kənsɝvətɪvɪzəm
conservatories,kənsɝvətɔɹiz
considerations,kənsɪdɝeɪʃənz
consolidations,kənsɑɫɪdeɪʃənz
conspiratorial,kənspɪɹətɔɹiəɫ
constantinides,kɑnstæntənidiz
constantinides,kɑnstəntənidəs
constantinople,kɑnstæntənoʊpəɫ
constellations,kɑnstəɫeɪʃənz
constellations,kɑnstəɫeɪʃənz
constituencies,kənstɪtʃuənsiz
constitutional,kɑnstətuʃənəɫ
construcciones,kənstɹutʃioʊneɪz
constructively,kənstɹəktɪvɫi
contagiousness,kənteɪdʒəsnəs
containerboard,kənteɪnɝbɔɹd
contemporaries,kəntɛmpɝɛɹiz
contemptuously,kəntɛmptʃwəsɫi
conticommodity,kɑntɪkəmɑdɪti
contraceptives,kɑntɹəsɛptɪvz
contractionary,kəntɹækʃənɛɹi
contradictions,kɑntɹədɪkʃənz
contrapunction,kəntɹæpʊktʃən
contrapunctual,kəntɹæpʊktʃuəɫ
conventionally,kənvɛnʃənəɫi
conventioneers,kənvɛnʃənɪɹz
conversational,kɑnvɝseɪʃənəɫ
convertibility,kɑnvɝtɪbɪɫɪti
corporatewatch,kɔɹpɹətwɑtʃ
correspondence,kɔɹəspɑndəns
correspondents,kɔɹəspɑndənts
correspondents,kɔɹəspɑndənts
corticosteroid,kɔɹtɪkoʊstɛɹɔɪd
counterattacks,kaʊntɝətæks
counterbalance,kaʊntɝbæɫəns
countercharges,kaʊntɝtʃɑɹdʒɪz
counterculture,kaʊnɝkəɫtʃɝ
counterculture,kaʊntɝkəɫtʃɝ
counterfeiters,kaʊntɝfɪtɝz
counterfeiting,kaʊntɝfɪtɪŋ
countermeasure,kaʊntɝmɛʒɝ
countervailing,kaʊntɝveɪɫɪŋ
counterweights,kaʊntɝweɪts
crawfordsville,kɹɔfɝdzvɪɫ
criminalistics,kɹɪmənəɫɪstɪks
criminologists,kɹɪmɪnɑɫədʒɪsts
czechoslovakia,tʃɛkəsɫoʊvɑkiə
decaffeinating,dikæfəneɪtɪŋ
decaffeination,dikæfəneɪʃən
decentralizing,dɪsɛntɹəɫaɪzɪŋ
decisionmaking,dɪsɪʒənmeɪkɪŋ
decommissioned,dikəmɪʃənd
deconstruction,dikənstɹəkʃən
decontaminated,dikəntæməneɪtɪd
defenestration,difɛnɛstɹeɪʃən
defibrillators,difɪbɹɪɫeɪtɝz
dehumanization,dihjumənəzeɪʃən
demilitarizing,dimɪɫətɝaɪzɪŋ
demobilization,dimoʊbəɫaɪzeɪʃən
demobilization,dimoʊbəɫəzeɪʃən
democratically,dɛməkɹætɪkɫi
demonstrations,dɛmənstɹeɪʃənz
demoralization,dɪmɔɹəɫɪzeɪʃən
denationalized,dɪnæʃənəɫaɪzd
denominational,dɪnɔməneɪʃənəɫ
depressurizing,dɪpɹɛʃɝaɪzɪŋ
dermatological,dɝmətəɫɑdʒɪkəɫ
dermatologists,dɝmətɑɫədʒɪsts
desalinization,diseɪɫɪnəzeɪʃən
descarpentries,deɪkɑɹpəntɹiz
determinations,dɪtɝmɪneɪʃənz
determinations,dɪtɝmɪneɪʃənz
detoxification,dɪtɑksɪfɪkeɪʃən
differentiated,dɪfɝɛnʃieɪtɪd
differentiated,dɪfɝɛntʃieɪtəd
differentiates,dɪfɝɛntʃieɪts
differentiates,dɪfɝɛnʃieɪts
dilenschneider,daɪɫənʃnaɪdɝ
dimensionality,dɪmɛnʃənæɫəti
diplomatically,dɪpɫəmætɪkɫi
disappearances,dɪsəpiɹənsɪz
disappearances,dɪsəpɪɹənsɪz
disappointment,dɪsəpɔɪntmənt
disciplinarian,dɪsɪpɫɪnɛɹiən
discolorations,dɪskəɫɝeɪʃənz
discombobulate,dɪskəmbɔbjuɫeɪt
discontentedly,dɪskəntɛntɪdɫi
discontinuance,dɪskəntɪnjuəns
discouragement,dɪskɝɪdʒmənt
discriminating,dɪskɹɪməneɪtɪŋ
discrimination,dɪskɹɪməneɪʃən
discriminative,dɪskɹɪmənətɪv
discriminatory,dɪskɹɪmənətɔɹi
disembarkation,dɪsɛmbɑɹkeɪʃən
disenchantment,dɪsɪntʃæntmənt
disenfranchise,dɪsɪnfɹæntʃaɪz
disequilibrium,dɪsikwəɫɪbɹiəm
disgruntlement,dɪsɡɹəntəɫmənt
disillusioning,dɪsɪɫuʒənɪŋ
disinclination,dɪsɪnkɫəneɪʃən
disinformation,dɪzɪnfɝmeɪʃən
disintegrating,dɪsɪntəɡɹeɪtɪŋ
disintegration,dɪsɪnəɡɹeɪʃən
disintegration,dɪsɪntəɡɹeɪʃən
disorientation,dɪsɔɹiənteɪʃən
distinguishing,dɪstɪŋɡwɪʃɪŋ
dramatizations,dɹæmətəzeɪʃənz
eccentricities,ɛksɛntɹɪsɪtiz
ecclesiastical,ɪkɫiziæstɪkəɫ
editorializing,ɛdətɔɹiəɫaɪzɪŋ
egalitarianism,iɡæɫətɛɹiənɪzəm
electioneering,ɪɫɛkʃənɪɹɪŋ
electrobiology,ɪɫɛktɹoʊbaɪɑɫədʒi
electrocutions,əɫɛktɹəkjuʃənz
electrodynamic,ɪɫɛktɹoʊdaɪnæmɪk
electromagnets,ɪɫɛktɹoʊmæɡnəts
electronically,ɪɫɛktɹɑnɪkəɫi
electronically,ɪɫɛktɹɑnɪkɫi
electroplating,ɪɫɛktɹəpɫeɪtɪŋ
elmootazbellah,ɛɫmutəzbɛɫə
embarrassingly,ɪmbɛɹəsɪŋɫi
embarrassments,ɪmbɛɹəsmənts
encephalopathy,ɛnsɛfəɫɔpəθi
enforceability,ɛnfɔɹsəbɪɫɪti
entertainments,ɛnɝteɪnmənts
entertainments,ɛntɝteɪnmənts
entertainments,ɛnɝteɪnmənts
entertainments,ɛntɝteɪnmənts
epidemiologist,ɛpədimiɑɫədʒɪst
epistemologies,ɛpɪstəmɑɫədʒiz
erythropoietin,ɛɹɪθɹəpɔɪtɪn
eschatological,ɛskətəɫɑdʒɪkəɫ
establishments,ɛstæbɫɪʃmənts
establishments,ɛstæbɫɪʃmənts
etablissements,ɛtæbɫɪsəmɑnts
eurocommercial,juɹoʊkəmɝʃəɫ
eurodebentures,juɹoʊdəbɛntʃɝz
euromobiliares,juɹoʊmoʊbɪɫɛɹz
excommunicated,ɛkskəmjunəkeɪtəd
excruciatingly,ɛkskɹusieɪtɪŋɫi
exhibitionists,ɛksəbɪʃənɪsts
experimentally,ɪkspɛɹəmɛntəɫi
expressionless,ɪkspɹɛʃənɫɪs
expropriations,ɛkspɹoʊpɹieɪʃənz
extinguishment,ɪkstɪŋɡwɪʃmənt
extraordinaire,ɛkstɹəɔɹdɪnɛɹ
farsightedness,fɑɹsaɪtɪdnəs
featherbedding,fɛðɝbɛdɪŋ
ferromagnetism,fɛɹoʊmæɡnətɪzəm
fingerpointing,fɪŋɡɝpɔɪntɪŋ
fingerprinting,fɪŋɡɝpɹɪntɪŋ
finlandization,fɪnɫændɪzeɪʃən
fondkommission,fɑndkəmɪʃən
forthrightness,fɔɹθɹaɪtnəs
fortifications,fɔɹtəfəkeɪʃənz
fredericksburg,fɹɛdɝɪksbɝɡ
fredericksburg,fɹɛdɹɪksbɝɡ
fundamentalism,fəndəmɛnəɫɪzəm
fundamentalism,fəndəmɛntəɫɪzəm
fundamentalist,fəndəmɛnəɫɪst
fundamentalist,fəndəmɛntəɫɪst
ganatieuganauf,ɡəneɪʃəɡænəɫf
gastrovascular,ɡæstɹoʊvæskjəɫɝ
generalization,dʒɛnɝəɫɪzeɪʃən
generalization,dʒɛnɹəɫɪzeɪʃən
generationally,dʒɛnɝeɪʃənəɫi
gentrification,dʒɛntɹɪfɪkeɪʃən
geographically,dʒiəɡɹæfɪkəɫi
geographically,dʒiəɡɹæfɪkɫi
geopolitically,dʒioʊpəɫɪtɪkɫi
gerrymandering,dʒɛɹimændɝɪŋ
governmentally,ɡəvɝmɛnəɫi
governmentally,ɡəvɝmɛntəɫi
grandchildrens,ɡɹæntʃɪɫdɹənz
grandchildrens,ɡɹændtʃɪɫdɹənz
granddaughters,ɡɹændɔtɝz
granddaughters,ɡɹændɔtɝz
grandfathering,ɡɹænfɑðɝɪŋ
grandfathering,ɡɹændfɑðɝɪŋ
graningeverken,ɡɹænɪŋɡɛvɝkən
groundbreaking,ɡɹaʊnbɹeɪkɪŋ
groundbreaking,ɡɹaʊndbɹeɪkɪŋ
groundskeepers,ɡɹaʊndskipɝz
halbutogullari,hæɫbutoʊɡuɫɑɹi
hallucinations,həɫusəneɪʃənz
hallucinogenic,həɫusənədʒɛnɪk
harnischfegers,hɑɹnɪʃfɛɡɝz
headmistresses,hɛdmɪstɹəsəz
hellaciousness,hɛɫeɪʃəsnəs
hermaphroditic,hɝmæfɹədɪtɪk
hippopotamuses,hɪpəpɑtəməsɪz
historiography,hɪstɔɹiɑɡɹəfi
homogenization,hoʊmɑdʒənɪzeɪʃən
horticulturist,hɔɹtɪkəɫtʃɝɪst
hyperchromatic,haɪpɝkɹoʊmætɪk
hyperinflation,haɪpɝɪnfɫeɪʃən
hypothetically,haɪpəθɛtɪkɫi
hysterectomies,hɪstɝɛktəmi
idealistically,aɪdiəɫɪstɪkɫi
identification,aɪdɛntəfəkeɪʃən
idiosyncrasies,ɪdioʊsɪnkɹəsiz
implementation,ɪmpɫəmɛnteɪʃən
impoverishment,ɪmpɑvɹɪʃmənt
impressionable,ɪmpɹɛʃənəbəɫ
impressionists,ɪmpɹɛʃənɪsts
improvisations,ɪmpɹɑvɪzeɪʃənz
incapacitating,ɪnkəpæsɪteɪtɪŋ
incapacitation,ɪnkəpæsɪteɪʃən
incompressible,ɪnkəmpɹɛsəbəɫ
inconclusively,ɪŋkɑnkɫusɪvɫi
inconvenienced,ɪnkənvinjənst
inconveniences,ɪnkənvinjənsɪz
incoordination,ɪnkoʊɔɹdəneɪʃən
incorporations,ɪnkɔɹpɝeɪʃənz
incorporations,ɪnkɔɹpɝeɪʃənz
incrementalism,ɪnkɹəmɛntəɫɪzm
indecisiveness,ɪndɛsɪsɪvnəs
indestructible,ɪndəstɹəktɪbəɫ
indiscriminate,ɪndɪskɹɪmənət
individualists,ɪndəvɪdʒuəɫɪsts
individualized,ɪndɪvɪdʒəɫaɪzd
individualized,ɪndɪvɪdʒuəɫaɪzd
indoctrination,ɪndɑktɹəneɪʃən
industrialists,ɪndəstɹiəɫɪsts
industrialized,ɪndəstɹiəɫaɪzd
inefficiencies,ɪnɪfɪʃənsiz
infotechnology,ɪnfoʊtɛknɑɫədʒi
infrastructure,ɪnfɹəstɹəktʃɝ
insignificance,ɪnsɪɡnjɪfɪkəns
insubstantiate,ɪnsəbstænʃieɪt
insubstantiate,ɪnsəbstæntʃieɪt
insufficiently,ɪnsəfɪʃəntɫi
insurmountable,ɪnsɝmaʊntəbəɫ
intellectually,ɪnəɫɛktʃuəɫi
intellectually,ɪnəɫɛktʃuɫi
intellectually,ɪntəɫɛktʃuəɫi
intellectually,ɪntəɫɛktʃuɫi
intelligentsia,ɪntɛɫədʒɛntsiə
interconnected,ɪntɝkənɛktɪd
interdependent,ɪntɝdɪpɛndənt
interferometer,ɪntɝfɝɑmətɝ
intermagnetics,ɪntɝmæɡnɛtɪks
intermediaries,ɪnɝmidiɛɹiz
intermediaries,ɪntɝmidiɛɹiz
intermittently,ɪntɝmɪtəntɫi
intermolecular,ɪntɝməɫɛkjəɫɝ
internationals,ɪnɝnæʃənəɫz
internationals,ɪntɝnæʃənəɫz
internationale,ɪnɝnæʃənɑɫi
internationale,ɪntɝnæʃənɑɫi
internationals,ɪntɝnæʃənəɫz
interplanetary,ɪntɝpɫænətɛɹi
interpolations,ɪtɝpəɫeɪʃənz
interpretation,ɪntɝpɹɪteɪʃən
interrogations,ɪntɛɹəɡeɪʃənz
investigations,ɪnvɛstəɡeɪʃənz
irreconcilable,ɪɹɛkənsaɪɫəbəɫ
irregularities,ɪɹɛɡjəɫɛɹətiz
jurisdictional,dʒʊɹəsdɪkʃənəɫ
justifications,dʒəstɪfɪkeɪʃənz
juxtapositions,dʒəkstəpəzɪʃənz
kindergartners,kɪndɝɡɑɹtnɝz
knickerbockers,nɪkɝbɑkɝz
kremlinologist,kɹɛmɫɪnɑɫədʒɪst
lautenschlager,ɫaʊtɪnʃɫeɪɡɝ
lexicographers,ɫɛksɪkɑɡɹəfɝz
liberalization,ɫɪbɝəɫɪzeɪʃən
linguistically,ɫɪŋɡwɪstɪkɫi
macroeconomics,mækɹoʊɛkənɑmɪks
macroeconomics,mækɹoʊikənɑmɪks
magnifications,mæɡnəfəkeɪʃənz
malfunctioning,mæɫfəŋkʃənɪŋ
manifestations,mænəfɛsteɪʃənz
manufacturings,mænjəfæktʃɝɪŋz
massachussetts,mæsətʃusəts
mastrogiovanni,mæstɹoʊdʒoʊvɑni
mathematically,mæθəmætɪkəɫi
mathematically,mæθəmætɪkɫi
mathematicians,mæθəmətɪʃənz
metaphorically,mɛtəfɔɹɪkɫi
meteorological,mitiɔɹəɫɑdʒɪkəɫ
meteorologists,mitiɝɑɫədʒɪsts
meteorologists,mitiɝɑɫədʒɪsts
methodological,mɛθədəɫɑdʒɪkəɫ
mezhdumarodnom,mɛzduməɹɑdnəm
microbiologist,maɪkɹoʊbiɑɫədʒɪst
microbreweries,maɪkɹoʊbɹuɝiz
microcomputers,maɪkɹoʊkəmpjutɝz
microeconomics,maɪkɹoʊɛkənɑmɪks
microorganisms,maɪkɹoʊɔɹɡənɪzəmz
microprocessor,maɪkɹoʊpɹɑsɛsɝ
mineralization,mɪnɝəɫəzeɪʃən
misapplication,mɪsæpɫəkeɪʃən
misappropriate,mɪsəpɹoʊpɹieɪt
miscalculation,mɪskæɫkjəɫeɪʃən
miscommunicate,mɪskəmjunəkeɪt
misconceptions,mɪskənsɛpʃənz
misidentifying,mɪsaɪdɛnəfaɪɪŋ
misidentifying,mɪsaɪdɛntəfaɪɪŋ
misinformation,mɪsɪnfɝmeɪʃən
misinterpreted,mɪsɪntɝpɹətɪd
misperceptions,mɪspɝsɛpʃənz
mispronouncing,mɪspɹənaʊnsɪŋ
misrecognition,mɪsɹɛkəɡnɪʃən
misrecognizing,mɪsɹɛkəɡnaɪzɪŋ
misrepresented,mɪsɹɛpɹɪzɛnɪd
misrepresented,mɪsɹɛpɹɪzɛntɪd
mississippians,mɪsɪsɪpiənz
misunderstands,mɪsəndɝstændz
monopolization,mənɑpəɫɪzeɪʃən
monosaccharide,mɑnəsækɝaɪd
mountaineering,maʊntɪnɪɹɪŋ
multicandidate,məɫtikændədət
multicandidate,məɫtikændɪdeɪt
multilaterally,məɫtiɫætɝəɫi
multilaterally,məɫtɪɫætɝəɫi
multinationals,məɫtaɪnæʃənəɫz
multinationals,məɫtinæʃənəɫz
multiplication,məɫtəpɫəkeɪʃən
multiprocessor,məɫtipɹɑsɛsɝ
municipalities,mjunɪsəpæɫɪtiz
nanotechnology,nænoʊtɛknɑɫədʒi
naturalization,nætʃɝəɫəzeɪʃən
naturalization,nætʃɹəɫəzeɪʃən
neighbourhoods,neɪbɝhʊdz
neighbourhoods,neɪbɝhʊdz
neuenschwander,nuənʃwɔndɝ
neuroscientist,njʊɹoʊsaɪənɪst
neuroscientist,njʊɹoʊsaɪəntɪst
neutralization,nutɹəɫəzeɪʃən
nitrocellulose,naɪtɹoʊsɛɫjəɫoʊs
nitroglycerine,naɪtɹəɡɫɪsɝən
nitroglycerine,naɪtɹoʊɡɫɪsɝən
nitroglycerine,naɪtʃɹəɡɫɪsɝən
nomenclatorial,noʊmɪnkɫətɔɹiəɫ
noncompetitive,nɑnkəmpɛtətɪv
nonconformists,nɑnkənfɔɹməsts
nonconvertible,nɑnkənvɝtəbəɫ
nonresidential,nɑnɹɛzədɛnʃəɫ
nontraditional,nɑntɹədɪʃənəɫ
northeasterner,nɔɹθistɝnɝ
obstructionism,əbstɹəkʃənɪzəm
obstructionist,əbstɹəkʃənəst
obstructionist,əbstɹəkʃənɪst
ochsenschlager,ɑksənʃɫɑɡɝ
ophthalmoscope,ɑfθæɫməskoʊp
opthalmologist,ɑfθəɫmɑɫədʒɪst
optimistically,ɑptɪmɪstɪkəɫi
optimistically,ɑptɪmɪstɪkɫi
orchestrations,ɔɹkəstɹeɪʃənz
organizational,ɔɹɡənəzeɪʃənəɫ
ornithological,ɔɹnɪθəɫɔdʒɪkəɫ
ostentatiously,ɑstənteɪʃəsɫi
osteoarthritis,ɑstioʊɑɹθɹaɪtəs
outmaneuvering,aʊtmənuvɝɪŋ
outperformance,aʊtpɝfɔɹməns
outrageousness,aʊtɹeɪdʒəsnəs
overallotments,oʊvɝəɫɑtmənts
overconfidence,oʊvɝkɑnfɪdəns
overdependence,oʊvɝdɪpɛndəns
overemphasized,oʊvɝɛmfəsaɪzd
overemphasizes,oʊvɝɛmfəsaɪzɪz
overestimating,oʊvɝɛstəmeɪtɪŋ
overpopulating,oʊvɝpɑpjəɫeɪtɪŋ
overpopulation,oʊvɝpɑpjəɫeɪʃən
overproduction,oʊvɝpɹədəkʃən
overprotection,oʊvɝpɹətɛkʃən
overprotective,oʊvɝpɹətɛktəv
overregulation,oʊvɝɹɛɡjəɫeɪʃən
oversimplified,oʊvɝsɪmpɫɪfaɪd
overstatements,oʊvɝsteɪtmənts
oversubscribed,oʊvɝsəbskɹaɪbd
overwhelmingly,oʊvɝwɛɫmɪŋɫi
overwhelmingly,oʊvɝhwɛɫmɪŋɫi
paleontologist,peɪɫiəntɑɫədʒɪst
pancontinental,pænkɑntənɛntəɫ
paramilitaries,pɛɹəmɪɫətɛɹiz
partecipazioni,pɑɹtɛsɪpæzioʊni
participations,pɑɹtɪsəpeɪʃənz
pasteurization,pæstʃɝəzeɪʃən
pathologically,pæθəɫɑdʒɪkɫi
penitentiaries,pɛnɪtɛntʃɝiz
pennsylvanians,pɛnsɪɫveɪniənz
perfectionists,pɝfɛkʃənəsts
permissiveness,pɝmɪsɪvnəs
persuasiveness,pɝsweɪsɪvnəs
petrochemicals,pɛtɹoʊkɛmɪkəɫz
phantasmagoria,fæntæzməɡɔɹiə
pharmaceutical,fɑɹməsutɪkəɫ
pharmacologist,fɑɹməkɑɫədʒɪst
pharmakinetics,fɑɹməkənɛtɪks
philadelphians,fɪɫədɛɫfiənz
philanthropies,fəɫænθɹəpiz
philanthropist,fəɫænθɹəpəst
philanthropist,fɪɫænθɹəpɪst
photofinishers,foʊtoʊfɪnɪʃɝz
photofinishing,foʊtoʊfɪnɪʃɪŋ
photosynthesis,foʊtoʊsɪnθəsɪs
phytogeography,faɪtoʊdʒiɑɡɹəfi
politicization,pəɫɪtəsəzeɪʃən
polychlorinate,pɑɫikɫɔɹɪneɪt
polyhemoglobin,pɑɫihəmɑɡɫəbɪn
polymerization,pɑɫɪmɝəzeɪʃən
polysaccharide,pɑɫisækɝaɪd
polytechnology,pɑɫitɛknɑɫədʒi
pontifications,pɑntɪfəkeɪʃənz
popularization,pɑpjəɫɝəzeɪʃən
possessiveness,pəzɛsɪvnəs
postretirement,poʊstɹitaɪɝmənt
preadolescence,pɹiædəɫɛsɪs
preconceptions,pɹikənsɛpʃənz
predestination,pɹidɛstəneɪʃən
predictability,pɹɪdɪktəbɪɫɪti
predisposition,pɹidɪspəzɪʃən
prefabrication,pɹifæbɹəkeɪʃən
preferentially,pɹɛfɝɛnʃəɫi
preoccupations,pɹiɑkjəpeɪʃənz
presidentially,pɹɛsɪdɛnʃəɫi
pressurization,pɹɛʃɝɪzeɪʃən
presupposition,pɹisəpəzɪʃən
principalities,pɹɪnsɪpæɫɪtiz
privatizations,pɹaɪvətəzeɪʃənz
procrastinated,pɹəkɹæstəneɪtɪd
procrastinates,pɹəkɹæstəneɪts
procrastinator,pɹəkɹæstəneɪtɝ
professionally,pɹəfɛʃənəɫi
professionally,pɹəfɛʃnəɫi
professorships,pɹəfɛsɝʃɪps
prognosticated,pɹɑɡnɑstəkeɪtɪd
prognosticater,pɹɑɡnɑstəkeɪtɝ
prognosticates,pɹɑɡnɑstəkeɪts
pronouncements,pɹənaʊnsmənts
pronunciations,pɹənənsieɪʃənz
pronunciations,pɹoʊnənsieɪʃənz
propagandistic,pɹɑpəɡəndɪstɪk
proportionally,pɹəpɔɹʃənəɫi
proportionally,pɹəpɔɹʃnəɫi
proprietorship,pɹəpɹaɪətɝʃɪp
prostaglandins,pɹoʊstæɡɫændɪnz
