adelaide,ædəɫeɪd
danielle,dæniɛɫ
deandrea,dædɹiə
deandrea,diædɹeɪə
deangelo,dəŋɡɛɫoʊ
delphine,dɛɫfini
demarcus,dɛmɑɹkɪs
demetria,dɪmɛtɹiə
dominica,dəmɪnɪkə
dominick,dɑmənɪk
dorothea,dɔɹəθiə
douglass,dəɡɫəs
drusilla,dɹusɪɫə
eldridge,ɛɫdɹɪdʒ
eleanora,ɛɫənɔɹə
eleanore,ɛɫənɔɹ
eleonore,ɛɫiənɔɹi
elfrieda,ɛɫfɹidə
emmaline,ɛmɑɫini
emmanuel,ɪmænjuəɫ
estrella,ɛstɹɛɫə
everette,ɛvɝɛt
faustina,fɔstinə
faustino,fɔstinoʊ
federico,fɛdɝikoʊ
fernanda,fɝnændə
fernanda,fɝnɑndə
fernando,fɝnændoʊ
fernando,fɝnɑndoʊ
filomena,fɪɫəminə
fletcher,fɫɛtʃɝ
florance,fɫɔɹəns
florence,fɫɔɹəns
florinda,fɫɔɹində
francine,fɹænsin
franklin,fɹæŋkɫɪn
franklyn,fɹæŋkɫɪn
frederic,fɹɛdɹɪk
fredrick,fɹɛdɹɪk
gabriela,ɡɑbɹiɛɫɑ
gabriele,ɡɑbɹiɛɫ
garfield,ɡɑɹfiɫd
geoffrey,dʒɛfɹi
georgann,dʒɔɹdʒæn
georgene,dʒɔɹdʒin
georgina,dʒɔɹdʒinə
georgine,dʒɔɹdʒin
germaine,ʒɝmeɪn
gertrude,ɡɝtɹud
gilberte,ɡɪɫbɝt
gilberto,ɡɪɫbɛɹtoʊ
gilberto,ɡɪɫbɝtoʊ
giovanni,dʒioʊvɑni
giovanni,dʒəvɑni
giuseppe,dʒɪsɛpi
gregoria,ɡɹɛɡɔɹiə
gregorio,ɡɹɪɡɔɹioʊ
gretchen,ɡɹɛtʃən
harrison,hɛɹɪsən
herminia,hɛɹminiə
herschel,hɝʃəɫ
hipolito,ipoʊɫitoʊ
humberto,umbɛɹtoʊ
humberto,həmbɝtoʊ
hyacinth,haɪəsɪnθ
isabella,ɪzəbɛɫə
isabelle,ɪzəbɛɫ
jackelyn,dʒækɪɫɪn
jeanette,dʒənɛt
jefferey,dʒɛfɝi
jennette,ʒɪnɛt
jennifer,dʒɛnəfɝ
jeremiah,dʒɛɹəmaɪə
jermaine,dʒɝmeɪn
jonathan,dʒɑnəθən
jonathon,dʒɑnəθən
josefina,dʒoʊzəfinə
josefina,joʊsɪfinə
joycelyn,dʒɔɪsɫɪn
julianne,dʒuɫiɛn
julietta,dʒuɫiɛtə
juliette,dʒuɫiɛt
karoline,kɛɹəɫaɪn
kathleen,kæθɫin
kathlene,kæθɫin
kathline,kæθɫaɪn
kendrick,kɛndɹɪk
kimberly,kɪmbɝɫi
kristina,kɹɪstinə
kristine,kɹɪstin
lamonica,ɫɑmoʊnikə
laurence,ɫɔɹəns
lauretta,ɫɝɛtə
laurette,ɫɔɹɛt
lawrence,ɫɔɹəns
leatrice,ɫitɹɪs
leonarda,ɫɛnɑɹdə
leonardo,ɫiənɑɹdoʊ
leontine,ɫiɑntaɪn
leontine,ɫɛntini
leopoldo,ɫiəpoʊɫdoʊ
lilliana,ɫɪɫiænə
lisabeth,ɫɪsəbɛθ
lizabeth,ɫɪzəbɛθ
lorraine,ɫɝeɪn
lucienne,ɫutʃiɛn
lucrecia,ɫukɹiʃə
lucretia,ɫukɹiʃə
madelene,mædəɫin
madeline,mædəɫɪn
magdalen,mæɡdəɫən
magnolia,mæɡnoʊɫjə
marcella,mɑɹsɛɫə
marcelle,mɑɹsɛɫ
margaret,mɑɹɡɝɪt
margaret,mɑɹɡɹət
margaret,mɑɹɡɹɪt
marianna,mɑɹiɑnə
marianne,mɛɹiæn
marietta,mɛɹiɛtə
mariette,mɛɹiɛt
marilynn,mɛɹəɫən
marjorie,mɑɹdʒɝi
marjorie,mɑɹdʒɹi
marquita,mɑɹkwitə
marshall,mɑɹʃəɫ
marvella,mɑɹvɛɫə
maryanne,mɛɹiæn
marybeth,mɛɹibɛθ
maryland,mɛɹəɫənd
mathilda,mətɪɫdə
mathilde,mæθɪɫd
mathilde,mətɪɫd
mauricio,maʊɹisioʊ
maybelle,meɪbɛɫ
mckenzie,məkɛnzi
mckinley,məkɪnɫi
mercedes,mɝseɪdiz
meredith,mɛɹɪdɪθ
merideth,mɛɹɪdɪθ
meridith,mɛɹɪdɪθ
michaela,maɪkɛɫə
michelle,mɪʃɛɫ
mitchell,mɪtʃəɫ
mohammad,moʊhɑmɛd
mohammed,moʊhæmɪd
napoleon,nəpoʊɫiən
napoleon,nəpoʊɫjən
nathalie,nætəɫi
nicholas,nɪkəɫəs
nicholas,nɪkɫəs
nickolas,nɪkəɫəz
norberto,nɔɹbɝtoʊ
pasquale,pɑskwɑɫeɪ
patience,peɪʃəns
patricia,pətɹɪʃə
pauletta,pɑɫɛtə
paulette,pɔɫɛt
pearline,pɝɫaɪn
penelope,pənɛɫəpi
precious,pɹɛʃəs
princess,pɹɪnsɛs
prudence,pɹudəns
rachelle,ɹəʃɛɫ
randolph,ɹændɑɫf
raymundo,ɹeɪməndoʊ
reginald,ɹɛdʒənəɫd
reinaldo,ɹeɪnɑɫdoʊ
reynaldo,ɹeɪnɑɫdoʊ
rochelle,ɹəʃɛɫ
rochelle,ɹoʊʃɛɫ
roderick,ɹɑdɹɪk
rosalind,ɹɑzəɫɪnd
rosamond,ɹoʊzəmənd
roseanne,ɹoʊzæn
roseline,ɹoʊzɫaɪn
rosemary,ɹoʊzmɛɹi
salvador,sæɫvədɔɹ
samantha,səmænθə
santiago,sæntiɑɡoʊ
savannah,səvænə
scarlett,skɑɹɫɪt
serafina,sɝɑfinə
sharleen,ʃɑɹɫin
sharlene,ʃɑɹɫin
sheridan,ʃɛɹɪdən
sherrell,ʃɛɹəɫ
sherrill,ʃɛɹɪɫ
sherwood,ʃɝwʊd
shirleen,ʃɝɫin
shirlene,ʃɝɫin
stanford,stænfɝd
stefanie,stɛfəni
stephane,stɛfɑn
stephani,stɛfəni
stephany,stɛfəni
sterling,stɝɫɪŋ
sunshine,sənʃaɪn
susannah,susænə
svetlana,svɛtɫɑnə
teresita,tɝɛsitə
terrance,tɛɹəns
terrence,tɛɹəns
thaddeus,θædiəs
theodora,θiədɔɹə
theodore,θiədɔɹ
trinidad,tɹɪnɪdæd
valencia,vəɫɛnsiə
valentin,vɑɫɛntin
veronica,vɝɑnɪkə
victoria,vɪktɔɹiə
vincenzo,vɪnsɛnzoʊ
violette,vioʊɫɛt
virgilio,vɝdʒɪɫioʊ
virginia,vɝdʒɪnjə
vivienne,vɪviən
wilfredo,wɪɫfeɪdoʊ
willette,wɪɫɛt
williams,wɪɫjəmz
winifred,wɪnɪfɹɪd
