word,ipa
altaic,æɫteɪɪk
altay,ɔɫtaɪ
altercation,ɑɫtɝkeɪʃən
alternately,ɔɫtɝnətɫi
althaus,æɫthaʊs
altieri,ɑɫtɪɹi
altizer,æɫtaɪzɝ
altoid,ɑɫtɔɪd
altschiller,ɔɫtʃɪɫɝ
altzheimer,ɑɫtshaɪmɝ
aluminium,əɫumɪnəm
alums,æɫəmz
alvarenga,ɑɫvɑɹɛŋɡə
alverton,ɑɫvɝtən
alwaleed,ɑɫwɑɫid
alyeska,æɫiɛskə
alzheimer,æɫzhaɪmɝ
amabel,æməbɛɫ
amadou,æmədu
amalgamateds,əmæɫɡəmeɪtɪdz
amandas,əmændəz
amaral,ɑmɑɹæɫ
amarin,æmɝɪn
amasses,əmæsɪz
amato,ɑmɑtoʊ
amazing,əmeɪzɪŋ
ambassador,æmbæsədɝ
ambergris,æmbɝɡɹɪs
ambiguities,æmbəɡjuətiz
amble,æmbəɫ
ambriano,æmbɹiɑnoʊ
ambrosino,ɑmbɹoʊsinoʊ
ambulatory,æmbjəɫətɔɹi
amcole,æmkoʊɫ
ame,eɪm
ameliorated,əmiɫjɝeɪtɪd
amendable,əmɛndəbəɫ
amenity,əmɛnəti
americas,əmɛɹəkəz
americanize,əmɛɹəkənaɪz
americas,əmɛɹəkəz
ameridata,əmɛɹədætə
ameritechs,əmɛɹɪtɛks
ames,eɪmz
amexco,əmɛkskoʊ
amherst,æmɝst
amicone,æmɪkoʊn
amigo,əmiɡoʊ
amir,əmɪɹ
amish,eɪmɪʃ
amman,əmɑn
ammonite,æmənaɪt
amnio,æmnioʊ
amon,ɑmɔn
amorosi,ɑmɔɹoʊsi
amoss,eɪməsɪz
amour,ɑmuɹ
amperes,æmpɝz
amphibole,æmfɪboʊɫ
amplifications,æmpɫəfəkeɪʃənz
amply,æmpɫi
amre,æmɹə
amsco,æmskoʊ
amstutz,æmstəts
amundson,æməndsən
amvestor,æmvɛstɝ
anabaptist,ænəbæptəst
anaconda,ænəkɑndə
anaesthesiologist,ænəsθiziɑɫədʒɪst
anakin,ænɑkɪn
analysand,ænæɫɪzænd
analytically,ænəɫɪtɪkɫi
analyzing,ænəɫaɪzɪŋ
anarchic,ænɑɹkɪk
anast,ɑnɑst
anatolia,ænətoʊɫiə
anawalt,ænəwɑɫt
ancestry,ænsɛstɹi
anchorman,æŋkɝmæn
ancients,eɪnʃənts
andalusia,ændəɫuʒə
anderlini,ændɝɫini
anderton,ændɝtən
ando,ændoʊ
andras,ɑndɹəs
andreen,əndɹin
andrepont,ɑndɹeɪpoʊnt
andrey,ændɹi
andriola,ɑndɹioʊɫə
andruskevich,ændɹəsɛvɪtʃ
anecdotal,ænɪkdoʊtəɫ
anemometer,ænəmɑmətɝ
anesthesiology,ænəsθiziɑɫədʒi
anfal,ænfɑɫ
angelenos,ændʒəɫinoʊz
angelini,ɑŋɡɛɫini
angelos,ændʒəɫoʊz
angelucci,ɑŋɡɛɫutʃi
angi,ændʒi
angled,æŋɡəɫd
anglicans,æŋɡɫɪkənz
anglophones,ænɡɫəfoʊnz
angove,ɑŋɡoʊvi
angstroms,æŋstɹəmz
angus,æŋɡəs
animals,ænəməɫz
animations,ænəmeɪʃənz
animus,ænɪməs
anixter,ænɪkstɝ
ankle,æŋkəɫ
annabella,ænəbɛɫə
annas,ænəz
annex,ænɛks
annihilated,ənaɪəɫeɪtɪd
annotated,ænəteɪtɪd
announced,ənaʊnst
annoyance,ənɔɪəns
annuit,ənuɪt
annunciata,ɑnuntʃɑtə
anoint,ənɔɪnt
anonymity,ænənɪmɪti
anorexics,ænɝɛksɪks
ansaldo,ænsɑɫdoʊ
anse,æns
anshan,ænʃən
anstett,ənstɛt
answers,ænsɝz
antagonized,æntæɡənaɪzd
antares,æntɛɹiz
antecedents,æntɛsədənts
antennas,æntɛnəz
anthems,ænθəmz
anthon,ænθən
anthropologists,ænθɹəpɑɫədʒəsts
anti-federalist,æntifɛdɹəɫɪst
antibiotic,æntibaɪɑtɪk
anticancer,æntaɪkænsɝ
anticipatory,æntɪsəpətɔɹi
antics,æntɪks
antidote,æntɪdoʊt
antigay,æntaɪɡeɪ
antihistamine,æntihɪstəmən
antinomy,ætɪnoʊmi
antiphon,æntɪfɑn
antique,æntik
antisense,æntisɛns
antitax,æntaɪtæks
antivirus,æntivaɪɹəs
antolik,æntəɫɪk
antonino,æntoʊninoʊ
antonson,æntənsən
antsy,æntsi
anvil,ænvəɫ
anxious,æŋʃəs
anyonell,ɛniwənəɫ
anywhere,ɛniwɛɹ
aol,eɪoʊɛɫ
aouns,aʊunz
apalachicola,æpəɫætʃəkoʊɫə
apartments,əpɑɹtmənts
apec,eɪpɛk
apexs,eɪpɛksɪz
aphorisms,æfɝɪzəmz
aping,eɪpɪŋ
apogee,æpədʒi
apologise,əpɑɫədʒaɪz
apology,əpɑɫədʒi
apostol,æpəstəɫ
appalachian,æpəɫeɪʃən
apparatchik,æpɝætʃɪk
appeal,əpiɫ
appearing,əpɪɹɪŋ
appellant,əpɛɫɪnt
appendages,əpɛndɪdʒɪz
appert,æpɝt
applauded,əpɫɔdɪd
appleberry,æpəɫbɛɹi
applet,æpɫət
applicants,æpɫɪkənts
appling,æpəɫɪŋ
appointing,əpɔɪntɪŋ
appraisals,əpɹeɪzəɫz
appreciated,əpɹiʃieɪtɪd
apprehending,æpɹɪhɛndɪŋ
apprenticeships,əpɹɛntəsʃɪps
approaching,əpɹoʊtʃɪŋ
appropriations,əpɹoʊpɹieɪʃənz
approvingly,əpɹuvɪŋɫi
apps,æps
aprons,eɪpɹənz
aptiva,æptivə
aquanaut,ɑkwənɑt
aqueducts,ækwədəkts
aquinos,əkinoʊz
arabian,əɹeɪbiən
arabs,æɹəbz
arafats,ɛɹəfæts
aramaic,ɑɹɑmɛjɪk
aranda,ɝændə
araskog,ɝæsɑɡ
arbat,ɑɹbæt
arbitrager,ɑɹbɪtɹɑʒɝ
arbitrate,ɑɹbətɹeɪt
arbitron,ɑɹbətɹɑn
arbour,ɑɹbɝ
arcadia,ɑɹkeɪdiə
arce,ɑɹs
archambault,ɑɹʃəmboʊ
archduke,ɑɹtʃduk
arches,ɑɹtʃəz
archipelago,ɑɹkəpɛɫəɡoʊ
architectures,ɑɹkətɛktʃɝz
archivists,ɑɹkaɪvɪsts
arciniega,ɑɹtʃiniɡə
arcturus,ɑɹktʊɹəs
ardine,ɑɹdini
ardrey,ɑɹdɹi
areas,ɛɹiəz
arena,ɝinə
arenellas,ɑɹənɛɫəz
aretina,ɑɹɛtinə
argenta,ɑɹdʒɛntə
argiro,ɑɹdʒɪɹoʊ
argosystem,ɑɹɡoʊsɪstəm
argueta,ɑɹɡeɪtə
argyll,ɑɹɡaɪɫ
arias,ɑɹiəz
arington,ɑɹɪŋtən
arista,ɝɪstə
aristophanes,æɹəstɔfəniz
arizonan,ɝɪzoʊnən
arkady,ɑɹkeɪdi
arklas,ɑɹkɫəz
arlin,ɑɹɫɪn
armadillos,ɑɹmədɪɫoʊz
armas,ɑɹməz
armchairs,ɑɹmtʃɛɹz
armenias,ɑɹminiəz
armetta,ɑɹmɛtə
armine,ɑɹmini
armon,ɑɹmən
armrest,ɑɹmɹɛst
armteks,ɑɹmtɛks
arnaud,ɑɹnoʊ
arneson,ɑɹnɪsən
arnolds,ɑɹnəɫdz
arnst,ɑɹnst
arocho,ɑɹoʊkoʊ
aronowitz,ɝɑnəwɪts
arousal,ɝaʊzəɫ
arps,ɑɹps
arrangements,ɝeɪndʒmənts
arrays,ɝeɪz
arresting,ɝɛstɪŋ
arriola,ɑɹioʊɫə
arrogant,ɛɹəɡənt
arrowheads,ɛɹoʊhɛdz
arroyos,ɝɔɪoʊz
arseneault,ɑɹsɪnoʊ
arsonists,ɑɹsənəsts
artemus,ɑɹtəməs
artful,ɑɹtfəɫ
arthurian,ɑɹθʊɹiən
articular,ɑɹtɪkjəɫɝ
artifice,ɑɹtəfɪs
artisans,ɑɹtəzənz
artley,ɑɹtɫi
artus,ɑɹtəs
arunachalam,ɑɹunətʃɑɫəm
arvey,ɑɹvi
arwood,ɑɹwʊd
as,ɛz
asaro,ɑsɑɹoʊ
asbill,əsbɪɫ
ascended,əsɛndɪd
asch,æʃ
ascott,əskɑt
aselma,əsɛɫmə
ashamed,əʃeɪmd
ashcreek,æʃkɹik
ashes,æʃəz
ashlands,æʃɫəndz
ashram,æʃɹɑm
ashwell,æʃwɛɫ
asiaweek,eɪʒəwik
asimow,æsɪmoʊ
askers,æskɝz
askoldov,əskoʊɫdɑv
asman,æsmən
aspect,æspɛkt
asphyxiate,æsfɪksieɪt
aspirants,æspɝəns
aspired,əspaɪɹd
assads,əsɑdz
assante,ɑsɑnti
assaulted,əsɔɫtɪd
assemblage,əsɛmbɫədʒ
assembly,əsɛmbɫi
asserting,əsɝtɪŋ
assesses,əsɛsɪz
assholes,æshoʊɫz
assigns,əsaɪnz
assistant,əsɪstənt
associates,əsoʊsiəts
associating,əsoʊsieɪtɪŋ
assortment,əsɔɹtmənt
assurance,əʃʊɹəns
assyrian,əsɪɹiən
asters,æstɝz
astonish,əstɑnɪʃ
astoria,æstɔɹiə
astrakhan,æstɹəkɑn
astrologer,əstɹɑɫədʒɝ
astronauts,æstɹənɔts
astrotech,æstɹoʊtɛk
asymmetrical,eɪsəmɛtɹɪkəɫ
at,æt
atari,ətɑɹi
atchison,ætʃɪsən
atha,æθə
atheistic,eɪθiɪstɪk
atherton,æθɝtən
athletics,æθɫɛtɪks
atkins,ætkɪnz
atlanta,ætɫæntə
atlantico,ætɫæntɪkoʊ
atler,ætɫɝ
atoll,ætɑɫ
atonement,ətoʊnmənt
atrocities,ətɹɑsətiz
attache,ætəʃeɪ
attacking,ətækɪŋ
attalla,ətæɫə
attempted,ətɛmptɪd
attendants,ətɛndənts
attentiveness,ətɛntɪvnəs
attesting,ətɛstɪŋ
attire,ətaɪɝ
attorneys,ətɝniz
attracts,ətɹækts
attrition,ətɹɪʃən
atx,eɪtiɛks
aubergines,ɔbɝdʒinz
auckland,ɑkɫənd
auctioneers,ɔkʃənɪɹz
audet,oʊdɛt
audience,ɑdiəns
audiotape,ɔdioʊteɪp
audited,ɔdɪtɪd
auditors,ɑdətɝz
auel,aʊəɫ
auge,ɔdʒ
augmentation,ɑɡmɛnteɪʃən
augurs,ɔɡɝz
augustyn,aʊɡəstɪn
aulds,ɔɫdz
aung,ɔŋ
aunts,ænts
auroral,ɝɔɹəɫ
ausley,ɔsɫi
austat,oʊstæt
austine,ɔstin
australopithecus,ɔstɹeɪɫoʊpɪθəkəs
auten,aʊtən
authentically,ɔθɛnɪkɫi
authier,ɔθiɝ
authorities,əθɔɹɪtiz
authors,ɔθɝz
autobiography,ɔtəbaɪɑɡɹəfi
autoeurope,ɔtoʊjʊɹəp
automakers,ɔtoʊmeɪkɝz
automatically,ɔtoʊmætɪkɫi
automobili,ɔtoʊmoʊbiɫi
autopacific,ɔtoʊpəsɪfɪk
autos,ɔtoʊz
auvil,oʊvɪɫ
availabilities,əveɪɫəbɪɫɪtiz
avalons,ævəɫɑnz
avants,ɑvɔnts
avelar,ɑveɪɫɑɹ
avendano,ɑvɛndɑnoʊ
aventura,əvɛntʃɝɑ
averaged,ævɹədʒd
averill,ɑvɛɹiɫ
avert,əvɝt
aviacion,eɪvieɪʃən
aviators,eɪvieɪtɝz
avilla,əvɪɫə
avivs,ɑvivz
avoidable,əvɔɪdəbəɫ
avowed,əvaʊd
avuncular,əvəŋkjəɫɝ
awakened,əweɪkənd
awareness,əwɛɹnəs
awed,ɔd
awful,ɔfəɫ
awoke,əwoʊk
axelrad,æksɛɫɹəd
axiom,æksiəm
axons,æksɑnz
ayars,eɪɝz
aydin,eɪdɪn
ayers,eɪɝz
aylesworth,eɪəɫzwɝθ
aymond,eɪmənd
ayres,ɛɹz
ayyash,aɪjæʃ
azcona,æzkoʊnə
azerbaijanis,ɑzɝbaɪdʒɑniz
azinger,eɪzɪŋɝ
azuka,əzukə
b-js,bidʒeɪz
ba,bieɪ
baalbek,bɑɫbɛk
babas,bɑbəz
babbio,bæbioʊ
babbling,bæbəɫɪŋ
babiarz,bəbiɝz
babino,bɑbinoʊ
baboons,bəbunz
baby-sitters,beɪbisɪtɝz
babysits,beɪbisɪts
bacchanal,bækɪnəɫ
bachand,bætʃənd
bachelor,bætʃɫɝ
bachmeier,bɑkmaɪɝ
bacino,bɑtʃinoʊ
backbone,bækboʊn
backdrops,bækdɹɑps
backfire,bækfaɪɹ
backhoe,bækhoʊ
backlog,bækɫɑɡ
backpedal,bækpɛdəɫ
backsaw,bæksɑ
backslapping,bæksɫæpɪŋ
backstop,bækstɑp
backups,bækəps
backwoodsman,bækwʊdzmən
bacterias,bæktɪɹiəz
badami,bɑdɑmi
badens,bɑdənz
badges,bædʒɪz
badminton,bædmɪntən
baecker,bɛkɝ
baetjer,bɛtdʒɝ
bafokeng,bæfoʊkɛŋ
bageland,beɪɡəɫænd
baggett,bæɡɪt
baghdads,bæɡdædz
bagpiper,bæɡpaɪpɝ
bahama,bəhɑmə
bahls,bɑɫz
bahrain,bɑɹeɪn
bahre,bɑɹ
baier,beɪɝ
bailes,beɪɫz
baillargeon,bəɫɑɹdʒɪn
baim,beɪm
bainton,beɪntən
bait,beɪt
bajema,bɑjeɪmə
bakeman,beɪkmən
bakey,beɪki
bakkers,beɪkɝz
bal,bæɫ
balanced,bæɫənst
balata,bæɫətə
balcer,beɪɫsɝ
baldassare,bɑɫdɑsɑɹi
balderson,bæɫdɝsən
baldly,bɔɫdɫi
baldridge,bæɫdɹɪdʒ
bale,beɪɫ
balfe,beɪɫf
baling,beɪɫɪŋ
balkanized,bɔɫkənaɪzd
ball,bɔɫ
ballantrae,bæɫəntɹeɪ
ballcocks,bɔɫkɑks
ballester,bæɫɪstɝ
balliet,bæɫiɪt
ballo,bæɫoʊ
balloting,bæɫətɪŋ
ballpoints,bɔɫpɔɪnts
ballys,beɪɫiz
balms,bɑmz
balsam,bɔɫsəm
balter,bɔɫtɝ
baltierra,bɑɫtɪɹə
baluja,bəɫudʒə
bamba,bæmbə
bamburg,bæmbɝɡ
banality,bənæɫɪti
banca,bɑŋkə
bancorps,bæŋkɔɹps
bands,bændz
bandanas,bændænəz
bandicoots,bændikuts
bandoliers,bændəɫɪɹz
bandy,bændi
banfield,bænfiɫd
bangemann,bæŋɡəmən
bangkoks,bæŋkɑks
bangor,bæŋɡɔɹ
banishing,bænɪʃɪŋ
bankatlantic,bæŋkətɫæntɪk
bankers,bæŋkɝz
banknote,bæŋknoʊt
bankruptcies,bæŋkɹəptsiz
bankshares,bæŋkʃɛɹz
banner,bænɝ
banos,bɑnoʊz
banshee,bænʃi
banton,bæntən
banyan,bænjən
baptisms,bæptɪzəmz
baptized,bæptaɪzd
baraff,bɑɹɑf
baranowski,bɝənɔfski
barbagallo,bɑɹbəɡæɫoʊ
barbarino,bɑɹbɑɹinoʊ
barbeau,bɑɹboʊ
barbel,bɑɹbɛɫ
barbers,bɑɹbɝz
barbier,bɑɹbiɝ
barbour,bɑɹbɝ
barcellos,bɑɹsɛɫoʊz
barclays,bɑɹkɫiz
barcomb,bɑɹkəm
bardo,bɑɹdoʊ
bared,bɛɹd
barentine,bɛɹəntaɪn
barfknecht,bɑɹfnɛkt
bargaining,bɑɹɡɪnɪŋ
barges,bɑɹdʒəz
barich,bæɹɪk
barings,bɛɹɪŋz
barium,bɛɹiəm
barker,bɑɹkɝ
barkman,bɑɹkmən
barletta,bɑɹɫɛtə
barnabas,bɑɹnəbəs
barnell,bɑɹnəɫ
barnfield,bɑɹnfiɫd
barnowski,bɑɹnaʊski
barometer,bɝɑmɪtɝ
baronet,bɛɹənət
barovic,bɛɹəvɪk
barraco,bɑɹɑkoʊ
barratt,bæɹət
barreled,bæɹəɫd
barrentine,bæɹəntaɪn
barricada,bɑɹɪkɑdə
barricks,bɛɹɪks
barriers,bɛɹiɝz
barrio,bɑɹioʊ
barritt,bɝɪt
barrowman,bæɹoʊmən
bars,bɑɹz
barsotti,bɑɹsoʊti
bartell,bɑɹteɪɫ
barth,bɑɹθ
bartholomew,bɑɹθɑɫəmju
bartles,bɑɹtəɫz
bartman,bɑɹtmən
bartolini,bɑɹtoʊɫini
bartosh,bɑɹtəʃ
bartz,bɑɹts
basa,bɑsə
bascay,bæskeɪ
baseboard,beɪsbɔɹd
basement,beɪsmənt
bash,bæʃ
bashful,bæʃfəɫ
basically,beɪsɪkɫi
basin,beɪsən
basked,bæskt
baskett,bæskɪt
basnight,bæznaɪt
bass,beɪs
bassette,bəsɛt
bassists,beɪsɪsts
bastards,bæstɝdz
bastin,bæstɪn
basu,bɑsu
batavia,bəteɪviə
bate,beɪt
bath,bæθ
bathke,bæθk
bathsheba,bæθʃibə
batiks,bətiks
baton-rouge,bætənɹudʒ
battaglia,bɑtɑɡɫiə
battenfield,bætənfiɫd
battersby,bætɝsbi
battipaglia,bætɪpæɡɫiə
battlefield,bætəɫfiɫd
battleships,bætəɫʃɪps
batz,bæts
baucus,bɑkəs
bauernfeind,baʊɝnfaɪnd
bauknight,bɔknaɪt
baumer,baʊmɝ
baumgart,baʊmɡɑɹt
baumholder,baʊmhɔɫdɝ
baus,bɔz
bauza,baʊzə
bawden,bɔdən
baxt,bækst
baybanks,beɪbæŋks
bayesian,beɪʒɪn
bayliner,beɪɫaɪnɝ
baynham,beɪnhəm
bayse,beɪz
baz,bæz
bazinet,bæzɪnɛt
bc,bisi
beachball,bitʃbɑɫ
beachfronts,bitʃfɹɑnts
beacon,bikən
beady,bidi
beak,bik
bealeton,biɫtən
beamon,bimən
beara,bɛɹə
beardsley,bɪɹdzɫi
bearishness,bɛɹɪʃnəs
beason,bizən
beatie,biti
beato,biætoʊ
beatty,biti
beaucoup,boʊku
beaujolais,boʊdʒoʊɫeɪ
beauties,bjutiz
beaven,bivən
bebber,bɛbɝ
bec,bɛk
becerra,bɛtʃɛɹɑ
bechtle,bɛtʃtəɫ
beckers,bɛkɝz
becklund,bɛkɫənd
beckons,bɛkənz
beckworths,bɛkwɝθs
becvar,bɛkvɝ
beddoe,bɛdoʊ
bedeviled,bɪdɛvəɫd
bedlam,bɛdɫəm
bednorz,bɛdnɔɹz
bedpan,bɛdpæn
beds,bɛdz
beebe,bibi
beecher,bitʃɝ
beef,bif
beehive,bihaɪv
beeler,biɫɝ
beens,bɪnz
beerman,bɪɹmən
beethoven,beɪtoʊvən
beezley,bizɫi
before,bifɔɹ
befuddles,bɪfədəɫz
begelman,beɪɡəɫmən
begging,bɛɡɪŋ
begins,bɪɡɪnz
begrudge,bɪɡɹədʒ
behan,bɛhən
behaviorist,bɪheɪvjɝɪst
beheld,bihɛɫd
behler,bɛɫɝ
behnke,bɛŋk
behr,bɛɹ
behrmann,bɛɹmən
beiersdorf,baɪɹzdɔɹf
beil,biɫ
bein,biɪn
