bout,baʊt
almo,ɑɫmoʊ
alms,ɑɫmz
alms,ɑmz
almy,ɔmi
aloe,æɫoʊ
aloi,ɑɫɔɪ
alon,əɫɑn
alot,əɫɑt
alpa,æɫpə
alpo,æɫpoʊ
alps,æɫps
also,ɔɫsoʊ
alto,æɫtoʊ
alum,æɫəm
alum,əɫəm
alun,eɪɫən
alys,æɫiz
alza,æɫzə
aman,ɑmən
amar,əmɑɹ
amax,eɪmæks
ambs,æmz
amca,æmkə
amen,ɑmɛn
amen,eɪmɛn
amer,eɪmɝ
ames,eɪmz
ames,eɪmz
amev,æmɛv
amex,æmɛks
amey,eɪmi
amid,əmɪd
amin,ɑmin
amir,ɑmɪɹ
amir,əmɪɹ
amis,æmɪs
amit,ɑmit
ammo,æmoʊ
amok,əmək
amon,ɑmɔn
amor,æmɝ
amre,æmɹə
amro,æmɹoʊ
amys,eɪmiz
amyx,æmɪks
anac,ænæk
anal,eɪnəɫ
anas,ænəs
andi,ændi
ando,ændoʊ
ands,ændz
anew,ənu
anew,ənju
ange,eɪndʒ
angi,ændʒi
angy,ændʒi
ankh,ænk
anns,ænz
anno,ænoʊ
anny,æni
anon,ænɔn
ansa,ænsə
anse,æns
ansi,ænsi
ante,ænti
anti,æntaɪ
anti,ænti
ants,ænts
anus,eɪnəs
anza,ænzə
aoki,eɪoʊki
aoun,aʊən
aoun,aʊun
apcs,eɪpisiz
apec,eɪpɛk
apel,ɑpɛɫ
apes,eɪps
apex,eɪpɛks
apia,ɑpɪɑ
apps,æps
apra,eɪpɹə
apso,æpsoʊ
aqua,ækwə
aqua,ɑkwə
arab,æɹəb
arab,eɪɹəb
arai,ɑɹɑi
aral,ɑɹɑɫ
aran,ɛɹən
arau,əɹaʊ
arba,ɑɹbə
arbo,ɑɹboʊ
arbs,ɑɹbz
arby,ɑɹbi
arce,ɑɹs
arch,ɑɹtʃ
arco,ɑɹkoʊ
arcs,ɑɹks
arda,ɑɹdə
area,ɛɹiə
arel,ɑɹɛɫ
aren,ɑɹən
ares,ɑɹz
arey,æɹi
argh,ɑɹɡ
argo,ɑɹɡoʊ
aria,ɑɹiə
aric,æɹɪk
arid,æɹəd
arid,ɛɹəd
aris,ɝis
arjo,ɑɹdʒoʊ
arjo,ɑɹjoʊ
arko,ɑɹkoʊ
arlt,ɑɹɫt
arms,ɑɹmz
arms,ɑɹmz
army,ɑɹmi
arne,ɑɹn
arnn,ɑɹn
arno,ɑɹnoʊ
arns,ɑɹnz
aros,ɑɹoʊz
arpa,ɑɹpə
arps,ɑɹps
arse,ɑɹs
arts,ɑɹts
arth,ɑɹθ
arts,ɑɹts
arty,ɑɹti
artz,ɑɹts
arum,ɛɹəm
arup,ɝup
arva,ɑɹvə
arve,ɑɹv
arzt,ɑɹzt
asaf,ɑsɑf
asap,eɪɛseɪpi
asap,eɪsæp
asat,æzæt
asay,əseɪ
asby,æsbi
asch,æʃ
asda,æsdə
asea,eɪɛsieɪ
asea,əziə
ashe,æʃ
ashy,æʃi
asic,æzɪk
aska,æskə
asko,æskoʊ
asks,æsks
asta,ɑstə
asus,eɪsəs
atco,ætkoʊ
atek,eɪtɛk
aten,eɪtən
ater,eɪtɝ
ates,eɪts
atha,æθə
atla,ætɫə
atom,ætəm
aton,ətɑn
atop,ətɑp
ator,ɑtɔɹ
atra,eɪtɹə
atta,ætə
aube,ɔb
auch,ɔtʃ
audi,aʊdi
audi,ɔdi
auel,aʊəɫ
auen,aʊən
auer,aʊɝ
auge,ɔdʒ
auld,ɔɫd
aull,ɔɫ
ault,ɔɫt
aune,ɔn
aung,ɔŋ
aunt,ænt
aunt,ɔnt
aust,ɔst
auth,ɔθ
auto,ɔtoʊ
avco,ævkoʊ
aven,ɑveɪn
aver,eɪvɝ
avey,eɪvi
avia,ɑviə
avid,ævəd
avid,ævɪd
aviv,ɑviv
avon,eɪvɑn
avow,əvaʊ
awad,əwɑd
awan,eɪwən
away,əweɪ
awed,ɔd
awol,eɪwɔɫ
awry,ɝaɪ
axas,æksəz
axed,ækst
axel,æksəɫ
axes,æksiz
axes,æksɪz
axid,æksɪd
axis,æksəs
axle,æksəɫ
axon,æksɑn
aydt,eɪt
ayer,aɪɝ
ayer,eɪɝ
ayes,aɪz
ayon,eɪɔn
ayre,ɛɹ
azar,ɑzɑɹ
aziz,əziz
bnai,bəneɪ
baab,bɑb
baar,bɑɹ
baas,bɑz
baba,bɑbə
baba,bəbə
babb,bæb
babe,beɪb
babs,bæbz
babu,bɑbu
baby,beɪbi
baca,bækə
bach,bɑk
back,bæk
bada,bɑdə
bade,beɪd
badu,bədu
bady,beɪdi
baek,bɛk
baek,bik
baer,bɛɹ
baez,baɪɛz
bagg,bæɡ
bags,bæɡz
bahe,beɪh
bahl,bɑɫ
bahm,bæm
bahn,bæn
bahr,bɑɹ
bahr,bɛɹ
baht,bɑt
baie,baɪi
baig,beɪɡ
bail,beɪɫ
baim,beɪm
bain,beɪn
baio,bɑioʊ
bair,bɛɹ
bait,beɪt
baja,bɑhɑ
baka,bɑkə
bake,beɪk
baku,bɑku
bala,bɑɫə
bald,bɔɫd
bale,beɪɫ
bali,bɑɫi
balk,bɑɫk
balk,bɔk
ball,bɔɫ
balm,bɑɫm
balm,bɑm
balz,bɔɫz
bame,beɪm
bans,bænz
banc,bæŋk
band,bænd
bane,beɪn
bang,bæŋ
banh,bæn
bank,bæŋk
bann,bæn
bans,bænz
bars,bɑɹz
bara,bɑɹə
bard,bɑɹd
bare,bɛɹ
barf,bɑɹf
barg,bɑɹɡ
bark,bɑɹk
barn,bɑɹn
baro,bɑɹoʊ
barr,bɑɹ
bars,bɑɹz
barz,bɑɹz
basa,bɑsə
base,beɪs
bash,bæʃ
basi,bɑsi
basi,beɪsi
bask,bæsk
bass,bæs
bass,beɪs
bast,bæst
basu,bɑsu
bate,beɪt
bath,bæθ
bats,bæts
batt,bæt
baty,beɪti
batz,bæts
baud,bɔd
baum,baʊm
baum,bɔm
baun,bɔn
baur,baʊɝ
baur,bɔɹ
baus,bɔz
bava,bɑvə
bawd,bɔd
bawl,bɔɫ
baxa,bæksə
baxt,bækst
bays,beɪz
baye,beɪ
bayh,beɪ
bays,beɪz
baze,beɪz
bbcs,bibisis
bead,bid
beak,bik
beal,biɫ
beam,bim
bean,bin
bear,bɛɹ
beas,biz
beat,bit
bebb,bɛb
beck,bɛk
beco,bikoʊ
beda,beɪdə
bede,bid
beds,bɛdz
bees,biz
beef,bif
beek,bik
beel,biɫ
beem,bim
been,bɪn
been,bən
been,bɪn
beep,bip
beer,bɪɹ
bees,biz
beet,bit
begg,bɛɡ
begs,bɛɡz
behl,bɛɫ
behm,bɛm
behn,bɛn
behr,bɛɹ
beil,biɫ
beim,baɪm
bein,bin
bein,biɪn
beit,baɪt
beit,beɪt
beji,bæʒi
belc,bɛɫk
bela,bɛɫə
beli,bɛɫi
belk,bɛɫk
belo,bɛɫoʊ
bels,bɛɫz
belt,bɛɫt
bely,bəɫaɪ
belz,bɛɫz
bens,bɛnz
bena,bɛnə
bend,bɛnd
bene,bɛnə
beni,bɛni
benn,bɛn
beno,beɪnoʊ
bens,bɛnz
bent,bɛnt
benz,bænz
benz,bɛnz
bera,bɛɹə
bere,bɪɹ
berg,bɝɡ
berk,bɝk
berm,bɝm
bern,bɝn
bero,bɛɹoʊ
best,bɛst
bets,bɛts
beta,beɪtə
bets,bɛts
bett,bɛt
betz,bɛts
bevy,bɛvi
beyl,beɪɫ
bias,baɪəs
biaz,biæz
biba,bibə
bibb,bɪb
bibs,bɪbz
biby,baɪbi
bice,baɪs
bick,bɪk
bids,bɪdz
bide,baɪd
bids,bɪdz
biel,biɫ
bien,bin
bier,biɹ
bies,baɪz
biev,biv
biff,bɪf
bigs,bɪɡz
bihl,bɪɫ
bihm,bɪm
bihn,bɪn
bike,baɪk
biko,bikoʊ
bila,biɫə
bild,bɪɫd
bile,baɪɫ
bilk,bɪɫk
bily,bɪɫi
bima,bimə
bina,binə
bind,baɪnd
bing,bɪŋ
bink,bɪŋk
binn,bɪn
bins,bɪnz
binz,bɪnz
bios,baɪoʊz
bios,baɪoʊs
bird,bɝd
birk,bɝk
biro,bɪɹoʊ
birr,bɝ
birt,bɝt
bise,baɪz
bish,bɪʃ
biss,bɪs
bite,baɪt
bits,bɪts
bitz,bɪts
blab,bɫæb
blah,bɫɑ
blan,bɫæn
blas,bɫɑs
blau,bɫaʊ
blay,bɫeɪ
blea,bɫi
bled,bɫɛd
bleu,bɫu
blew,bɫu
bley,bɫeɪ
blip,bɫɪp
blob,bɫɑb
bloc,bɫɑk
blog,bɫɔɡ
blok,bɫɑk
blom,bɫɑm
blot,bɫɑt
blow,bɫoʊ
blue,bɫu
blum,bɫum
blur,bɫɝ
blvd,bʊɫəvɑɹd
blye,bɫaɪ
boak,boʊk
boal,boʊɫ
boan,boʊn
boar,bɔɹ
boas,boʊəz
boat,boʊt
boaz,boʊæz
bobs,bɑbz
bobb,bɑb
bobe,boʊb
bobo,boʊboʊ
boca,boʊkə
boch,bɑk
bock,bɑk
boda,boʊdə
bode,boʊd
bodi,boʊdi
bodo,boʊdoʊ
body,bɑdi
boeh,boʊ
boen,boʊn
boer,bɔɹ
boes,boʊz
boff,bɔf
boge,boʊdʒ
bogs,bɑɡz
bogs,bɔɡz
bohl,boʊɫ
bohm,bɑm
bohn,boʊn
bohr,bɔɹ
boik,bɔɪk
boil,bɔɪɫ
bois,bwɑ
bola,boʊɫə
bold,boʊɫd
bole,boʊɫ
bolf,boʊɫf
boll,boʊɫ
bolt,boʊɫt
bolz,boʊɫz
bomb,bɑm
bomb,bɔm
bona,boʊnə
bond,bɑnd
bone,boʊn
boni,boʊni
bonk,bɑŋk
bonn,bɑn
bono,boʊnoʊ
bons,bɑns
bony,boʊni
boob,bub
booe,bɑoʊ
book,bʊk
boom,bum
boon,bun
boop,bup
boor,bʊɹ
boos,buz
boot,but
booz,buz
bopp,bɑp
bora,bɔɹə
bore,bɔɹ
borg,bɔɹɡ
bork,bɔɹk
born,bɔɹn
boro,bɝoʊ
bors,bɔɹz
bort,bɔɹt
bose,boʊz
bosh,bɑʃ
boso,boʊsoʊ
boss,bɑs
boss,bɔs
boss,bɔs
bost,bɑst
both,boʊθ
bots,bɔts
bott,bɑt
botz,bɑts
bour,baʊɹ
bout,baʊt
bova,boʊvə
bove,boʊv
bowe,boʊ
bowl,boʊɫ
bown,boʊn
bows,baʊz
bows,boʊz
boxx,bɑks
boxy,bɑksi
boys,bɔɪz
boye,bɔɪ
boys,bɔɪz
boys,bɔɪz
boyt,bɔɪt
boyz,bɔɪz
boza,boʊzə
boze,boʊz
bozo,boʊzoʊ
brac,bɹæk
brae,bɹeɪ
brag,bɹæɡ
bram,bɹæm
bran,bɹæn
bras,bɹæs
bras,bɹɑs
brat,bɹæt
brau,bɹaʊ
bray,bɹeɪ
braz,bɹæz
brca,bɹɪkə
brea,bɹi
bred,bɹɛd
brem,bɹɛm
bren,bɹɛn
brew,bɹu
brey,bɹeɪ
bria,bɹiə
bric,bɹɪk
brie,bɹi
brig,bɹɪɡ
brim,bɹɪm
brin,bɹɪn
brio,bɹaɪoʊ
brit,bɹɪt
brix,bɹɪks
bros,bɹoʊz
broc,bɹɑk
brod,bɹɑd
broe,bɹoʊ
brok,bɹɑk
brom,bɹɑm
brow,bɹaʊ
brox,bɹɑks
broy,bɹɔɪ
broz,bɹɑz
brue,bɹu
brum,bɹəm
brun,bɹən
brus,bɹəs
brut,bɹut
brye,bɹaɪ
bryk,bɹɪk
bryn,bɹɪn
brys,bɹɪs
bubb,bəb
buch,bətʃ
bucs,bəks
bucs,bəks
bucy,bjusi
buds,bədz
budd,bəd
buds,bədz
budz,bədz
buel,bjuɫ
buer,buɝ
bufe,bjuf
buff,bəf
buga,bijudʒieɪ
buga,bjuɡə
bugg,bəɡ
bugh,bjuɡ
bugs,bəɡz
buhl,bjuɫ
buhr,bjʊɹ
buie,bwi
buie,bui
buil,bjuəɫ
buis,bɪz
bulb,bəɫb
bulk,bəɫk
bull,bʊɫ
bult,bəɫt
bump,bəmp
bums,bəmz
bund,bənd
bung,bəŋ
bunk,bəŋk
bunn,bən
buns,bənz
bunt,bənt
buol,boʊɫ
buoy,bui
bupp,bəp
burd,bɝd
burg,bɝɡ
buri,bʊɹi
burk,bɝk
burn,bɝn
burp,bɝp
burr,bɝ
bury,bɛɹi
busa,bjusə
buse,bjuz
bush,bʊʃ
busk,bəsk
buss,bəs
bust,bəst
busy,bɪzi
buts,bəts
bute,bjut
buth,buθ
buts,bəts
butt,bət
butz,bəts
buus,buz
buys,baɪz
buys,baɪz
buza,bjuzə
buzz,bəz
byam,baɪəm
byas,baɪəs
byer,baɪɝ
byrd,bɝd
byrn,bɪɹn
byte,baɪt
byun,bjən
byus,baɪəs
cest,seɪ
cest,sɛst
cmon,kəmɑn
caan,kɑn
cabs,kæbz
caba,kɑbə
cabe,keɪb
cabo,sieɪbioʊ
cabo,kæboʊ
cabs,kæbz
cacs,kæks
cada,kɑdə
cade,keɪd
cads,kæds
cady,keɪdi
caen,kæn
caen,kɑn
cafe,kæfeɪ
cafe,kəfeɪ
cage,keɪdʒ
cahn,kæn
cail,keɪɫ
cain,keɪn
cake,keɪk
cala,kɑɫə
cale,keɪɫ
calf,kæf
cali,kæɫi
cali,kɑɫi
calk,kɔk
call,kɔɫ
calm,kɑɫm
calm,kɑm
calo,kɑɫoʊ
cams,kæmz
cama,kɑmə
cama,sieɪɛmeɪ
came,keɪm
camm,kæm
camp,kæmp
cams,kæmz
cans,kænz
cant,kænt
cana,kænə
cane,keɪn
cann,kæn
cano,kɑnoʊ
cans,kænz
cant,kænt
caps,kæps
cape,keɪp
capo,kɑpoʊ
capp,kæp
caps,kæps
caqs,kæks
cars,kɑɹz
carb,kɑɹb
card,kɑɹd
care,kɛɹ
carn,kɑɹn
caro,kɑɹoʊ
carp,kɑɹp
carr,kɑɹ
cars,kɑɹz
cars,kɑz
cars,kɑɹz
cart,kɑɹt
casa,kɑsə
case,keɪs
cash,kæʃ
cask,kæsk
caso,kɑsoʊ
cass,kæs
cast,kæst
cats,kæts
cate,keɪt
cato,keɪtoʊ
cats,kæts
catt,kæt
caul,kɑɫ
caul,kɔɫ
cava,kɑvə
cave,keɪv
caya,keɪə
cctv,sisitivi
cebu,sibu
cece,sis
cech,sɛk
ceci,sɛsi
ceco,sikoʊ
cede,sid
cees,siz
ceja,seɪjə
cela,sɛɫə
cele,siɫ
cell,sɛɫ
celo,sɛɫoʊ
celo,siiɛɫoʊ
celo,siɫoʊ
cels,sɛɫz
celt,kɛɫt
celt,sɛɫt
cemp,sɛmp
cent,sɛnt
cera,sɛɹə
cerf,sɝf
cern,sɝn
cero,sɛɹoʊ
cert,sɝt
ceta,sɛtə
ceta,siitieɪ
chai,tʃaɪ
cham,tʃæm
chao,tʃaʊ
chap,tʃæp
char,tʃɑɹ
chat,tʃæt
chaw,tʃɔ
chaz,tʃæz
ches,tʃeɪz
chea,tʃi
chee,tʃi
chef,ʃɛf
chek,tʃɛk
chem,kɛm
chen,tʃɛn
ches,tʃɛs
chew,tʃu
chez,ʃeɪ
chez,tʃɛz
chis,kaɪz
chic,ʃik
chip,tʃɪp
chit,tʃɪt
chiu,tʃu
choe,tʃoʊ
choi,tʃɔɪ
chok,tʃɑk
chon,tʃɑn
choo,tʃu
chop,tʃɑp
chou,tʃu
chow,tʃaʊ
choy,tʃɔɪ
chua,kuə
chua,kwɑ
chug,tʃəɡ
chul,tʃəɫ
chum,tʃəm
cian,ʃin
ciao,tʃaʊ
ciba,saɪbə
ciba,sibə
ciel,siɫ
ciga,siɡɑ
cima,tʃimə
cimo,tʃimoʊ
cina,tʃinə
cini,tʃini
cino,tʃinoʊ
cinq,sɪŋk
cist,sɪst
cite,saɪt
citi,sɪti
city,sɪti
clad,kɫæd
clam,kɫæm
clan,kɫæn
clap,kɫæp
clar,kɫɑɹ
claw,kɫɔ
clef,kɫɛf
clem,kɫɛm
clif,kɫɪf
clim,kɫɪm
clio,kɫioʊ
clip,kɫɪp
cloe,kɫoʊ
clog,kɫɑɡ
clos,kɫɑs
clot,kɫɑt
clow,kɫoʊ
cloy,kɫɔɪ
club,kɫəb
clue,kɫu
cluj,kɫudʒ
cluj,siɛɫjudʒeɪ
clum,kɫəm
cmos,siɛmoʊɛs
cmos,simoʊs
cnet,sinɛt
cnns,siɛnɛnz
coad,koʊd
coal,koʊɫ
coan,koʊn
coar,kɔɹ
coat,koʊt
coax,koʊks
cobb,kɑb
cobe,koʊb
cobo,koʊboʊ
cobs,kɑbz
coby,koʊbi
coca,koʊkə
cock,kɑk
coco,koʊkoʊ
coda,koʊdə
codd,kɑd
code,koʊd
coed,koʊɛd
coed,koʊd
coen,koʊɪn
coey,koʊi
cohn,koʊn
coho,koʊhoʊ
cohr,kɔɹ
coia,koʊjə
coif,kwɑf
coil,kɔɪɫ
coin,kɔɪn
coit,kɔɪt
coke,koʊk
cola,koʊɫə
cold,koʊɫd
coli,koʊɫi
coll,kɑɫ
colm,koʊɫm
colo,koʊɫoʊ
colt,koʊɫt
coms,kɑmz
coma,koʊmə
comb,koʊm
come,kəm
comm,kɑm
como,koʊmoʊ
comp,kɑmp
coms,kɑmz
cona,koʊnə
cone,koʊn
cong,kɔŋ
conk,kɑŋk
conn,kɑn
cons,kɑnz
cook,kʊk
cool,kuɫ
coon,kun
coop,kup
coos,kus
coot,kut
copa,koʊpə
cope,koʊp
copp,kɑp
cops,kɑps
copy,kɑpi
cord,kɔɹd
core,kɔɹ
cork,kɔɹk
corl,kɔɹɫ
corm,kɔɹm
corn,kɔɹn
corp,kɔɹp
corp,kɔɹpɝeɪʃən
corr,kɔɹ
cort,kɔɹt
cosa,koʊsɑ
cose,koʊz
cosi,koʊsi
coss,kɔs
cost,kɑst
cost,kɔst
cosy,koʊzi
cota,koʊtə
cote,koʊt
coto,koʊtoʊ
cots,kɑts
cott,kɑt
coty,koʊti
coup,ku
cour,kʊɹ
cove,koʊv
covy,kəvi
cows,kaʊz
cowl,kaʊɫ
cows,kaʊz
coxs,kɑksɪz
coxe,kɑks
coye,kɔɪ
coym,kɔɪm
cozy,koʊzi
crab,kɹæb
crag,kɹæɡ
cram,kɹæm
crap,kɹæp
craw,kɹɔ
cray,kɹeɪ
crea,kɹi
cree,kɹi
cref,kɹɛf
crew,kɹu
crib,kɹɪb
crim,kɹɪm
crip,kɹɪp
croc,kɹɑk
crom,kɹɑm
cron,kɹɑn
crop,kɹɑp
cros,kɹɔs
crow,kɹoʊ
croy,kɹɔɪ
crud,kɹəd
crum,kɹəm
crux,kɹəks
crye,kɹaɪ
csar,zɑɹ
cspi,siɛspiaɪ
cuba,kjubə
cube,kjub
cubs,kəbz
cubs,kəbz
cuco,kukoʊ
cudd,kəd
cude,kjud
cued,kjud
cues,kjuz
cuff,kəf
cull,kəɫ
culp,kəɫp
cult,kəɫt
cunt,kənt
cuny,kjuni
cups,kəps
cupo,kjupoʊ
cupp,kəp
cups,kəps
curb,kɝb
curd,kɝd
cure,kjʊɹ
curl,kɝɫ
cush,kəʃ
cush,kʊʃ
cusk,kəsk
cuso,kjusoʊ
cuso,kusoʊ
cusp,kəsp
cuss,kəs
cute,kjut
cuts,kəts
cwik,kwɪk
cyan,saɪæn
cyst,sɪst
czar,zɑɹ
czyz,tʃɪz
daas,dɑs
dace,deɪs
dack,dæk
dacs,dæks
dacy,deɪsi
dads,dædz
dada,dɑdɑ
dade,deɪd
dado,deɪdoʊ
dads,dædz
dady,deɪdi
daft,dæft
dagg,dæɡ
dahl,dɑɫ
dahm,dæm
dahn,dæn
dahn,dɑn
dail,deɪɫ
dain,deɪn
dais,deɪz
dake,deɪk
dali,dɑɫi
dall,dɔɫ
dalo,dɑɫoʊ
daly,deɪɫi
dams,dæmz
dama,dɑmə
dame,deɪm
damm,dæm
damn,dæm
damp,dæmp
dams,dæmz
dans,dænz
dang,dæŋ
dank,dæŋk
dano,dɑnoʊ
dant,dænt
danz,dænz
dapp,dæp
dare,dɛɹ
dark,dɑɹk
darn,dɑɹn
darr,dɑɹ
darr,dɛɹ
dart,dɑɹt
dasa,dæsə
dasa,dɑsə
dase,deɪz
dash,dæʃ
dass,dæs
data,dætə
data,deɪtə
date,deɪt
dato,dɑtoʊ
dats,dæts
datz,dæts
daub,dɔb
daul,dɔɫ
daum,dɔm
daun,dɔn
daus,dɔz
davi,dɑvi
davy,deɪvi
dawe,dɔ
daws,dɔz
daxs,dæksɪz
days,deɪz
daya,daɪə
daye,deɪ
days,deɪz
days,deɪz
daze,deɪz
dazs,dɑs
dead,dɛd
deaf,dɛf
deak,dik
deal,diɫ
deam,dim
dear,dɪɹ
deas,diz
debo,diboʊ
debs,dɛbz
debt,dɛt
decs,dɛks
dech,dɛk
deck,dɛk
deco,dɛkoʊ
dedo,deɪdoʊ
dees,diz
deeb,dib
deed,did
deeg,diɡ
deel,diɫ
deem,dim
deen,din
deep,dip
deer,dɪɹ
dees,diz
deet,dit
deft,dɛft
defy,dɪfaɪ
dehm,dɛm
dehn,dɛn
deis,deɪɪz
deis,diz
dela,dɛɫə
deli,dɛɫi
delk,dɛɫk
delo,dɛɫoʊ
delp,dɛɫp
demi,dɛmi
demo,dɛmoʊ
deng,dɛŋ
denk,dɛŋk
denn,dɛn
deno,dinoʊ
dens,dɛnz
dent,dɛnt
deny,dɪnaɪ
denz,dɛnz
depo,dɛpoʊ
depo,dipoʊ
depp,dɛp
derk,dɝk
dern,dɝn
derr,dɛɹ
dery,dɛɹi
desi,dɛzi
desk,dɛsk
dest,dɛst
deux,du
deva,deɪvə
dews,duz
dewy,dui
deyo,deɪoʊ
dhia,diə
diab,daɪəb
dial,daɪəɫ
dial,daɪɫ
dias,daɪəz
diaz,diæz
diaz,diɑz
dibb,dɪb
dibs,dɪbz
dice,daɪs
didi,didi
dido,daɪdoʊ
died,daɪd
diel,diɫ
diem,dim
diep,dip
dier,diɝ
dies,daɪz
diet,daɪət
diez,daɪəz
diff,dɪf
difm,diaɪɛfɛm
difm,dɪfm
digs,dɪɡz
dike,daɪk
dilg,dɪɫɡ
dill,dɪɫ
dils,dɪɫz
dime,daɪm
dims,dɪmz
dine,daɪn
ding,dɪŋ
dinh,dɪn
dini,dini
dink,dɪŋk
dint,dɪnt
dior,diɔɹ
dios,dioʊs
dios,dioʊs
dips,dɪps
dire,daɪɝ
dire,daɪɹ
dirr,dɝ
dirt,dɝt
disa,dɪsə
disc,dɪsk
dise,daɪs
dise,daɪz
dish,dɪʃ
disk,dɪsk
diss,dɪs
dith,dɪθ
diva,divə
dive,daɪv
divi,divi
diwa,diwə
dixy,dɪksi
doak,doʊk
doan,doʊn
doar,dɔɹ
dobb,dɑb
doby,doʊbi
dock,dɑk
docs,dɑks
dodd,dɑd
dodi,doʊdi
dodo,doʊdoʊ
does,doʊz
doer,duɹ
does,dəz
does,dɪz
doff,dɔf
dogs,dɔɡz
doge,doʊdʒ
dogs,dɑɡz
dogs,dɔɡz
dogs,dɔɡz
doha,doʊhɑ
dohm,dɑm
dohn,dɑn
dohr,dɔɹ
doig,dɔɪɡ
doin,duɪn
doke,doʊk
dold,doʊɫd
dole,doʊɫ
dolf,doʊɫf
doll,dɑɫ
dols,dɑɫz
dome,doʊm
dons,dɑnz
dont,doʊn
dont,doʊnt
done,dən
dons,dɑnz
doom,dum
door,dɔɹ
dopa,doʊpə
dope,doʊp
dopp,dɑp
dore,dɔɹ
dorf,dɔɹf
dorm,dɔɹm
dorn,dɔɹn
doro,dɔɹoʊ
dorr,dɔɹ
dort,dɔɹt
dory,dɔɹi
dose,doʊs
dosh,dɑʃ
doss,dɔs
dost,dɑst
dote,doʊt
doth,dɔθ
doto,doʊtoʊ
dots,dɑts
dott,dɑt
doty,doʊti
doub,daʊb
doud,daʊd
dour,daʊɝ
dour,daʊɹ
dove,dəv
dove,doʊv
dows,daʊz
dowd,daʊd
dowe,daʊ
down,daʊn
doxy,dɑksi
doze,doʊz
drab,dɹæb
drag,dɹæɡ
dram,diɹæm
dram,dɹæm
draw,dɹɔ
dray,dɹeɪ
dred,dɹɛd
drey,dɹeɪ
drip,dɹɪp
drop,dɹɑp
drop,dɹɔp
droz,dɹɑz
drub,dɹəb
drug,dɹəɡ
drum,dɹəm
drye,dɹaɪ
dual,duəɫ
dual,duɫ
duan,dwæn
duan,dweɪn
duba,dubə
dube,dub
dubs,dəbz
duby,dubi
