abby,æbi
elza,ɛɫzə
emil,ɛmiɫ
emma,ɛmə
emmy,ɛmi
enid,inɪd
eric,ɛɹɪk
erik,ɛɹɪk
erin,ɛɹɪn
erma,ɝmə
erna,ɝnə
esta,ɛstə
etta,ɛtə
eula,juɫə
evan,ɛvən
evon,ɛvən
ezra,ɛzɹə
fawn,fɔn
faye,feɪ
fern,fɝn
flor,fɫɔɹ
floy,fɫɔɪ
fran,fɹæn
fred,fɹɛd
gail,ɡeɪɫ
gala,ɡæɫə
gala,ɡeɪɫə
gale,ɡeɪɫ
gary,ɡæɹi
gary,ɡɛɹi
gaye,ɡeɪ
gena,dʒɛnə
gene,dʒin
geri,dʒɛɹi
gigi,dʒidʒi
gina,dʒinə
gino,dʒinoʊ
glen,ɡɫɛn
greg,ɡɹɛɡ
gwen,ɡwɛn
gwyn,ɡwɪn
hana,hænə
hang,hæŋ
hank,hæŋk
hans,hænz
hans,hɑns
hedy,hidi
herb,ɝb
herb,hɝb
hong,hɔŋ
hope,hoʊp
hoyt,hɔɪt
huey,hjui
hugh,hju
hugh,ju
hugo,hjuɡoʊ
hugo,juɡoʊ
hung,həŋ
hyun,haɪən
hyun,hjən
ilse,ɪɫs
ines,ɪnɪs
ines,ɪnɛs
inez,ɪnɛz
inga,iŋɡə
inge,ɪndʒ
iola,aɪoʊɫə
iona,aɪoʊnə
ione,aɪoʊni
iris,aɪɹəs
iris,aɪɹɪs
irma,ɝmə
isis,aɪsəs
ivan,aɪvən
ivey,aɪvi
jack,dʒæk
jade,dʒeɪd
jake,dʒeɪk
jama,dʒæmə
jami,dʒeɪmi
jana,dʒænə
jane,dʒeɪn
jani,jɑni
jann,dʒæn
jaye,dʒeɪ
jean,dʒin
jeff,dʒɛf
jena,dʒinə
jere,dʒɛɹi
jeri,dʒɛɹi
jess,dʒɛs
jill,dʒɪɫ
joan,dʒoʊn
jodi,dʒoʊdi
jody,dʒoʊdi
joel,dʒoʊəɫ
joey,dʒoʊi
john,dʒɑn
joie,ʒwɑ
jone,dʒoʊn
jong,dʒɔŋ
joni,dʒoʊni
jose,hoʊzeɪ
josh,dʒɑʃ
joye,dʒɔɪ
juan,hwɑn
juan,wɑn
jude,dʒud
judi,dʒudi
judy,dʒudi
jule,dʒuɫ
juli,dʒuɫi
june,dʒun
jung,jʊŋ
kali,kɑɫi
kara,kɛɹə
kari,kɛɹi
karl,kɑɹɫ
kary,kɛɹi
kasi,kɑzi
kate,keɪt
kati,keɪti
katy,keɪti
kaye,keɪ
kent,kɛnt
kera,kɛɹə
king,kɪŋ
kira,kɪɹɑ
kirk,kɝk
kory,kɔɹi
kris,kɹɪs
kurt,kɝt
kyle,kaɪɫ
kyra,kaɪɹə
lacy,ɫeɪsi
lady,ɫeɪdi
lala,ɫɑɫə
lana,ɫænə
lane,ɫeɪn
lang,ɫæŋ
lani,ɫɑni
lara,ɫɑɹə
leah,ɫiə
lean,ɫin
leda,ɫidə
leia,ɫiɑ
leif,ɫif
lela,ɫiɫə
lena,ɫinə
leon,ɫiɑn
lesa,ɫisə
leta,ɫɛtə
levi,ɫivaɪ
lida,ɫidə
lien,ɫin
lila,ɫiɫə
lili,ɫɪɫi
lily,ɫɪɫi
lina,ɫinə
ling,ɫɪŋ
linh,ɫɪn
linn,ɫɪn
lino,ɫinoʊ
lisa,ɫisə
lise,ɫaɪz
lita,ɫitə
liza,ɫizə
loan,ɫoʊn
lois,ɫoʊəs
lola,ɫoʊɫə
loma,ɫoʊmə
lona,ɫoʊnə
long,ɫɔŋ
loni,ɫɑni
lora,ɫɔɹə
lore,ɫɔɹ
lori,ɫɔɹi
lory,ɫɔɹi
love,ɫəv
loyd,ɫɔɪd
luba,ɫubə
lucy,ɫusi
luis,ɫuis
luke,ɫuk
lula,ɫuɫə
lulu,ɫuɫu
luna,ɫunə
lupe,ɫup
lura,ɫʊɹə
lyda,ɫaɪdə
lyle,ɫaɪɫ
lynn,ɫɪn
mack,mæk
macy,meɪsi
maia,maɪə
mana,mɑnə
many,mɛni
mara,mɑɹə
marc,mɑɹk
mari,mɑɹi
mark,mɑɹk
marx,mɑɹks
mary,mɛɹi
matt,mæt
maud,mɔd
maya,maɪə
maye,meɪ
meda,meɪdə
meta,mitə
mica,maɪkə
mika,mikə
mike,maɪk
mila,maɪɫə
milo,maɪɫoʊ
mimi,mimi
mina,minə
mina,mɪnə
ming,mɪŋ
minh,mɪn
mira,mɪɹə
miss,mɪs
mona,moʊnə
moon,mun
mora,mɔɹə
mose,moʊz
myra,maɪɹə
nada,nɑdɑ
nana,nænə
neal,niɫ
neda,neɪdə
neil,niɫ
nell,nɛɫ
neva,neɪvə
nick,nɪk
nida,nidə
niki,nɪki
nila,niɫə
nina,ninə
nita,nitə
noah,noʊə
noel,noʊɛɫ
nola,noʊɫə
nona,nɑnɑ
nora,nɔɹə
nova,noʊvə
olen,ɑɫən
olga,oʊɫɡə
olin,oʊɫɪn
omar,oʊmɑɹ
omer,oʊmɝ
opal,oʊpəɫ
oren,ɔɹən
otha,əðɑ
otis,oʊtɪs
otto,ɑtoʊ
owen,oʊən
page,peɪdʒ
paul,pɔɫ
pete,pit
phil,fɪɫ
ping,pɪŋ
pura,pjʊɹə
pura,pʊɹə
rana,ɹænə
raul,ɹaʊɫ
raul,ɹɔɫ
raul,ɹɑuɫ
raye,ɹeɪ
reba,ɹibə
reda,ɹeɪdə
reed,ɹid
reid,ɹid
rena,ɹinə
rene,ɹəneɪ
reta,ɹɛtə
reva,ɹeɪvə
rhea,ɹiə
rich,ɹɪtʃ
rick,ɹɪk
rico,ɹikoʊ
rima,ɹimə
rina,ɹinə
risa,ɹisə
rita,ɹitə
riva,ɹivə
rolf,ɹoʊɫf
roma,ɹoʊmɑ
rona,ɹoʊnə
roni,ɹoʊni
rory,ɹɔɹi
rosa,ɹoʊzə
rose,ɹoʊz
ross,ɹɑs
ross,ɹɔs
rosy,ɹoʊzi
roxy,ɹɑksi
rubi,ɹubi
ruby,ɹubi
rudy,ɹudi
russ,ɹəs
ruth,ɹuθ
ryan,ɹaɪən
sage,seɪdʒ
sana,sɑnə
sang,sæŋ
sara,sɛɹə
sari,sɑɹi
saul,sɔɫ
scot,skɑt
sean,ʃɔn
sena,sɛnə
seth,sɛθ
shad,ʃæd
shan,ʃæn
shay,ʃeɪ
shea,ʃeɪ
shin,ʃɪn
shon,ʃɑn
sima,simə
skye,skaɪ
song,sɔŋ
soon,sun
stan,stæn
star,stɑɹ
sung,səŋ
susy,suzi
suzy,suzi
tama,tɑmə
tami,tæmi
tara,tɑɹə
tara,tɛɹə
tena,tɛnə
teri,tɛɹi
tess,tɛs
thad,θæd
thao,ðaʊ
thea,θiə
theo,θioʊ
thuy,tu
tien,tjɛn
tina,tinə
tiny,taɪni
tish,tɪʃ
toby,toʊbi
todd,tɑd
toni,toʊni
tony,toʊni
tori,tɔɹi
tory,tɔɹi
toya,tɔɪə
tran,tɹæn
trey,tɹeɪ
troy,tɹɔɪ
tula,tuɫə
tyra,taɪɹə
veda,veɪdə
vena,vinə
vera,vɛɹə
vern,vɝn
veta,vɛtə
vida,vaɪdə
vina,vinə
vita,vaɪtə
vito,vitoʊ
viva,vivə
wade,weɪd
ward,wɔɹd
will,wɪɫ
will,wəɫ
xiao,ʒaʊ
xuan,ʒwɑn
yang,jæŋ
ying,jɪŋ
yoko,joʊkoʊ
yong,jɔŋ
yuko,jukoʊ
yung,jəŋ
yuri,jʊɹi
zack,zæk
zada,zɑdə
zane,zeɪn
zena,zinə
zita,zitə
zola,zoʊɫə
zona,zoʊnə
zora,zɔɹə
