aaron,ɛɹən
daryl,dɛɹəɫ
david,deɪvɪd
davis,deɪvəs
davis,deɪvɪs
dayle,deɪɫ
deana,diænə
deane,din
debby,dɛbi
debra,dɛbɹə
delia,diɫjə
della,dɛɫə
delma,dɛɫmə
delta,dɛɫtə
denis,dɛnɪs
denny,dɛni
derek,dɛɹɪk
devin,dɛvɪn
devon,dɛvən
dewey,dui
diana,daɪænə
diane,daɪæn
diego,dieɪɡoʊ
dinah,daɪnə
dione,diɑn
dixie,dɪksi
dolly,dɑɫi
donna,dɑnə
donny,dɑni
doria,dɔɹiə
dorie,dɔɹi
doris,dɑɹəs
doris,dɑɹɪs
doris,dɔɹəs
doris,dɔɹɪs
dotty,dɑti
doyle,dɔɪɫ
duane,dweɪn
dulce,dəɫs
dusty,dəsti
dwana,dwɑnə
dylan,dɪɫən
earle,ɝɫ
ebony,ɛbəni
eddie,ɛdi
edgar,ɛdɡɝ
edith,idɪθ
edris,ɪdɹis
edwin,ɛdwən
edwin,ɛdwɪn
edyth,ɛdɪθ
effie,ɛfi
elane,ɪɫeɪn
elden,ɛɫdən
eldon,ɪɫdɑn
elena,ɛɫənɑ
elena,ɛɫeɪnɑ
elene,ɛɫin
elias,əɫaɪəs
elisa,əɫisə
elisa,əɫizə
elise,əɫis
eliza,ɪɫaɪzə
ellan,ɛɫən
ellen,ɛɫən
ellie,ɛɫi
ellis,ɛɫɪs
ellyn,ɛɫɪn
elmer,ɛɫmɝ
elroy,ɪɫɹɔɪ
elsie,ɛɫsi
elton,ɛɫtən
elvia,ɛɫviə
elvie,ɛɫvi
elvin,ɛɫvɪn
elvis,ɛɫvɪs
elyse,ɛɫaɪs
emery,ɛmɝi
emile,eɪmiɫ
emily,ɛmɪɫi
emmie,ɛmi
emory,ɛmɝi
enoch,inək
enola,ɪnoʊɫə
erica,ɛɹɪkə
erich,ɛɹɪk
erick,ɛɹɪk
erika,ɛɹɪkə
ernie,ɝni
errol,ɛɹəɫ
ervin,ɝvɪn
erwin,ɝwɪn
essie,ɛsi
ester,ɛstɝ
ethan,iθən
ethel,ɛθəɫ
ethyl,ɛθəɫ
ettie,ɛti
evita,ɛvitə
fairy,fɛɹi
faith,feɪθ
fanny,fæni
farah,fɛɹə
felix,fiɫɪks
fidel,fɪdɛɫ
fiona,fioʊnə
fleta,fɫitə
flora,fɫɔɹə
floyd,fɫɔɪd
fonda,fɑndə
frank,fɹæŋk
freda,fɹɛd
frida,fɹidə
fritz,fɹɪts
galen,ɡeɪɫən
garry,ɡæɹi
garry,ɡɛɹi
garth,ɡɑɹθ
gavin,ɡævɪn
gayle,ɡeɪɫ
gemma,dʒɛmə
genie,dʒini
genna,dʒɛnə
gerda,ɡɝdə
gerri,dʒɛɹi
gerry,dʒɛɹi
gilda,ɡɪɫdə
ginny,dʒɪni
glenn,ɡɫɛn
glory,ɡɫɔɹi
golda,ɡoʊɫdə
grace,ɡɹeɪs
grady,ɡɹeɪdi
grant,ɡɹænt
gregg,ɡɹɛɡ
greta,ɡɹitə
haley,heɪɫi
hanna,hænə
harry,hɛɹi
hazel,heɪzəɫ
heath,hiθ
heide,haɪd
heidi,haɪdi
helen,hɛɫən
helga,hɛɫɡə
henry,hɛnɹi
herta,hɝtə
hilda,hɪɫdə
hilde,hɪɫd
hilma,hɪɫmə
hiram,haɪɹəm
holly,hɑɫi
homer,hoʊmɝ
honey,həni
hosea,hoʊsiə
hosea,hoʊzeɪə
hyman,haɪmən
ilana,ɪɫɑnə
ilene,ɪɫin
ilona,ɪɫoʊnə
india,ɪndiə
inger,ɪŋɝ
irena,ɪɹeɪnə
irene,aɪɹin
irina,ɪɹinə
irish,aɪɹɪʃ
irvin,ɝvɪn
irwin,ɝwən
irwin,ɝwɪn
isaac,aɪzək
isaac,aɪzɪk
issac,aɪzɪk
issac,ɪsək
ivana,ɪvɑnə
ivory,aɪvɝi
ivory,aɪvɹi
jacki,dʒæki
jacob,dʒeɪkəb
jaime,haɪmi
jamal,dʒəmɑɫ
jamar,jɑmɑɹ
james,dʒeɪmz
jamie,dʒeɪmi
janel,dʒænəɫ
janet,dʒænət
janet,dʒænɪt
janey,dʒeɪni
janie,dʒeɪni
janis,dʒænɪs
janna,dʒænə
jared,dʒɛɹɪd
jason,dʒeɪsən
jayme,dʒeɪmi
jayne,dʒeɪn
jeana,dʒinə
jeane,dʒin
jenna,dʒɛnə
jenni,dʒɛni
jenny,dʒɛni
jerri,dʒɛɹi
jerry,dʒɛɹi
jesse,dʒɛsi
jesus,dʒizəs
jetta,dʒɛtə
jewel,dʒuəɫ
jewel,dʒuɫ
jimmy,dʒɪmi
joann,dʒoʊæn
jodie,dʒoʊdi
jolie,dʒoʊɫi
jonah,dʒoʊnə
jonas,dʒoʊnəs
jorge,hɔɹheɪ
josef,dʒoʊsəf
josie,dʒoʊzi
jovan,dʒoʊvən
joyce,dʒɔɪs
juana,hwɑnə
juana,wɑnə
judie,dʒədi
jules,dʒuɫz
julia,dʒuɫjə
julie,dʒuɫi
julio,dʒuɫioʊ
julio,huɫioʊ
justa,dʒəstə
justa,dʒɪstə
kaley,keɪɫi
karan,kɛɹən
karen,kɛɹən
karin,kɛɹɪn
karla,kɑɹɫə
karma,kɑɹmə
karol,kɛɹɔɫ
karon,kɛɹən
karry,kɛɹi
karyn,kæɹɪn
kasey,kæsi
kasha,kɑʃə
kathi,kæθi
kathy,kæθi
katia,kɑtiə
katie,keɪti
kayla,keɪɫə
keely,kiɫi
keena,kinə
keiko,keɪkoʊ
keith,kiθ
kelli,kɛɫi
kelly,kɛɫi
kenna,kɛnə
kenny,kɛni
kenya,kɛnjə
kenya,kinjə
keren,kɛɹɛn
kerri,kɛɹi
kerry,kɛɹi
keven,kivən
kevin,kɛvɪn
kiley,kaɪɫi
kirby,kɝbi
kisha,kɪʃə
kitty,kɪti
korey,kɔɹi
kylie,kaɪɫi
kyoko,kioʊkoʊ
kyong,kjɔŋ
kyung,kjəŋ
lacey,ɫeɪsi
laine,ɫeɪn
lamar,ɫəmɑɹ
lance,ɫæns
lanny,ɫæni
larry,ɫɛɹi
larue,ɫɝu
laura,ɫɔɹə
laure,ɫɔɹ
lauri,ɫɑɹi
lauri,ɫɔɹi
layla,ɫeɪɫɑ
layne,ɫeɪn
leana,ɫinə
leann,ɫiæn
leena,ɫinə
leigh,ɫi
leila,ɫiɫə
lelah,ɫɛɫə
lelia,ɫiɫjə
lenny,ɫɛni
leola,ɫɛɫə
leoma,ɫɪoʊmə
leona,ɫioʊnə
leone,ɫioʊn
leora,ɫɛɹə
leota,ɫɛtə
leroy,ɫiɹɔɪ
letha,ɫɛθə
letty,ɫɛti
lewis,ɫuɪs
lexie,ɫɛksi
liana,ɫiɑnə
liane,ɫiæn
libby,ɫɪbi
lilia,ɫiɫiə
lilla,ɫɪɫə
lilli,ɫɪɫi
lilly,ɫɪɫi
linda,ɫɪndə
lindy,ɫɪndi
lissa,ɫɪsə
livia,ɫɪviə
lloyd,ɫɔɪd
logan,ɫoʊɡən
loise,ɫuəs
loise,ɫuis
lonny,ɫɔni
loree,ɫɔɹi
loren,ɫɔɹən
loria,ɫɔɹiə
lorie,ɫɔɹi
loris,ɫɔɹɪs
lorna,ɫɔɹnə
louie,ɫui
louis,ɫui
louis,ɫuɪs
lovie,ɫəvi
loyce,ɫɔɪs
luana,ɫuænə
lucas,ɫukəs
lucia,ɫuʃə
lucie,ɫusi
lucio,ɫusioʊ
luigi,ɫuidʒi
luisa,ɫuizə
lydia,ɫɪdiə
lyman,ɫaɪmən
lynda,ɫɪndə
lynna,ɫaɪnə
lynne,ɫɪn
mabel,meɪbəɫ
mable,meɪbəɫ
madge,mædʒ
magan,meɪɡən
magda,mæɡdə
maida,meɪdə
maile,meɪɫ
maire,mɛɹ
major,meɪdʒɝ
malia,mɑɫiə
malik,mæɫɪk
mamie,meɪmi
manda,mændə
mandi,mændi
mandy,mændi
maple,meɪpəɫ
marci,mɑɹsi
marco,mɑɹkoʊ
marcy,mɑɹsi
marge,mɑɹdʒ
margo,mɑɹɡoʊ
margy,mɑɹdʒi
maria,mɝiə
marie,mɝi
marin,mɛɹɪn
mario,mɑɹioʊ
maris,mɛɹɪs
marla,mɑɹɫə
marlo,mɑɹɫoʊ
marry,mɛɹi
marta,mɑɹtə
marth,mɑɹθ
marti,mɑɹti
marty,mɑɹti
marva,mɑɹvə
marya,mɑɹjə
mason,meɪsən
maude,mɔd
maura,mɔɹə
mauro,mɔɹoʊ
mavis,meɪvɪs
maxie,mæksi
mayme,meɪm
mazie,meɪzi
megan,meɪɡən
melba,mɛɫbə
melia,mɛɫiə
melva,mɛɫvə
mercy,mɝsi
merle,mɝɫ
merna,mɛɹnə
merry,mɛɹi
meryl,mɛɹəɫ
micah,maɪkə
micki,mɪki
mikel,mɪkəɫ
milan,maɪɫæn
milan,məɫɑn
milan,mɪɫɑn
miles,maɪəɫz
miles,maɪɫz
milly,mɪɫi
minda,mɪndə
mindy,mɪndi
minna,mɪnə
minta,mɪntə
mirna,mɝnə
misha,mɪʃə
missy,mɪsi
misty,mɪsti
mitch,mɪtʃ
mitzi,mɪtsi
moira,mɔɪɹə
molly,mɑɫi
monet,moʊneɪ
monte,mɑnti
monty,mɔnti
moses,moʊzəs
moses,moʊzɪs
moshe,moʊʃə
moshe,moʊʃɛ
myles,maɪɫz
myrna,mɝnə
myron,maɪɹən
myrta,mɝtə
myung,mjəŋ
nadia,nædjə
nadia,nɑdjə
nancy,nænsi
naoma,nɑoʊmə
naomi,neɪoʊmi
neely,niɫi
nelda,nɛɫdə
nelia,nɛɫiə
nella,nɛɫə
nelle,nɛɫ
nelly,nɛɫi
neoma,neɪoʊmə
nicki,nɪki
nicky,nɪki
nicol,nɪkəɫ
nigel,naɪdʒəɫ
nikki,nɪki
noble,noʊbəɫ
nolan,noʊɫən
norah,nɔɹə
norma,nɔɹmə
nydia,nɪdiə
odell,oʊdɛɫ
oliva,oʊɫivə
olive,ɑɫəv
olive,ɑɫɪv
ollie,ɑɫi
ollie,oʊɫi
omega,oʊmeɪɡə
omega,oʊmɛɡə
orval,ɔɹvəɫ
oscar,ɔskɝ
pablo,pɑbɫoʊ
paige,peɪdʒ
palma,pɑɫmə
pansy,pænzi
paris,pæɹɪs
paris,pɛɹɪs
patsy,pætsi
patti,pæti
patty,pæti
paula,pɔɫə
pearl,pɝɫ
pedro,peɪdɹoʊ
peggy,pɛɡi
penny,pɛni
percy,pɝsi
perla,pɝɫə
perry,pɛɹi
peter,pitɝ
petra,pɛtɹə
phebe,fibi
phung,fəŋ
pilar,paɪɫɝ
piper,paɪpɝ
polly,pɑɫi
queen,kwin
quinn,kwɪn
raina,ɹeɪnə
raisa,ɹeɪsə
raisa,ɹɑisə
ralph,ɹæɫf
ramon,ɹəmoʊn
randa,ɹɑndə
randi,ɹændi
randy,ɹændi
ranee,ɹæni
raven,ɹeɪvən
regan,ɹiɡən
reina,ɹeɪinə
renda,ɹɛndə
renee,ɹəneɪ
renna,ɹɛnə
reyes,ɹeɪɪs
reyna,ɹeɪnə
rhett,ɹɛt
rhoda,ɹoʊdə
ricki,ɹɪki
ricky,ɹɪki
rikki,ɹɪki
riley,ɹaɪɫi
robby,ɹɑbi
robin,ɹɑbən
robin,ɹɑbɪn
robyn,ɹɑbɪn
rocco,ɹɑkoʊ
rocky,ɹɑki
roger,ɹɑdʒɝ
roman,ɹoʊmən
romeo,ɹoʊmioʊ
ronda,ɹɑndə
ronna,ɹɑnə
ronny,ɹɑni
rosie,ɹoʊzi
roxie,ɹɑksi
royal,ɹɔɪəɫ
royce,ɹɔɪs
ruben,ɹubən
rubie,ɹubi
rubin,ɹubɪn
rufus,ɹufəs
rusty,ɹəsti
sabra,sɑbɹə
sacha,sætʃə
sadie,sædi
sadye,sædaɪ
sally,sæɫi
sammy,sæmi
sanda,sændə
sandi,sændi
sandy,sændi
santa,sænə
santa,sæntə
santo,sæntoʊ
sarah,sɛɹə
saran,sɝæn
sasha,sæʃə
scott,skɑt
seema,simɑ
selma,sɛɫmə
shana,ʃænə
shana,ʃeɪnə
shane,ʃeɪn
shara,ʃɑɹə
shari,ʃɑɹi
shaun,ʃɔn
shawn,ʃɔn
sheba,ʃibə
shena,ʃinə
sheri,ʃɛɹi
shira,ʃɪɹə
shirl,ʃɝɫ
shona,ʃoʊnə
sibyl,sɪbəɫ
silas,saɪɫəs
silva,sɛɫvə
silva,sɪɫvə
simon,saɪmən
sofia,soʊfiə
somer,səmɝ
sonia,soʊnjɑ
sonja,soʊnjɑ
sonny,səni
sonya,soʊnjə
stacy,steɪsi
starr,stɑɹ
steve,stiv
sunni,suni
sunny,səni
susan,suzən
susie,suzi
suzie,səzi
sybil,sɪbɪɫ
tammy,tæmi
tandy,tændi
tania,tɑnjə
tanya,tɑnjə
tasha,tæʃə
tatum,teɪtəm
tawny,tɑni
teddy,tɛdi
teena,tinə
terra,tɛɹɑ
terri,tɛɹi
terry,tɛɹi
tessa,tɛsə
thanh,θæn
theda,θidɑ
thora,θɔɹə
tiara,tiɑɹə
tilda,tɪɫdə
timmy,tɪmi
titus,taɪtəs
tobie,toʊbi
tomas,toʊmɑs
tommy,tɑmi
tonda,tɑndə
toney,toʊni
tonia,toʊniə
tonie,toʊni
tonya,tɑnjə
torie,tɔɹi
traci,tɹeɪsi
tracy,tɹeɪsi
trang,tɹæŋ
trent,tɹɛnt
trinh,tɹɪn
trish,tɹɪʃ
trudy,tɹudi
twyla,twaɪɫə
tyler,taɪɫɝ
tyree,taɪɹi
tyson,taɪsən
valda,vɑɫdə
vance,væns
vania,vɑniə
vanna,vænə
velda,vɛɫdə
vella,vɛɫə
velma,vɛɫmə
venus,vinəs
verda,vɛɹdə
verla,vɛɹɫə
verna,vɝnə
vesta,vɛstə
vicki,vɪki
vicky,vɪki
vilma,vɪɫmə
vince,vɪns
viola,vaɪoʊɫə
viola,vioʊɫə
waldo,wɑɫdoʊ
waldo,wɔɫdoʊ
wally,weɪɫi
wally,wɔɫi
wanda,wɑndə
wayne,weɪn
wendy,wɛndi
wiley,waɪɫi
willa,wɪɫə
willy,wɪɫi
wilma,wɪɫmə
windy,waɪndi
windy,wɪndi
wonda,wɑndə
wyatt,waɪət
xenia,ziniə
yetta,jɛtə
young,jəŋ
zelda,zɛɫdə
zelma,zɛɫmə
zenia,zeɪniə
zulma,zʊɫmə
