word,ipa
amcast,æmkæst
amcole,æmkoʊɫ
amdura,æmdʊɹə
ameche,əmitʃi
amends,əmɛndz
amenta,əmɛntə
ametek,æmətɛk
amicus,əmikəs
amidon,æmɪdɑn
amidst,əmɪdst
amilia,ɑmiɫiə
aminta,əmɪntə
amiran,æmɪɹən
amirav,æmɪɹæv
amison,æmɪsən
amitai,æmɪtaɪ
amount,əmaʊnt
amrein,æmɹaɪn
amsden,æmzdən
amstar,æmstɑɹ
amtrak,æmtɹæk
amused,əmjuzd
amvest,æmvɛst
amylin,æmɪɫɪn
anacin,ænəsɪn
anakin,ænɑkɪn
analog,ænəɫɔɡ
anania,ɑnɑniə
anbari,ænbɑɹi
ancell,ɑnseɪɫ
ancrum,ənkɹəm
anctil,æŋktɪɫ
andean,ændiən
andrae,ɑndɹaɪ
andras,ɑndɹəs
andrei,ændɹeɪ
andrej,ɑndɹeɪ
andren,ændɝən
andric,ændɹɪk
andros,ændɹɑs
andrus,ændɹəs
anello,ənɛɫoʊ
anemia,ənimiə
anemic,ənimɪk
angeli,ɑŋɡɛɫi
angert,eɪŋɡɝt
angier,ændʒiɝ
angled,æŋɡəɫd
angles,æŋɡəɫz
anglia,æŋɡɫiə
anglim,æŋɡɫɪm
anglin,æŋɡɫɪn
angora,æŋɡɔɹə
anhalt,ænhəɫt
anikst,ænɪkst
animal,ænəməɫ
animus,ænɪməs
aninat,ænɪnæt
anitec,ænɪtɛk
ankeny,əŋkini
ankita,ænkitə
anklam,æŋkɫəm
ankles,æŋkəɫz
anklet,æŋkɫɪt
ankrom,æŋkɹəm
ankrum,æŋkɹəm
annese,ɑneɪzi
annual,ænjuəɫ
anodes,ænoʊdz
anoint,ənɔɪnt
ansaid,ænseɪd
ansari,ɑnsɑɹi
anscom,ənskɑm
anselm,ænsɛɫm
ansgar,ænsɡɑɹ
antaya,ɑnteɪə
antics,æntɪks
antril,æntɹɪɫ
antrim,æntɹɪm
antuna,ɑntunə
anubis,ənubɪs
anyhow,ɛnihaʊ
anyone,ɛniwən
anyone,ɛniwən
anyway,ɛniweɪ
aouzou,aʊjuzu
aoyama,aʊjɑmə
apache,əpætʃi
aphids,eɪfədz
apical,æpɪkəɫ
apogee,æpədʒi
apollo,əpɑɫoʊ
aponte,əpɑnti
apopka,əpɔpkə
apstar,æpstɑɹ
apuzzo,ɑpuzoʊ
aquila,ækwəɫə
aquino,əkinoʊ
arabic,æɹəbɪk
arabic,ɛɹəbɪk
arable,æɹəbəɫ
arafat,ɛɹəfæt
aragon,ɛɹəɡɑn
aramco,ɝæmkoʊ
aramid,ɛɹəmɪd
aramis,ɛɹəmɪs
ararat,æɹəɹɑt
arawak,ɑɹɑwɑk
arbenz,ɑɹbɛnz
arcade,ɑɹkeɪd
arcana,ɑɹkænə
arcand,ɑɹkənd
arcane,ɑɹkeɪn
arcata,ɑɹkɑtə
arches,ɑɹtʃəz
arches,ɑɹtʃɪz
archly,ɑɹtʃɫi
arctic,ɑɹktɪk
arcuri,ɑɹkʊɹi
ardens,ɑɹdənz
ardent,ɑɹdənt
ardine,ɑɹdini
ardoin,ɑɹdɔɪn
arentz,æɹɪnts
argosy,ɑɹɡəsi
argued,ɑɹɡjud
argues,ɑɹɡjuz
argyle,ɑɹɡaɪɫ
argyll,ɑɹɡaɪɫ
ariela,ɑɹiɛɫə
arises,ɝaɪzəz
arises,ɝaɪzɪz
arison,ɛɹɪsən
arispe,ɑɹispi
arkadi,ɑɹkədi
arkins,ɑɹkɪnz
arklas,ɑɹkɫəz
arkose,ɑɹkoʊs
arlana,ɑɹɫænə
arleta,ɑɹɫɪtə
armada,ɑɹmɑdə
armani,ɑɹmɑni
arment,ɑɹmənt
armina,ɑɹminə
armine,ɑɹmini
armond,ɑɹmənd
armonk,ɑɹməŋk
armpit,ɑɹmpɪt
armtec,ɑɹmtɛk
armtek,ɑɹmtɛk
arnzen,ɑɹnzən
arocha,ɑɹoʊkə
aromas,ɝoʊməz
aronow,ɝoʊnoʊ
arrigo,ɑɹiɡoʊ
arsons,ɑɹsənz
artale,ɑɹtɑɫi
artful,ɑɹtfəɫ
artist,ɑɹtəst
artist,ɑɹtɪst
artman,ɑɹtmən
artras,ɑɹtɹəz
artrip,ɑɹtɹɪp
arvida,ɑɹvidə
arvins,ɑɹvɪnz
arvind,ɑɹvɪnd
arvizu,ɑɹvizu
arzama,ɑɹzɑmə
arzate,ɑɹzeɪt
asahan,æsəhæn
asbury,æzbɛɹi
asclad,æskɫæd
aselma,əsɛɫmə
asgard,ɑsɡɑɹd
ashaji,əʃɑdʒi
asians,eɪʒənz
asides,əsaɪdz
asimov,æsɪmɑv
asimov,æzɪmɑv
asimow,æsɪmoʊ
askins,æskɪnz
askins,əskɪnz
askren,æskɝən
asmara,æzmɑɹə
aspect,æspɛkt
aspens,æspənz
aspens,æspənz
aspins,æspɪnz
aspire,əspaɪɹ
aspnes,æspnɛz
astore,æstɔɹi
astras,æstɹəz
astral,æstɹəɫ
astray,əstɹeɪ
atalia,ɑtɑɫiə
ataris,ətɑɹiz
atkins,ætkɪnz
atocha,ətɑtʃə
atomic,ətɑmɪk
aucoin,oʊkɔɪn
audino,ɔdinoʊ
audris,oʊdɹis
aulana,aʊɫɑnə
aument,aʊmənt
aungst,aʊŋɡst
ausman,aʊsmən
ausmus,aʊsmɪs
austad,aʊstəd
austat,oʊstæt
austro,ɔstɹoʊ
autism,ɔtɪzəm
auxton,ɔkstən
avalon,ævəɫɑn
avanas,əvænəz
avanti,əvɑnti
avants,ɑvɔnts
avasso,əvɑsoʊ
avatar,ævətɑɹ
avedon,ævɛdɑn
avenge,əvɛndʒ
averil,eɪvɝɪɫ
averil,eɪvɹɪɫ
aversa,ɑvɛɹsə
averys,eɪvɝiz
aviall,eɪviəɫ
avidly,ævədɫi
aviles,ɑviɫɛs
avilez,ɑviɫɛz
avital,əvitəɫ
avmark,ævmɑɹk
avocet,ævəsɛt
avodon,ævədɑn
avoids,əvɔɪdz
awaits,əweɪts
awards,əwɔɹdz
aweida,əwaɪdə
aweida,əweɪdə
axtell,ækstɛɫ
ayende,əjɛndi
aylwin,aɪɫwɪn
aylwin,eɪɫwɪn
aymond,eɪmənd
ayscue,eɪskju
azalia,ɑzɑɫiə
azelia,ɑzɛɫiə
azides,æzaɪdz
azteca,æztɛkə
aztecs,æztɛks
azzara,ɑtsɑɹə
azzato,əzɑtoʊ
babars,bɑbɑɹz
babbio,bæbioʊ
babers,beɪbɝz
babiak,bɑbiæk
babich,bæbɪtʃ
babies,beɪbiz
babies,beɪbiz
babita,bɑbitə
babson,bæbsən
babula,bɑbuɫə
babyak,bæbiæk
baches,bætʃɪz
bachus,bætʃəs
bacote,bəkoʊt
badami,bɑdɑmi
badens,bɑdənz
badges,bædʒɪz
badman,bædmən
badura,bɑdʊɹə
bagdad,bæɡdæd
bagdon,bæɡdən
bagful,bæɡfʊɫ
bagman,bæɡmən
bagsby,bæɡzbi
bahais,bɑhɑɪz
bahama,bəhɑmə
bahena,bæhɪnə
bailby,beɪɫbi
bailin,beɪɫɪn
bailon,beɪɫən
bailyn,beɪɫɪn
baited,beɪtɪd
baiuls,baɪuɫz
bakers,beɪkɝz
bakers,beɪkɝz
bakery,beɪkɝi
bakeys,beɪkiz
baking,beɪkɪŋ
bakrie,bækɹaɪ
bakula,bəkuɫə
balart,bæɫɑɹt
balata,bæɫətə
balcer,beɪɫsɝ
balcom,bæɫkəm
balcor,bæɫkɔɹ
baldev,bɑɫdɛv
baldez,bɑɫdɛz
baldly,bɔɫdɫi
baldry,bɔɫdɹi
baldur,bɑɫdʊɹ
baldus,bɑɫdɪs
baling,beɪɫɪŋ
balint,bɑɫint
balkan,bɔɫkən
balkin,bæɫkɪn
ballys,beɪɫiz
balmes,bɑɫmɛs
balsam,bɔɫsəm
balser,beɪɫsɝ
baltes,beɪɫts
baltic,bɔɫtɪk
baltsa,bɔɫtsə
balzac,bɑɫzæk
balzer,beɪɫzɝ
banana,bənænə
bancor,bænkɔɹ
bandag,bændæɡ
bandai,bændaɪ
bandar,bændɑɹ
banded,bændɪd
bandel,bændəɫ
bandit,bændət
bandow,bændaʊ
bangee,bændʒi
bangle,bæŋɡəɫ
bangor,bæŋɡɔɹ
banken,bæŋkən
bansal,bɑnsɑɫ
bantam,bæntəm
bantle,bæntəɫ
banton,bæntən
banyan,bænjən
banyas,bænjəz
banyas,bɑnjəz
baragi,bəɹɑɡi
barbel,bɑɹbɛɫ
barbin,bɑɹbɪn
barcia,bɑɹtʃə
barcus,bɑɹkəs
barden,bɑɹdən
bardin,bɑɹdɪn
bardon,bɑɹdɔn
bareis,bæɹaɪz
barela,bɑɹɛɫə
barens,bɛɹənz
barest,bɛɹəst
bargar,bɑɹɡɑɹ
bargas,bɑɹɡəz
barged,bɑɹdʒd
barger,bɑɹdʒɝ
barham,bɑɹhəm
barite,bɛɹaɪt
barium,bɛɹiəm
barkan,bɑɹkən
barkin,bɑɹkɪn
barkow,bɑɹkoʊ
barkus,bɑɹkəs
barlow,bɑɹɫoʊ
barman,bɑɹmən
barnas,bɑɹnəz
barnet,bɑɹnɪt
barnum,bɑɹnəm
barons,bæɹənz
barons,bɛɹənz
barons,bæɹənz
barons,bɛɹənz
barrio,bɑɹioʊ
barros,bɑɹoʊz
barsky,bɑɹski
barson,bɑɹsən
bartak,bɑɹtək
bartek,bɑɹtɛk
bartel,bɑɹtəɫ
barten,bɑɹtən
bartle,bɑɹtəɫ
bartok,bɑɹtək
bartol,bɑɹtəɫ
bartoo,bɑɹtʃu
bartow,bɑɹtoʊ
bartus,bɑɹtəs
basalt,bəsɔɫt
basara,bəsɛɹə
bascay,bæskeɪ
bascom,bæskəm
basden,bæsdən
basims,bɑsimz
basing,beɪsɪŋ
basket,bæskət
baskin,bæskɪn
basore,bɑsɔɹi
basses,beɪsɪz
bastin,bæstɪn
baston,bæstən
bastow,bæstoʊ
batboy,bætbɔɪ
batiks,bætɪks
batiks,bətiks
batman,bætmæn
batons,bætɑnz
batres,beɪtɝz
batson,bætsən
batzel,bætzəɫ
batzer,beɪtzɝ
baucom,boʊkɑm
baucum,boʊkəm
bauman,baʊmən
baumel,baʊməɫ
baxley,bæksɫi
baxter,bækstɝ
baylen,beɪɫən
baylis,beɪɫɪs
baylon,beɪɫɑn
bazile,bɑzaɪɫ
beachs,bitʃəz
became,bikeɪm
becnel,bɛknəɫ
becors,bɛkɔɹz
becton,bɛktən
bedard,bɪdɑɹd
bedbug,bɛdbəɡ
bedlam,bɛdɫəm
bedpan,bɛdpæn
beerss,bɪɹzɪz
befits,bɪfɪts
begala,bɛɡɑɫə
begets,bɪɡɛts
begins,bɪɡɪnz
begins,bɪɡɪnz
behave,bɪheɪv
beheld,bihɛɫd
behest,bɪhɛst
beiges,beɪʒəz
beigel,baɪɡəɫ
beiges,beɪʒəz
beilin,beɪɫɪn
beirut,beɪɹut
beisel,baɪsəɫ
beitel,baɪtəɫ
bekins,bikɪnz
beland,bɛɫənd
belate,bɪɫeɪt
belden,bɛɫdən
beldin,bɛɫdɪn
beldon,bɛɫdən
belfry,bɛɫfɹi
belied,bɪɫaɪd
belies,bɪɫaɪz
belitz,bɛɫɪts
belkin,bɛɫkɪn
belman,bɛɫmən
belnap,bɛɫnæp
beloit,bɪɫɔɪt
belson,bɛɫsən
belted,bɛɫtəd
belted,bɛɫtɪd
belton,bɛɫtən
beluga,bɪɫuɡə
belvia,bɛɫviə
belvin,bɛɫvɪn
bembry,bɛmbɹi
bement,bimənt
bemoan,bɪmoʊn
bemuse,bɪmjuz
benami,bɛnəmi
benard,bɪnɑɹd
benbow,bɛnboʊ
bended,bɛndɪd
bendel,bɛndəɫ
bendel,bɛndɛɫ
bendig,bɛndɪɡ
benets,bɛnəts
benets,bəneɪz
bengal,bɛŋɡəɫ
bengel,bɛŋɡəɫ
benham,bɛnhəm
benign,bɪnaɪn
benoit,bənɔɪt
bensel,bɛnsəɫ
bensen,bɛnsən
benson,bɛnsən
bently,bɛntɫi
benway,bɛnweɪ
benzel,bɛnzəɫ
benzes,bɛnzɪz
berate,bɪɹeɪt
berend,bɛɹɛnd
berens,bɪɹənz
berent,bɛɹənt
berets,bɛɹeɪz
berets,bɛɹəts
berges,bɝdʒɪz
berlex,bɝɫɛks
bermea,bɛɹmiə
bernia,bɛɹniə
berudi,bəɹudi
besant,bɛzənt
beside,bisaɪd
beside,bɪsaɪd
besler,bɛsəɫɝ
bested,bɛstɪd
bestow,bɪstoʊ
bestul,bɛstəɫ
betake,biteɪk
betide,bɪtaɪd
betray,bɪtɹeɪ
betsys,bɛtsiz
beutel,bjutɛɫ
bevans,bɛvənz
bevard,bɪvɑɹd
bevens,bivənz
bevins,bɛvɪnz
bexley,bɛksɫi
beynon,beɪnən
bezdek,bɛzdɪk
bhopal,boʊpɑɫ
biaggi,biædʒi
bialas,biɑɫəs
bialek,biɑɫɛk
bialik,biɑɫɪk
biamby,biɑmbi
biased,baɪəst
bibler,baɪbɫɝ
biddix,bɪdɪks
biding,baɪdɪŋ
bifida,bɪfədə
bigler,baɪɡɫɝ
biglin,bɪɡɫɪn
biglow,bɪɡɫoʊ
bigots,bɪɡəts
bigsby,bɪɡzbi
bigwig,bɪɡwɪɡ
bihari,bihɑɹi
bihari,bɪhɑɹi
bikers,baɪkɝz
biking,baɪkɪŋ
bikini,bɪkini
bilbao,bɪɫbaʊ
bilski,bɪɫski
bilsky,bɪɫski
bilson,bɪɫsən
bilton,bɪɫtən
bimini,bɪməni
bimini,bɪmini
binary,baɪnɝi
binchy,bɪntʃi
bindel,bɪndəɫ
binder,baɪndɝ
bindle,bɪndəɫ
binged,bɪndʒd
bingel,bɪŋɡəɫ
bingle,bɪŋɡəɫ
binion,bɪnjən
biondi,biɑndi
birchs,bɝtʃɪz
bireme,baɪɹim
biscoe,bɪskoʊ
bisesi,bɪsɛsi
biskup,bɪskəp
biting,baɪtɪŋ
bitler,baɪtɫɝ
bivins,bɪvɪnz
bixler,bɪksɫɝ
blades,bɫeɪdz
bladow,bɫædoʊ
blahut,bɫæhət
blaich,bɫeɪtʃ
blakes,bɫeɪks
blaker,bɫeɪkɝ
blakes,bɫeɪks
blakey,bɫeɪki
blamed,bɫeɪmd
blames,bɫeɪmz
blanda,bɫændə
blaney,bɫeɪni
blanks,bɫæŋks
blanky,bɫæŋki
blaser,bɫeɪzɝ
blasia,bɫɑsiə
blaske,bɫeɪsk
blasts,bɫæsts
blazed,bɫeɪzd
blazek,bɫɑzɛk
blazer,bɫeɪzɝ
blecha,bɫɛtʃə
blegen,bɫɛɡən
blenda,bɫɛndə
blends,bɫɛndz
bliley,bɫaɪɫi
blimps,bɫɪmps
blinks,bɫɪŋks
bloats,bɫoʊts
blokes,bɫoʊks
blonds,bɫɑndz
blotch,bɫɑttʃ
blouch,bɫaʊtʃ
blount,bɫaʊnt
blowup,bɫoʊəp
bluest,bɫuəst
bluesy,bɫuəsi
blunts,bɫənts
blyler,bɫaɪɫɝ
boasts,boʊsts
boated,boʊtɪd
boback,boʊbæk
bobcat,bɑbkæt
bobeck,boʊbɛk
boberg,boʊbɝɡ
bobrow,bɑbɹoʊ
boccia,boʊtʃə
boches,bɑtʃɪz
bocian,boʊʃən
bodily,bɑdəɫi
bodkin,bɑdkɪn
bodman,bɑdmən
bodnar,bədnɑɹ
boehle,boʊhəɫ
boenig,boʊnɪɡ
boesak,boʊzæk
boesel,boʊsəɫ
boesen,boʊsən
boesky,boʊski
bofors,boʊfɝz
bogacz,bɑɡətʃ
bogdan,bɑɡdən
bogden,bɑɡdən
bogdon,bɑɡdən
bognar,bəɡnɑɹ
bohart,bɑhɑɹt
bohlen,boʊɫən
bohlin,boʊɫɪn
bohman,boʊmən
bohnen,boʊnən
boises,bɔɪsiz
boises,bɔɪziz
boisen,bɔɪsən
boivin,bɔɪvæn
boksen,bɑksən
bolars,boʊɫɝz
bolder,boʊɫdɝ
boleyn,boʊɫɪn
boline,bɑɫaɪn
boling,boʊɫɪŋ
bolker,boʊɫkɝ
bolser,boʊɫsɝ
bolter,boʊɫtɝ
bombay,bɑmbeɪ
bondar,bəndɑɹ
bonded,bɑndəd
bonded,bɑndɪd
bondra,bɑndɹə
bonham,bɑnhəm
bonica,bɑnɪkə
boning,boʊnɪŋ
bonior,boʊniɝ
bonobo,bɑnəbə
bonsai,bɑnsaɪ
bonwit,bɑnwɪt
bopeep,boʊpip
bordas,bɔɹdəz
bordas,bɔɹdəz
borden,bɔɹdən
borens,bɔɹənz
borgen,bɔɹɡən
borgia,bɔɹdʒə
borjas,bɔɹjəz
borman,bɔɹmən
borski,bɔɹski
borsod,bɔɹsɔd
borsuk,bɔɹsək
bortel,bɔɹtɛɫ
borten,bɔɹtən
bortle,bɔɹtəɫ
borton,bɔɹtən
boskin,bɔskɪn
bosler,bɑsəɫɝ
bosman,bɑsmən
bosnia,bɑzniə
bostic,bɑstɪk
boston,bɑstən
boston,bɔstən
bostra,bɑstɹə
botany,bɑtəni
bothas,boʊtəz
bothas,boʊtəz
botkin,bɑtkɪn
boulos,buɫoʊz
bouncy,baʊnsi
bounds,baʊndz
boundy,baʊndi
bounty,baʊnti
bouton,baʊtən
bovard,bəvɑɹd
bowcan,boʊkən
bowden,baʊdən
bowden,boʊdən
bowdle,boʊdəɫ
bowels,baʊəɫz
bowens,boʊənz
bowlby,boʊɫbi
bowlds,boʊɫdz
bowlen,boʊɫən
bowlin,boʊɫɪn
bowlus,boʊɫəs
bowman,boʊmən
bowmen,boʊmən
bownds,boʊndz
bowron,boʊɹɑn
bowron,boʊɹən
bowses,baʊzɪz
boxell,bɑksəɫ
boxers,bɑksɝz
boxers,bɑksɝz
boxing,bɑksɪŋ
boxley,bɑksɫi
boyden,bɔɪdən
boykin,bɔɪkɪn
boylan,bɔɪɫən
boylen,bɔɪɫən
boysel,bɔɪsəɫ
boysen,bɔɪsən
boyson,bɔɪzən
boytoy,bɔɪtɔɪ
bozard,bəzɑɹd
bozell,boʊzɛɫ
bozman,bɑzmən
brabec,bɹɑbɪk
bracci,bɹɑtʃi
bracco,bɹækoʊ
braced,bɹeɪst
bracer,bɹeɪsɝ
bracey,bɹeɪsi
brager,bɹeɪɡɝ
braham,bɹæhəm
braids,bɹeɪdz
brains,bɹeɪnz
brains,bɹeɪnz
brainy,bɹeɪni
braked,bɹeɪkt
braker,bɹeɪkɝ
brakes,bɹeɪks
bramel,bɹæməɫ
bramer,bɹeɪmɝ
branam,bɹænəm
branca,bɹæŋkə
branch,bɹæntʃ
brands,bɹændz
brands,bɹændz
brands,bɹændz
braner,bɹeɪnɝ
branin,bɹænɪn
branks,bɹæŋks
branki,bɹæŋki
branks,bɹæŋks
branon,bɹænən
branum,bɹænəm
brasel,bɹæsəɫ
brasil,bɹæsəɫ
brasil,bɹəsiɫ
brasow,bɹæsoʊ
brasow,bɹæzoʊ
brasso,bɹæsoʊ
braton,bɹætɪn
braved,bɹeɪvd
braver,bɹeɪvɝ
braves,bɹeɪvz
braves,bɹeɪvz
brazda,bɹæzdə
brazel,bɹæzəɫ
brazil,bɹəzɪɫ
breaks,bɹeɪks
breaky,bɹeɪki
breden,bɹidən
bremen,bɹɛmən
brents,bɹɛnts
bresca,bɹɛskə
breton,bɹɛtən
brevig,bɹɛvɪɡ
brevik,bɹɛvɪk
bribed,bɹaɪbd
bribes,bɹaɪbz
bricco,bɹɪkoʊ
bricom,bɹɪkəm
brides,bɹaɪdz
brides,bɹaɪdz
briles,bɹaɪɫz
brimer,bɹaɪmɝ
briner,bɹaɪnɝ
brines,bɹaɪnz
brinks,bɹɪŋks
brinks,bɹɪŋks
briski,bɹɪski
brisky,bɹɪski
brison,bɹɪsən
briton,bɹɪtən
brixey,bɹɪksi
broach,bɹoʊtʃ
brobst,bɹɑbst
brocco,bɹɑkoʊ
brochu,bɹoʊku
broder,bɹoʊdɝ
brodie,bɹoʊti
brodry,bɹɑdɹi
broers,bɹoʊɝz
broich,bɹɔɪtʃ
brokaw,bɹoʊkɔ
broker,bɹoʊkɝ
broner,bɹoʊnɝ
bronte,bɹɑnti
brooch,bɹoʊtʃ
brophy,bɹoʊfi
brosky,bɹɑski
broudy,bɹaʊdi
browns,bɹaʊnz
browns,bɹaʊnz
browns,bɹaʊnz
bruces,bɹusəz
bruins,bɹuɪnz
bruins,bɹuɪnz
brumit,bɹumɪt
brunch,bɹəntʃ
brunei,bɹunaɪ
brunet,bɹunɛt
brunty,bɹənti
bruntz,bɹənts
brusca,bɹəskə
bruski,bɹəski
brusky,bɹəski
brutal,bɹutəɫ
bruton,bɹutən
brutus,bɹutəs
bryars,bɹaɪɝz
brydon,bɹɪdən
brymer,bɹaɪmɝ
bryner,bɹaɪnɝ
bubbly,bəbəɫi
bubier,bjubiɝ
buccal,bjukəɫ
buchis,bətʃiz
buchis,butʃiz
buchta,bətʃtə
buczek,bətʃɛk
budget,bədʒɪt
budnik,bədnɪk
budrow,bədɹoʊ
budson,bədsən
budvar,bədvɑɹ
budvar,bʊdvɑɹ
budzyn,bədzɪn
buerge,bjuɹdʒ
bufete,bjufit
bufkin,bəfkɪn
buicks,bjuɪks
buicks,bjuɪks
bukavu,bukɑvu
bulged,bəɫdʒd
bulman,bəɫmən
bulson,bʊɫsən
bumann,bjumən
bumble,bəmbəɫ
bumbly,bəmbɫi
bumpas,bəmpəz
bumpus,bəmpəs
bunchy,bəntʃi
bundle,bəndəɫ
bundys,bəndiz
bundys,bəndiz
bungee,bəndʒi
bungey,bəndʒi
bunten,bəntən
buntin,bəntɪn
bunton,bəntən
buntyn,bəntɪn
bunyan,bənjən
bupkus,bəpkəs
burack,bjuɹək
bureau,bjʊɹoʊ
burgio,bɝɡioʊ
burgos,bɝɡoʊz
burial,bɛɹiəɫ
burnss,bɝnzɪz
busbin,bəsbɪn
busboy,bəsbɔɪ
busily,bɪzəɫi
busler,bəsəɫɝ
busted,bəstɪd
bustin,bəstɪn
butala,butɑɫə
butare,butɑɹi
buteau,bjutoʊ
butera,butɛɹə
butkus,bətkɪs
butman,bətmən
butros,butɹəs
butson,bətsən
butzen,bətsən
butzin,bətsən
buyout,baɪaʊt
byerly,baɪɝɫi
bygone,baɪɡɔn
bylaws,baɪɫɔz
bylsma,bɪɫsmə
bylund,bɪɫənd
bypass,baɪpæs
byword,baɪwɝd
cabana,kəbænə
cabela,kɑbɛɫə
cabins,kæbənz
cablec,kæbɫək
cabler,keɪbɫɝ
cabots,kæbəts
cabral,kæbɹəɫ
cacaci,kəkɑsi
caches,kæʃeɪz
cactus,kæktəs
cadell,kɑdeɪɫ
cadena,kədinə
cadets,kədɛts
cadman,kædmən
