[1/100] - ptime: 28.87 loss_d: 1.358, loss_g: 0.812
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: æɡnju
Word: laury     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫin
Word: loong     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ətɝz
Word: views     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: zɝk
[2/100] - ptime: 26.69 loss_d: 1.229, loss_g: 1.174
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɑs
Word: branch    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫin
Word: loong     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ətɝz
Word: views     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: zɝk
[3/100] - ptime: 26.79 loss_d: 1.601, loss_g: 1.677
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: bɑs
Word: branch    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: ɫin
Word: loong     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ʃʃʃʃʃʃʃkk 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ʃʃʃʃʃʃʃʃk 	Real IPA: nɛksɪs
