word,ipa
adulate,ædʒəɫeɪt
advalue,ædvəɫu
advances,ədvænsɪz
advertise,ædvɝtaɪz
advocacy,ædvəkəsi
adwell,ədwɛɫ
aeneas,æniəs
aeriens,ɛɹiənz
aerojet,ɛɹoʊdʒɛt
aerosol,ɛɹəsɑɫ
aerostats,ɛɹoʊstæts
aesthete,ɛsθit
affable,æfəbəɫ
affidavit,æfədeɪvət
affirm,əfɝm
affixed,əfɪkst
afforded,əfɔɹdəd
affymax,æfimæks
afonso,əfɑnsoʊ
africa,æfɹɪkə
afterall,æftɝɑɫ
afterlife,æftɝɫaɪf
afterward,æftɝwɝd
agaches,æɡætʃəz
agans,ɑɡɑnz
agawam,æɡəwɑm
agence,ædʒəns
agents,eɪdʒənts
aggarwal,əɡɑɹwəɫ
aggressor,əɡɹɛsɝ
agile,ædʒəɫ
agnew,æɡnju
agog,əɡɑɡ
agony,æɡəni
agra,æɡɹə
agribank,æɡɹɪbæŋk
aguadilla,ɑɡwədɪɫə
aguilar,æɡəɫɑɹ
aguirre,əɡwɪɹeɪ
ahaulsie,əhɑɫsi
ahlen,ɑɫən
ahlquists,ɑɫkwɪsts
ahmeek,əmik
ahonen,əhoʊnən
ahuja,ɑhujə
aides,eɪdz
aids,eɪdz
ailey,eɪɫi
aims,eɪmz
aims,eɪmz
airbase,ɛɹbeɪs
airco,ɛɹkoʊ
aircrafts,ɛɹkɹæfs
airey,ɛɹi
airfones,ɛɹfoʊnz
airheadz,ɛɹhɛdz
airlinks,ɛɹɫɪŋks
airplanes,ɛɹpɫeɪnz
airships,ɛɹʃɪps
airtouch,ɛɹtətʃ
airwings,ɛɹwɪŋz
aisling,eɪsɫɪŋ
ajaxs,eɪdʒæksɪz
akc,æk
akerman,ækɝmən
akin,eɪkɪn
akkadian,əkeɪdiən
akzos,ækzoʊz
alabamas,æɫəbæməz
alagappan,ɑɫəɡɑpən
alamco,əɫæmkoʊ
alamoud,æɫəmud
alarcon,əɫɑɹkɑn
alarming,əɫɑɹmɪŋ
alaskamen,əɫæskəmən
alban,ɑɫbən
albans,æɫbænz
albee,əɫbi
albern,æɫbɝn
albiric,ɑɫbaɪɹɪk
albums,æɫbəmz
alcee,æɫsi
alcos,æɫkoʊz
alcohols,æɫkəhɑɫz
aldape,ɑɫdɑpeɪ
alderidge,ɑɫdɹɪdʒ
aldin,ɑɫdin
aldric,ɔɫdɹɪk
aldys,ɑɫdiz
aleichem,əɫɛhɛm
aleo,ɑɫioʊ
ales,eɪɫz
aletti,əɫɛti
alfaro,ɑɫfɑɹoʊ
alfonse,æɫfɔns
algae,æɫdʒi
algeo,æɫdʒioʊ
algol,æɫɡɑɫ
alibi,æɫəbaɪ
aligning,əɫaɪnɪŋ
alimenies,æɫɪmɛniz
alisky,əɫɪski
alive,əɫaɪv
allamuchy,ɑɫəmutʃi
allbee,ɔɫbi
allebach,æɫbɑk
alleges,əɫɛdʒɪz
allele,əɫɛɫi
allenbys,æɫənbiz
allenton,æɫəntən
allergist,æɫɝdʒəst
alleyways,æɫiweɪz
alling,ɔɫɪŋ
allocated,æɫəkeɪtɪd
alloway,æɫoʊweɪ
alls,ɔɫz
allstates,ɔɫsteɪts
alluding,əɫudɪŋ
alluvium,æɫuviəm
alm,ɑɫm
almanzar,ɑɫmɑnzɑɹ
almer,ɔɫmɝ
almoner,ɑɫmənɝ
aloe,æɫoʊ
aloka,əɫoʊkə
alonza,əɫɑnzə
alpaca,æɫpækə
alpirez,æɫpɪɹɛz
alrosa,ɑɫɹoʊsə
alsbrooks,æɫzbɹʊks
altaic,æɫteɪɪk
altay,ɔɫtaɪ
althaus,æɫthaʊs
altieri,ɑɫtɪɹi
altizer,æɫtaɪzɝ
altoid,ɑɫtɔɪd
aluminium,əɫumɪnəm
alums,æɫəmz
alvarenga,ɑɫvɑɹɛŋɡə
alverton,ɑɫvɝtən
alyeska,æɫiɛskə
alzheimer,æɫzhaɪmɝ
amabel,æməbɛɫ
amadou,æmədu
amandas,əmændəz
amaral,ɑmɑɹæɫ
amarin,æmɝɪn
amasses,əmæsɪz
amato,ɑmɑtoʊ
amazing,əmeɪzɪŋ
ambergris,æmbɝɡɹɪs
amble,æmbəɫ
ambriano,æmbɹiɑnoʊ
amcole,æmkoʊɫ
amendable,əmɛndəbəɫ
amenity,əmɛnəti
americas,əmɛɹəkəz
americas,əmɛɹəkəz
ameridata,əmɛɹədætə
ames,eɪmz
amexco,əmɛkskoʊ
amherst,æmɝst
amicone,æmɪkoʊn
amigo,əmiɡoʊ
amir,əmɪɹ
amish,eɪmɪʃ
amman,əmɑn
ammonite,æmənaɪt
amnio,æmnioʊ
amon,ɑmɔn
amoss,eɪməsɪz
amour,ɑmuɹ
amperes,æmpɝz
amphibole,æmfɪboʊɫ
amply,æmpɫi
amre,æmɹə
amsco,æmskoʊ
amstutz,æmstəts
amundson,æməndsən
amvestor,æmvɛstɝ
anaconda,ænəkɑndə
anakin,ænɑkɪn
analysand,ænæɫɪzænd
analyzing,ænəɫaɪzɪŋ
anarchic,ænɑɹkɪk
anatolia,ænətoʊɫiə
anawalt,ænəwɑɫt
ancestry,ænsɛstɹi
anchorman,æŋkɝmæn
ancients,eɪnʃənts
andalusia,ændəɫuʒə
anderlini,ændɝɫini
anderton,ændɝtən
ando,ændoʊ
andras,ɑndɹəs
andreen,əndɹin
andrey,ændɹi
andriola,ɑndɹioʊɫə
anfal,ænfɑɫ
angelini,ɑŋɡɛɫini
angelos,ændʒəɫoʊz
angelucci,ɑŋɡɛɫutʃi
angi,ændʒi
angled,æŋɡəɫd
anglicans,æŋɡɫɪkənz
angove,ɑŋɡoʊvi
angstroms,æŋstɹəmz
angus,æŋɡəs
animals,ænəməɫz
animus,ænɪməs
anixter,ænɪkstɝ
ankle,æŋkəɫ
annabella,ænəbɛɫə
annas,ænəz
annex,ænɛks
announced,ənaʊnst
annoyance,ənɔɪəns
annuit,ənuɪt
anoint,ənɔɪnt
anonymity,ænənɪmɪti
anorexics,ænɝɛksɪks
ansaldo,ænsɑɫdoʊ
anse,æns
anshan,ænʃən
anstett,ənstɛt
answers,ænsɝz
antares,æntɛɹiz
antennas,æntɛnəz
anthems,ænθəmz
anthon,ænθən
antics,æntɪks
antidote,æntɪdoʊt
antigay,æntaɪɡeɪ
antinomy,ætɪnoʊmi
antiphon,æntɪfɑn
antique,æntik
antisense,æntisɛns
antitax,æntaɪtæks
antolik,æntəɫɪk
antonson,æntənsən
antsy,æntsi
anvil,ænvəɫ
anxious,æŋʃəs
anywhere,ɛniwɛɹ
aol,eɪoʊɛɫ
aouns,aʊunz
apec,eɪpɛk
apexs,eɪpɛksɪz
aphorisms,æfɝɪzəmz
aping,eɪpɪŋ
apogee,æpədʒi
apology,əpɑɫədʒi
apostol,æpəstəɫ
appeal,əpiɫ
appearing,əpɪɹɪŋ
appellant,əpɛɫɪnt
applauded,əpɫɔdɪd
applet,æpɫət
appling,æpəɫɪŋ
apps,æps
aprons,eɪpɹənz
aptiva,æptivə
aquanaut,ɑkwənɑt
aqueducts,ækwədəkts
aquinos,əkinoʊz
arabs,æɹəbz
arafats,ɛɹəfæts
aramaic,ɑɹɑmɛjɪk
aranda,ɝændə
araskog,ɝæsɑɡ
arbat,ɑɹbæt
arbitrate,ɑɹbətɹeɪt
arbitron,ɑɹbətɹɑn
arbour,ɑɹbɝ
arcadia,ɑɹkeɪdiə
arce,ɑɹs
archduke,ɑɹtʃduk
arches,ɑɹtʃəz
arciniega,ɑɹtʃiniɡə
ardine,ɑɹdini
ardrey,ɑɹdɹi
areas,ɛɹiəz
arena,ɝinə
arenellas,ɑɹənɛɫəz
aretina,ɑɹɛtinə
argenta,ɑɹdʒɛntə
argiro,ɑɹdʒɪɹoʊ
argueta,ɑɹɡeɪtə
argyll,ɑɹɡaɪɫ
arias,ɑɹiəz
arington,ɑɹɪŋtən
arista,ɝɪstə
arizonan,ɝɪzoʊnən
arkady,ɑɹkeɪdi
arklas,ɑɹkɫəz
arlin,ɑɹɫɪn
armas,ɑɹməz
armchairs,ɑɹmtʃɛɹz
armenias,ɑɹminiəz
armetta,ɑɹmɛtə
armine,ɑɹmini
armon,ɑɹmən
armrest,ɑɹmɹɛst
armteks,ɑɹmtɛks
arnaud,ɑɹnoʊ
arneson,ɑɹnɪsən
arnolds,ɑɹnəɫdz
arnst,ɑɹnst
arocho,ɑɹoʊkoʊ
aronowitz,ɝɑnəwɪts
arousal,ɝaʊzəɫ
arps,ɑɹps
arrays,ɝeɪz
arresting,ɝɛstɪŋ
arrogant,ɛɹəɡənt
arroyos,ɝɔɪoʊz
arsonists,ɑɹsənəsts
artemus,ɑɹtəməs
artful,ɑɹtfəɫ
arthurian,ɑɹθʊɹiən
articular,ɑɹtɪkjəɫɝ
artifice,ɑɹtəfɪs
artisans,ɑɹtəzənz
artley,ɑɹtɫi
artus,ɑɹtəs
arvey,ɑɹvi
arwood,ɑɹwʊd
as,ɛz
asaro,ɑsɑɹoʊ
asbill,əsbɪɫ
asch,æʃ
ascott,əskɑt
aselma,əsɛɫmə
ashamed,əʃeɪmd
ashcreek,æʃkɹik
ashes,æʃəz
ashlands,æʃɫəndz
ashram,æʃɹɑm
ashwell,æʃwɛɫ
asiaweek,eɪʒəwik
asimow,æsɪmoʊ
askers,æskɝz
askoldov,əskoʊɫdɑv
asman,æsmən
aspect,æspɛkt
aspirants,æspɝəns
aspired,əspaɪɹd
assads,əsɑdz
assaulted,əsɔɫtɪd
assembly,əsɛmbɫi
asserting,əsɝtɪŋ
assesses,əsɛsɪz
assholes,æshoʊɫz
assigns,əsaɪnz
assistant,əsɪstənt
assurance,əʃʊɹəns
assyrian,əsɪɹiən
asters,æstɝz
astonish,əstɑnɪʃ
astoria,æstɔɹiə
astrakhan,æstɹəkɑn
at,æt
atari,ətɑɹi
atchison,ætʃɪsən
atha,æθə
atheistic,eɪθiɪstɪk
atherton,æθɝtən
athletics,æθɫɛtɪks
atkins,ætkɪnz
atlanta,ætɫæntə
atler,ætɫɝ
atoll,ætɑɫ
atonement,ətoʊnmənt
attache,ætəʃeɪ
attacking,ətækɪŋ
attalla,ətæɫə
attempted,ətɛmptɪd
attesting,ətɛstɪŋ
attire,ətaɪɝ
attorneys,ətɝniz
attracts,ətɹækts
attrition,ətɹɪʃən
atx,eɪtiɛks
auckland,ɑkɫənd
audet,oʊdɛt
audience,ɑdiəns
audiotape,ɔdioʊteɪp
audited,ɔdɪtɪd
auditors,ɑdətɝz
auel,aʊəɫ
auge,ɔdʒ
augurs,ɔɡɝz
aulds,ɔɫdz
aung,ɔŋ
aunts,ænts
auroral,ɝɔɹəɫ
ausley,ɔsɫi
austat,oʊstæt
austine,ɔstin
auten,aʊtən
authier,ɔθiɝ
authors,ɔθɝz
auvil,oʊvɪɫ
avalons,ævəɫɑnz
avants,ɑvɔnts
avelar,ɑveɪɫɑɹ
avendano,ɑvɛndɑnoʊ
aventura,əvɛntʃɝɑ
averaged,ævɹədʒd
averill,ɑvɛɹiɫ
avert,əvɝt
aviacion,eɪvieɪʃən
aviators,eɪvieɪtɝz
avilla,əvɪɫə
avivs,ɑvivz
avoidable,əvɔɪdəbəɫ
avowed,əvaʊd
avuncular,əvəŋkjəɫɝ
awakened,əweɪkənd
awareness,əwɛɹnəs
awful,ɔfəɫ
awoke,əwoʊk
axelrad,æksɛɫɹəd
axiom,æksiəm
axons,æksɑnz
ayars,eɪɝz
aydin,eɪdɪn
ayers,eɪɝz
aymond,eɪmənd
ayres,ɛɹz
ayyash,aɪjæʃ
azcona,æzkoʊnə
azinger,eɪzɪŋɝ
azuka,əzukə
ba,bieɪ
baalbek,bɑɫbɛk
babbio,bæbioʊ
babbling,bæbəɫɪŋ
babiarz,bəbiɝz
babino,bɑbinoʊ
baboons,bəbunz
babysits,beɪbisɪts
bacchanal,bækɪnəɫ
bachand,bætʃənd
bachelor,bætʃɫɝ
bachmeier,bɑkmaɪɝ
bacino,bɑtʃinoʊ
backbone,bækboʊn
backdrops,bækdɹɑps
backfire,bækfaɪɹ
backhoe,bækhoʊ
backlog,bækɫɑɡ
backpedal,bækpɛdəɫ
backsaw,bæksɑ
backstop,bækstɑp
backups,bækəps
bacterias,bæktɪɹiəz
badami,bɑdɑmi
badens,bɑdənz
badges,bædʒɪz
badminton,bædmɪntən
baecker,bɛkɝ
baetjer,bɛtdʒɝ
bafokeng,bæfoʊkɛŋ
bageland,beɪɡəɫænd
baggett,bæɡɪt
baghdads,bæɡdædz
bagpiper,bæɡpaɪpɝ
bahama,bəhɑmə
bahls,bɑɫz
bahrain,bɑɹeɪn
bahre,bɑɹ
bailes,beɪɫz
baim,beɪm
bainton,beɪntən
bait,beɪt
bajema,bɑjeɪmə
bakeman,beɪkmən
bakey,beɪki
bakkers,beɪkɝz
bal,bæɫ
balanced,bæɫənst
balata,bæɫətə
balcer,beɪɫsɝ
balderson,bæɫdɝsən
baldly,bɔɫdɫi
baldridge,bæɫdɹɪdʒ
bale,beɪɫ
balfe,beɪɫf
ball,bɔɫ
ballcocks,bɔɫkɑks
ballester,bæɫɪstɝ
balliet,bæɫiɪt
ballo,bæɫoʊ
balloting,bæɫətɪŋ
ballys,beɪɫiz
balms,bɑmz
balsam,bɔɫsəm
balter,bɔɫtɝ
baltierra,bɑɫtɪɹə
baluja,bəɫudʒə
bamba,bæmbə
bamburg,bæmbɝɡ
banality,bənæɫɪti
banca,bɑŋkə
bands,bændz
bandanas,bændænəz
bandy,bændi
banfield,bænfiɫd
bangemann,bæŋɡəmən
bangkoks,bæŋkɑks
bangor,bæŋɡɔɹ
banishing,bænɪʃɪŋ
bankers,bæŋkɝz
banknote,bæŋknoʊt
banner,bænɝ
banos,bɑnoʊz
banshee,bænʃi
banton,bæntən
baptisms,bæptɪzəmz
baptized,bæptaɪzd
baraff,bɑɹɑf
barbeau,bɑɹboʊ
barbel,bɑɹbɛɫ
barbers,bɑɹbɝz
barbier,bɑɹbiɝ
barbour,bɑɹbɝ
barcellos,bɑɹsɛɫoʊz
barclays,bɑɹkɫiz
barcomb,bɑɹkəm
bardo,bɑɹdoʊ
bared,bɛɹd
barentine,bɛɹəntaɪn
barich,bæɹɪk
barings,bɛɹɪŋz
barium,bɛɹiəm
barker,bɑɹkɝ
barkman,bɑɹkmən
barletta,bɑɹɫɛtə
barnabas,bɑɹnəbəs
barnell,bɑɹnəɫ
barnfield,bɑɹnfiɫd
barnowski,bɑɹnaʊski
barometer,bɝɑmɪtɝ
baronet,bɛɹənət
barovic,bɛɹəvɪk
barraco,bɑɹɑkoʊ
barratt,bæɹət
barreled,bæɹəɫd
barricada,bɑɹɪkɑdə
barricks,bɛɹɪks
barrio,bɑɹioʊ
barritt,bɝɪt
barrowman,bæɹoʊmən
bars,bɑɹz
barsotti,bɑɹsoʊti
bartell,bɑɹteɪɫ
barth,bɑɹθ
bartles,bɑɹtəɫz
bartman,bɑɹtmən
bartosh,bɑɹtəʃ
bartz,bɑɹts
basa,bɑsə
bascay,bæskeɪ
baseboard,beɪsbɔɹd
basement,beɪsmənt
bash,bæʃ
bashful,bæʃfəɫ
basin,beɪsən
basked,bæskt
baskett,bæskɪt
basnight,bæznaɪt
bass,beɪs
bassette,bəsɛt
bassists,beɪsɪsts
bastards,bæstɝdz
bastin,bæstɪn
basu,bɑsu
batavia,bəteɪviə
bate,beɪt
bath,bæθ
bathke,bæθk
bathsheba,bæθʃibə
batiks,bətiks
battaglia,bɑtɑɡɫiə
batz,bæts
baucus,bɑkəs
bauknight,bɔknaɪt
baumer,baʊmɝ
baumgart,baʊmɡɑɹt
baus,bɔz
bauza,baʊzə
bawden,bɔdən
baxt,bækst
baybanks,beɪbæŋks
bayesian,beɪʒɪn
bayliner,beɪɫaɪnɝ
baynham,beɪnhəm
bayse,beɪz
bazinet,bæzɪnɛt
bc,bisi
beachball,bitʃbɑɫ
beacon,bikən
beady,bidi
beak,bik
bealeton,biɫtən
beamon,bimən
beara,bɛɹə
beardsley,bɪɹdzɫi
beason,bizən
beatie,biti
beato,biætoʊ
beatty,biti
beaucoup,boʊku
beauties,bjutiz
bebber,bɛbɝ
bec,bɛk
becerra,bɛtʃɛɹɑ
bechtle,bɛtʃtəɫ
beckers,bɛkɝz
becklund,bɛkɫənd
beckons,bɛkənz
becvar,bɛkvɝ
beddoe,bɛdoʊ
bedeviled,bɪdɛvəɫd
bedlam,bɛdɫəm
bednorz,bɛdnɔɹz
bedpan,bɛdpæn
beds,bɛdz
beebe,bibi
beecher,bitʃɝ
beef,bif
beehive,bihaɪv
beens,bɪnz
beerman,bɪɹmən
beethoven,beɪtoʊvən
beezley,bizɫi
before,bifɔɹ
befuddles,bɪfədəɫz
begelman,beɪɡəɫmən
begging,bɛɡɪŋ
begins,bɪɡɪnz
begrudge,bɪɡɹədʒ
behan,bɛhən
beheld,bihɛɫd
behler,bɛɫɝ
behnke,bɛŋk
behr,bɛɹ
behrmann,bɛɹmən
beil,biɫ
beisel,baɪsəɫ
beitler,baɪtɫɝ
bekers,bɛkɝz
belanger,bɛɫəŋɝ
belcher,bɛɫtʃɝ
belford,bɛɫfɝd
belgique,bɛɫʒik
beli,bɛɫi
believe,bɪɫiv
belisle,bɛɫaɪəɫ
belka,bɛɫkə
belland,bɛɫənd
bellboy,bɛɫbɔɪ
bellevue,bɛɫvju
bellinis,bɛɫiniz
bello,bɛɫoʊ
belnap,bɛɫnæp
belongs,bɪɫɔŋz
belser,bɛɫsɝ
belter,bɛɫtɝ
belue,bɛɫju
belvoir,bɛɫvwɑɹ
bem,bɛm
bemoaning,bɪmoʊnɪŋ
benanty,bɛnɑnti
benbrook,bɛnbɹʊk
bendele,bɛndəɫ
bendler,bɛndɫɝ
benel,bɛnəɫ
benets,bəneɪz
bengel,bɛŋɡəɫ
benight,binaɪt
benihana,bɛnɪhɑnə
benjimen,bɛndʒəmɪn
benne,bɛn
bennigans,bɛnɪɡənz
bennitt,bɛnɪt
bensalem,bɛnseɪɫəm
benskin,bɛnskɪn
benter,bɛntɝ
bentsen,bɛntsən
benway,bɛnweɪ
benzie,bɛnzi
bequest,bɪkwɛst
berbick,bɝbɪk
berdine,bɝdini
berend,bɛɹɛnd
beret,bɛɹət
bergevin,bɝɡɛvɪn
bergling,bɝɡɫɪŋ
bergstedt,bɝɡstɛt
bergum,bɝɡəm
berke,bɝk
berkey,bɝki
berkowitz,bɝkəwɪts
berlins,bɝɫɪnz
berlitz,bɝɫɪts
bermel,bɝməɫ
bernacki,bɝnɑtski
bernay,bɝneɪ
bernhard,bɝnhɑɹd
berning,bɝnɪŋ
berras,bɛɹəz
berrys,bɛɹiz
berstein,bɝstin
berthelot,bɝθəɫɑt
bertin,bɝtɪn
bertolini,bɝtoʊɫini
bertsch,bɝtʃ
berwanger,bɝwɔŋɝ
besch,bɛʃ
beset,bɪsɛt
besides,bɪsaɪdz
bespeak,bɪspik
bessette,bɪsɛt
bests,bɛsts
bestows,bɪstoʊz
beswick,bɛswɪk
betancur,bətæŋkɝ
beths,bɛθs
bethpage,bɛθpeɪdʒ
betrayed,bɪtɹeɪd
bettering,bɛtɝɪŋ
bettino,bɛtinoʊ
between,bitwin
beucler,bɔɪkəɫɝ
beuys,bjuiz
bevens,bivənz
bevil,bɛvəɫ
beware,bɪwɛɹ
bey,beɪ
beyond,biɔnd
bhagwan,bɑɡwɑn
bhutto,butoʊ
biamonte,biəmɔnti
biases,baɪəsɪz
bibbs,bɪbz
bibler,baɪbəɫɝ
biby,baɪbi
bickert,bɪkɝt
bickmore,bɪkmɔɹ
bicycles,baɪsɪkəɫz
biddable,bɪdəbəɫ
biddle,bɪdəɫ
bidlack,bɪdɫæk
bieker,bikɝ
bielefeld,biɫɪfɛɫd
bieniek,bɪniɛk
bierman,bɪɹmən
bietz,bits
bifulco,bɪfuɫkoʊ
bigford,bɪɡfɝd
biggs,bɪɡz
biglin,bɪɡɫɪn
bigs,bɪɡz
biker,baɪkɝ
bila,biɫə
bilby,bɪɫbi
bilger,bɪɫɡɝ
bilka,bɪɫkə
billett,bɪɫɪt
billings,bɪɫɪŋz
billowing,bɪɫoʊɪŋ
bilow,bɪɫoʊ
bilyeu,bɪɫiu
bimonthly,baɪmənθɫi
binders,baɪndɝz
binetti,bɪnɛti
binger,bɪŋɝ
bink,bɪŋk
bionic,baɪɔnɪk
bip,bɪp
bir,bɝ
birchler,bɝkɫɝ
birder,bɝdɝ
birdsell,bɝdsəɫ
birkett,bɝkɪt
birle,bɝɫ
biron,baɪɹən
birthmark,bɝθmɑɹk
birtley,bɝtɫi
bisel,bɪsəɫ
bishops,bɪʃəps
bismarcks,bɪzmɑɹks
bisset,bɪsɪt
bistodeau,bɪstədoʊ
bitchy,bɪtʃi
bitler,baɪtɫɝ
bitterly,bɪtɝɫi
bitting,bɪtɪŋ
bitz,bɪts
bivouac,bɪvwæk
bizet,bɪzɛt
bjoern,bjɔɹn
blabbers,bɫæbɝz
blacker,bɫækɝ
blacklock,bɫækɫɑk
blackness,bɫæknəs
blackwood,bɫækwʊd
blaesing,bɫɛsɪŋ
blairs,bɫɛɹz
blakelys,bɫeɪkɫiz
blakesley,bɫeɪksɫi
blanchett,bɫæntʃɪt
blandin,bɫændɪn
blaney,bɫeɪni
blankley,bɫæŋkɫi
blared,bɫɛɹd
blasi,bɫeɪzi
blasius,bɫeɪsiɪs
blastdown,bɫæstdaʊn
blaszak,bɫɑʃək
blattner,bɫætnɝ
blay,bɫeɪ
blazek,bɫɑzɛk
bleary,bɫɪɹi
bled,bɫɛd
blehm,bɫɛm
blemishes,bɫɛmɪʃɪz
blick,bɫɪk
blind,bɫaɪnd
blinds,bɫaɪndz
blips,bɫɪps
blitzer,bɫɪtsɝ
bloated,bɫoʊtɪd
blochs,bɫɑks
blockage,bɫɑkɪdʒ
bloemer,bɫoʊmɝ
blok,bɫɑk
blond,bɫɑnd
bloodless,bɫədɫəs
bloomberg,bɫumbɝɡ
blotnick,bɫɑtnɪk
blouses,bɫaʊsəz
blowed,bɫoʊd
blowier,bɫoʊiɝ
blows,bɫoʊz
blubaugh,bɫəbɔ
bluejay,bɫudʒeɪ
bluesy,bɫuzi
bluhdorn,bɫədɔɹn
blunck,bɫəŋk
blurred,bɫɝd
blushes,bɫəʃəz
blye,bɫaɪ
boals,boʊɫz
boarders,bɔɹdɝz
boardroom,bɔɹdɹum
boasted,boʊstəd
boating,boʊtɪŋ
boats,boʊts
bobber,bɑbɝ
bobble,bɔbəɫ
bobek,boʊbɪk
bobrowski,bəbɹɔfski
boccio,boʊtʃioʊ
bochner,bɑknɝ
bocuse,boʊkjuz
bodegas,boʊdeɪɡəs
bodikova,bɑdɪkoʊvə
boe,boʊ
boege,boʊdʒ
boehme,beɪm
boeing,boʊɪŋ
boening,bɑənɪŋ
boesch,boʊʃ
boettcher,boʊtʃɝ
bog,bɔɡ
bogey,boʊɡi
bogging,bɔɡɪŋ
bogie,bʊɡi
bogucki,bəɡətski
bohannon,bɑhənɑn
bohle,boʊhəɫ
bohlmann,boʊɫmən
bohnet,bɑnɪt
boies,bɔɪz
boitano,bɔɪtɑnoʊ
boker,boʊkɝ
bolanger,boʊɫəndʒɝ
boldest,boʊɫdɪst
bolduc,boʊɫdək
boles,boʊɫz
bolin,boʊɫɪn
bolivias,bəɫɪviəz
bollig,bɑɫɪɡ
bolly,bɔɫi
bolsas,boʊɫsəz
bolster,boʊɫstɝ
bolthouse,boʊɫthaʊs
bom,bɑm
bombed,bɑmd
bombs,bɑmz
bonadio,boʊnɑdioʊ
bonds,bɑndz
bondi,bɑndi
bonesteel,boʊnstiɫ
bongarten,bɑŋɡɑɹtən
bonier,bɑnjɝ
bonino,boʊninoʊ
bonns,bɑnz
bonobo,bɑnəbə
bonta,bɑntə
bonwell,bɑnwɛɫ
boodle,budəɫ
booher,buɝ
booked,bʊkt
bookish,bʊkɪʃ
bookmark,bʊkmɑɹk
bookstore,bʊkstɔɹ
booms,bumz
boonton,buntən
boorman,bʊɹmən
boothe,buð
boozer,buzɝ
bopper,bɑpɝ
borchard,bɝʃɑɹd
bordas,bɔɹdəz
borders,bɔɹdɝz
bore,bɔɹ
boren,bɔɹən
borger,bɔɹɡɝ
borgmeyer,bɔɹɡmaɪɝ
bork,bɔɹk
born,bɔɹn
borns,bɔɹnz
borosage,bɔɹəsɪdʒ
borroff,bɔɹɔf
borrowman,bɑɹoʊmən
borsodi,bɔɹsɔdi
bortnick,bɔɹtnɪk
bos,bɑs
bosco,bɔskoʊ
boshers,bɑʃɝz
bosnia,bɑzniə
boss,bɑs
bossert,bɑsɝt
bossler,bɑsɫɝ
bostock,boʊstɑk
bosworth,bɔzwɝθ
botched,bɑtʃt
bothas,bɑθəz
bothers,bɑðɝz
botos,boʊtoʊz
bottcher,bɑttʃɝ
bottled,bɑtəɫd
bottorff,bɑtɝf
boucher,bɔtʃɝ
boudreaux,budɹoʊ
bought,bɑt
boulais,buɫeɪ
bouler,baʊɫɝ
boulter,boʊɫtɝ
bounces,baʊnsɪz
bounded,baʊndɪd
bouquet,bukeɪ
bourg,bɔɹɡ
bourland,bʊɹɫænd
bourses,bɔɹsɪz
bout,baʊt
bouts,baʊts
bouygues,bɔɪʒeɪ
bovey,boʊvi
bowater,baʊətɝ
bowe,boʊ
bowing,baʊɪŋ
bowlers,boʊɫɝz
bowmans,boʊmənz
