[1/100] - ptime: 15.89 loss_d: 1.365, loss_g: 0.728
[1/100] - ptime: 14.49 loss_d: 1.375, loss_g: 0.846
Word: abie  	Gen. IPA: kkkkk 	Real IPA: æbi
Word: gaar  	Gen. IPA: kkkkk 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: kkkkk 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: kkkkk 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: kkkkk 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: kkkkk 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: kkkkk 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: kkkkk 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: kkkkk 	Real IPA: hʊk
Word: ifas  	Gen. IPA: kkkkk 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: kkkkk 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: kkkkk 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: kkkkk 	Real IPA: dʒæks
Word: jut   	Gen. IPA: kkkkk 	Real IPA: dʒət
Word: kelm  	Gen. IPA: kkkkk 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: kkkkk 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: kkkkk 	Real IPA: kɪs
Word: kolb  	Gen. IPA: kkkkk 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: kkkkk 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: kkkkk 	Real IPA: ɫijə
Word: lord  	Gen. IPA: kkkkk 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: kkkkk 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: kkkkk 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: kkkkk 	Real IPA: mænzi
Word: marfa 	Gen. IPA: kkkkk 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: kkkkk 	Real IPA: mætɪs
Word: meave 	Gen. IPA: kkkkk 	Real IPA: miv
Word: mores 	Gen. IPA: kkkkk 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: kkkkk 	Real IPA: mɹək
Word: ndour 	Gen. IPA: kkkkk 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: kkkkk 	Real IPA: næŋ
Word: nazer 	Gen. IPA: kkkkk 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: kkkkk 	Real IPA: nɪni
Word: nods  	Gen. IPA: kkkkk 	Real IPA: nɑdz
Word: novi  	Gen. IPA: kkkkk 	Real IPA: noʊvi
Word: palla 	Gen. IPA: kkkkk 	Real IPA: pæɫə
Word: pense 	Gen. IPA: kkkkk 	Real IPA: pɛns
Word: pung  	Gen. IPA: kkkkk 	Real IPA: pəŋ
Word: quick 	Gen. IPA: kkkkk 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: kkkkk 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: kkkkk 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: kkkkk 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: kkkkk 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: kkkkk 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: kkkkk 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: kkkkk 	Real IPA: sæm
Word: sant  	Gen. IPA: kkkkk 	Real IPA: sænt
Word: searl 	Gen. IPA: kkkkk 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: kkkkk 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: kkkkk 	Real IPA: snup
Word: sous  	Gen. IPA: kkkkk 	Real IPA: suz
Word: stac  	Gen. IPA: kkkkk 	Real IPA: stæk
Word: sudan 	Gen. IPA: kkkkk 	Real IPA: sudæn
Word: tansy 	Gen. IPA: kkkkk 	Real IPA: tænzi
Word: tele  	Gen. IPA: kkkkk 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: kkkkk 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: kkkkk 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: kkkkk 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: kkkkk 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: kkkkk 	Real IPA: juɫi
Word: using 	Gen. IPA: kkkkk 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: kkkkk 	Real IPA: veɪs
Word: viag  	Gen. IPA: kkkkk 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: kkkkk 	Real IPA: weɪks
Word: warm  	Gen. IPA: kkkkk 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: kkkkk 	Real IPA: wik
Word: with  	Gen. IPA: kkkkk 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: kkkkk 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: kkkkk 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: kkkkk 	Real IPA: jaɪks
[2/100] - ptime: 13.63 loss_d: 1.167, loss_g: 1.402
Word: abie  	Gen. IPA: kkkkk 	Real IPA: æbi
Word: aglow 	Gen. IPA: kkkkk 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: kkkkk 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: kkkkk 	Real IPA: eɪm
Word: anast 	Gen. IPA: kkkkk 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: kkkkk 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: kkkkk 	Real IPA: ɔd
Word: babas 	Gen. IPA: kkkkk 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: kkkkk 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: kkkkk 	Real IPA: bæz
Word: bein  	Gen. IPA: kkkkk 	Real IPA: biɪn
Word: betta 	Gen. IPA: kkkkk 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: kkkkk 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: kkkkk 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: kkkkk 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: kkkkk 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: kkkkk 	Real IPA: siɫ
Word: comes 	Gen. IPA: kkkkk 	Real IPA: kəmz
Word: copp  	Gen. IPA: kkkkk 	Real IPA: kɑp
Word: cowl  	Gen. IPA: kkkkk 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: kkkkk 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: kkkkk 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: kkkkk 	Real IPA: dɛm
Word: delft 	Gen. IPA: kkkkk 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: kkkkk 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: kkkkk 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: kkkkk 	Real IPA: ɝinə
Word: every 	Gen. IPA: kkkkk 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: kkkkk 	Real IPA: aɪz
Word: fiat  	Gen. IPA: kkkkk 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: kkkkk 	Real IPA: fui
Word: gaar  	Gen. IPA: kkkkk 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: kkkkk 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: kkkkk 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: kkkkk 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: kkkkk 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: kkkkk 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: kkkkk 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: kkkkk 	Real IPA: hʊk
Word: ifas  	Gen. IPA: kkkkk 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: kkkkk 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: kkkkk 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: kkkkk 	Real IPA: dʒæks
Word: jut   	Gen. IPA: kkkkk 	Real IPA: dʒət
Word: kelm  	Gen. IPA: kkkkk 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: kkkkk 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: kkkkk 	Real IPA: kɪs
Word: kolb  	Gen. IPA: kkkkk 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: kkkkk 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: kkkkk 	Real IPA: ɫijə
Word: lord  	Gen. IPA: kkkkk 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: kkkkk 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: kkkkk 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: kkkkk 	Real IPA: mænzi
Word: marfa 	Gen. IPA: kkkkk 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: kkkkk 	Real IPA: mætɪs
Word: meave 	Gen. IPA: kkkkk 	Real IPA: miv
Word: mores 	Gen. IPA: kkkkk 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: kkkkk 	Real IPA: mɹək
Word: ndour 	Gen. IPA: kkkkk 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: kkkkk 	Real IPA: næŋ
Word: nazer 	Gen. IPA: kkkkk 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: kkkkk 	Real IPA: nɪni
Word: nods  	Gen. IPA: kkkkk 	Real IPA: nɑdz
Word: novi  	Gen. IPA: kkkkk 	Real IPA: noʊvi
Word: palla 	Gen. IPA: kkkkk 	Real IPA: pæɫə
Word: pense 	Gen. IPA: kkkkk 	Real IPA: pɛns
Word: pung  	Gen. IPA: kkkkk 	Real IPA: pəŋ
Word: quick 	Gen. IPA: kkkkk 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: kkkkk 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: kkkkk 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: kkkkk 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: kkkkk 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: kkkkk 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: kkkkk 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: kkkkk 	Real IPA: sæm
Word: sant  	Gen. IPA: kkkkk 	Real IPA: sænt
Word: searl 	Gen. IPA: kkkkk 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: kkkkk 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: kkkkk 	Real IPA: snup
Word: sous  	Gen. IPA: kkkkk 	Real IPA: suz
Word: stac  	Gen. IPA: kkkkk 	Real IPA: stæk
Word: sudan 	Gen. IPA: kkkkk 	Real IPA: sudæn
Word: tansy 	Gen. IPA: kkkkk 	Real IPA: tænzi
Word: tele  	Gen. IPA: kkkkk 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: kkkkk 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: kkkkk 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: kkkkk 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: kkkkk 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: kkkkk 	Real IPA: juɫi
Word: using 	Gen. IPA: kkkkk 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: kkkkk 	Real IPA: veɪs
Word: viag  	Gen. IPA: kkkkk 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: kkkkk 	Real IPA: weɪks
Word: warm  	Gen. IPA: kkkkk 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: kkkkk 	Real IPA: wik
Word: with  	Gen. IPA: kkkkk 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: kkkkk 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: kkkkk 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: kkkkk 	Real IPA: jaɪks
[3/100] - ptime: 13.64 loss_d: 1.722, loss_g: 2.528
Word: abie  	Gen. IPA: hhðdɔ 	Real IPA: æbi
Word: aglow 	Gen. IPA: hhðdɔ 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: hhðdɔ 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: hhðdɔ 	Real IPA: eɪm
Word: anast 	Gen. IPA: hhðdh 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: hhðdɔ 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: hhðdɔ 	Real IPA: ɔd
Word: babas 	Gen. IPA: hhðdh 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: hhðdb 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: hhðdb 	Real IPA: bæz
Word: bein  	Gen. IPA: hhðdb 	Real IPA: biɪn
Word: betta 	Gen. IPA: hhðdb 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: hhðdb 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: hhðdb 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: hhðdb 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: hhðdb 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: hhhdh 	Real IPA: siɫ
Word: comes 	Gen. IPA: hhhdð 	Real IPA: kəmz
Word: copp  	Gen. IPA: hhhdð 	Real IPA: kɑp
Word: cowl  	Gen. IPA: hhhdð 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: hhhdð 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: hhðdf 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: hhðdf 	Real IPA: dɛm
Word: delft 	Gen. IPA: hhðdf 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: hhðdf 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: hhðdf 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: hhðdə 	Real IPA: ɝinə
Word: every 	Gen. IPA: hhðdh 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: hhðdh 	Real IPA: aɪz
Word: fiat  	Gen. IPA: hhðdɹ 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: hhðdɹ 	Real IPA: fui
Word: gaar  	Gen. IPA: hhðdp 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: hhðdp 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: hhðdp 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: hhðdp 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: hhðdp 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: hhðdp 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: hhðdp 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: hhðdw 	Real IPA: hʊk
Word: ifas  	Gen. IPA: hhhdð 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: hhhdð 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: hhhdð 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: hhðhd 	Real IPA: dʒæks
Word: jut   	Gen. IPA: hhðhd 	Real IPA: dʒət
Word: kelm  	Gen. IPA: hhðdh 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: hhðdh 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: hhðdh 	Real IPA: kɪs
Word: kolb  	Gen. IPA: hhðdh 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: hhðds 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: hhðds 	Real IPA: ɫijə
Word: lord  	Gen. IPA: hhðds 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: hhðds 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: hhðdθ 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: hhðdθ 	Real IPA: mænzi
Word: marfa 	Gen. IPA: hhðdθ 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: hhðdθ 	Real IPA: mætɪs
Word: meave 	Gen. IPA: hhðdθ 	Real IPA: miv
Word: mores 	Gen. IPA: hhðdθ 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: hhðdθ 	Real IPA: mɹək
Word: ndour 	Gen. IPA: hhðdɹ 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: hhðdh 	Real IPA: næŋ
Word: nazer 	Gen. IPA: hhðdɹ 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: hhðdh 	Real IPA: nɪni
Word: nods  	Gen. IPA: hhðdɹ 	Real IPA: nɑdz
Word: novi  	Gen. IPA: hhðdɹ 	Real IPA: noʊvi
Word: palla 	Gen. IPA: hhðdf 	Real IPA: pæɫə
Word: pense 	Gen. IPA: hhðdf 	Real IPA: pɛns
Word: pung  	Gen. IPA: hhðdf 	Real IPA: pəŋ
Word: quick 	Gen. IPA: hhðdi 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: hhðdz 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: hhðdz 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: hhðdz 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: hhðdz 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: hhðdz 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: hhðdz 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: hhðdb 	Real IPA: sæm
Word: sant  	Gen. IPA: hhðdb 	Real IPA: sænt
Word: searl 	Gen. IPA: hhðdb 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: hhðdb 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: hhðdb 	Real IPA: snup
Word: sous  	Gen. IPA: hhðdh 	Real IPA: suz
Word: stac  	Gen. IPA: hhðdb 	Real IPA: stæk
Word: sudan 	Gen. IPA: hhðdb 	Real IPA: sudæn
Word: tansy 	Gen. IPA: hhðdm 	Real IPA: tænzi
Word: tele  	Gen. IPA: hhðdm 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: hhðdm 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: hhðdm 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: hhðdm 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: hhðdm 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: hhðdh 	Real IPA: juɫi
Word: using 	Gen. IPA: hhðdə 	Real IPA: juzɪŋ
Word: vase  	Gen. IPA: hhðdv 	Real IPA: veɪs
Word: viag  	Gen. IPA: hhðdv 	Real IPA: vaɪæɡ
Word: wakes 	Gen. IPA: hhðdw 	Real IPA: weɪks
Word: warm  	Gen. IPA: hhðdw 	Real IPA: wɔɹm
Word: weick 	Gen. IPA: hhðdw 	Real IPA: wik
Word: with  	Gen. IPA: hhðdw 	Real IPA: wɪθ
Word: wolfe 	Gen. IPA: hhðdw 	Real IPA: wʊɫf
Word: yauch 	Gen. IPA: hhðdp 	Real IPA: jɔtʃ
Word: yikes 	Gen. IPA: hhðdp 	Real IPA: jaɪks
[1/100] - ptime: 14.56 loss_d: 1.374, loss_g: 0.774
Word: abie  	Gen. IPA: ððððð 	Real IPA: æbi
Word: aglow 	Gen. IPA: ððððð 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: ððððð 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: ððððð 	Real IPA: eɪm
Word: anast 	Gen. IPA: ððððð 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: ððððð 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: ððððð 	Real IPA: ɔd
Word: babas 	Gen. IPA: ððððð 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: ððððð 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: ððððð 	Real IPA: bæz
Word: bein  	Gen. IPA: ððððð 	Real IPA: biɪn
Word: betta 	Gen. IPA: ððððð 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: ððððð 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: ððððð 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: ððððð 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: ððððð 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: ððððð 	Real IPA: siɫ
Word: comes 	Gen. IPA: ððððð 	Real IPA: kəmz
Word: copp  	Gen. IPA: ððððð 	Real IPA: kɑp
Word: cowl  	Gen. IPA: ððððð 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: ððððð 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: ððððð 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: ððððð 	Real IPA: dɛm
Word: delft 	Gen. IPA: ððððð 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: ððððð 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: ððððð 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: ððððð 	Real IPA: ɝinə
Word: every 	Gen. IPA: ððððð 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: ððððð 	Real IPA: aɪz
Word: fiat  	Gen. IPA: ððððð 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: ððððð 	Real IPA: fui
Word: gaar  	Gen. IPA: ððððð 	Real IPA: ɡɑɹ
Word: genre 	Gen. IPA: ððððð 	Real IPA: ʒɑnɹə
Word: gerk  	Gen. IPA: ððððð 	Real IPA: ɡɝk
Word: ghent 	Gen. IPA: ððððð 	Real IPA: ɡɛnt
Word: glint 	Gen. IPA: ððððð 	Real IPA: ɡɫɪnt
Word: goree 	Gen. IPA: ððððð 	Real IPA: ɡɔɹi
Word: grob  	Gen. IPA: ððððð 	Real IPA: ɡɹɑb
Word: hooke 	Gen. IPA: ððððð 	Real IPA: hʊk
Word: ifas  	Gen. IPA: ððððð 	Real IPA: aɪfəs
Word: imbed 	Gen. IPA: ððððð 	Real IPA: ɪmbɛd
Word: issa  	Gen. IPA: ððððð 	Real IPA: ɪsə
Word: jacks 	Gen. IPA: ððððð 	Real IPA: dʒæks
Word: jut   	Gen. IPA: ððððð 	Real IPA: dʒət
Word: kelm  	Gen. IPA: ððððð 	Real IPA: kɛɫm
Word: kerin 	Gen. IPA: ððððð 	Real IPA: kɛɹɪn
Word: kis   	Gen. IPA: ððððð 	Real IPA: kɪs
Word: kolb  	Gen. IPA: ððððð 	Real IPA: koʊɫb
Word: lape  	Gen. IPA: ððððð 	Real IPA: ɫeɪp
Word: leija 	Gen. IPA: ððððð 	Real IPA: ɫijə
Word: lord  	Gen. IPA: ððððð 	Real IPA: ɫɔɹd
Word: lucco 	Gen. IPA: ððððð 	Real IPA: ɫukoʊ
Word: mails 	Gen. IPA: ððððð 	Real IPA: meɪɫz
Word: manzi 	Gen. IPA: ððððð 	Real IPA: mænzi
Word: marfa 	Gen. IPA: ððððð 	Real IPA: mɑɹfə
Word: matus 	Gen. IPA: ððððð 	Real IPA: mætɪs
Word: meave 	Gen. IPA: ððððð 	Real IPA: miv
Word: mores 	Gen. IPA: ððððð 	Real IPA: mɔɹiz
Word: mruk  	Gen. IPA: ððððð 	Real IPA: mɹək
Word: ndour 	Gen. IPA: ððððð 	Real IPA: ndaʊɹ
Word: nang  	Gen. IPA: ððððð 	Real IPA: næŋ
Word: nazer 	Gen. IPA: ððððð 	Real IPA: neɪzɝ
Word: ninny 	Gen. IPA: ððððð 	Real IPA: nɪni
Word: nods  	Gen. IPA: ððððð 	Real IPA: nɑdz
Word: novi  	Gen. IPA: ððððð 	Real IPA: noʊvi
Word: palla 	Gen. IPA: ððððð 	Real IPA: pæɫə
Word: pense 	Gen. IPA: ððððð 	Real IPA: pɛns
Word: pung  	Gen. IPA: ððððð 	Real IPA: pəŋ
Word: quick 	Gen. IPA: ððððð 	Real IPA: kwɪk
Word: rabel 	Gen. IPA: ððððð 	Real IPA: ɹæbəɫ
Word: rado  	Gen. IPA: ððððð 	Real IPA: ɹɑdoʊ
Word: rasp  	Gen. IPA: ððððð 	Real IPA: ɹæsp
Word: richa 	Gen. IPA: ððððð 	Real IPA: ɹɪtʃə
Word: roehm 	Gen. IPA: ððððð 	Real IPA: ɹoʊm
Word: rolt  	Gen. IPA: ððððð 	Real IPA: ɹoʊɫt
Word: sahm  	Gen. IPA: ððððð 	Real IPA: sæm
Word: sant  	Gen. IPA: ððððð 	Real IPA: sænt
Word: searl 	Gen. IPA: ððððð 	Real IPA: sɝɫ
Word: shunk 	Gen. IPA: ððððð 	Real IPA: ʃəŋk
Word: snoop 	Gen. IPA: ððððð 	Real IPA: snup
Word: sous  	Gen. IPA: ððððð 	Real IPA: suz
Word: stac  	Gen. IPA: ððððð 	Real IPA: stæk
Word: sudan 	Gen. IPA: ððððð 	Real IPA: sudæn
Word: tansy 	Gen. IPA: ððððð 	Real IPA: tænzi
Word: tele  	Gen. IPA: ððððð 	Real IPA: tɛɫi
Word: terms 	Gen. IPA: ððððð 	Real IPA: tɝmz
Word: tibia 	Gen. IPA: ððððð 	Real IPA: tɪbiə
Word: tosch 	Gen. IPA: ððððð 	Real IPA: tɔʃ
Word: trill 	Gen. IPA: ððððð 	Real IPA: tɹɪɫ
Word: ulee  	Gen. IPA: ððððð 	Real IPA: juɫi
Word: using 	Gen. IPA: ððððð 	Real IPA: juzɪŋ
