[1/100] - ptime: 18.52 loss_d: 1.364, loss_g: 0.622
[1/100] - ptime: 18.33 loss_d: 1.363, loss_g: 0.618
[1/100] - ptime: 18.49 loss_d: 1.332, loss_g: 0.636
Word: agnew     	Gen. IPA: znfhɪjovə 	Real IPA: æɡnju
Word: cupit     	Gen. IPA: ɹsb əŋ df 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: f sæ zmtθ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: vsɡwŋmɪ d 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: bʊzmnɪʒɔs 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ɹeofssɪhz 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA:  vɛʒtθnzd 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: dʒʊtejɛθæ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA:  fszəhɔ ɛ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: tovwzbzʒθ 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: dnvŋvʒ zo 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: dd jɡɡɹzɪ 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ɪæɔɛæsjzɪ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ɹzvbeθθeb 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA:  wŋɡobsŋɛ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: tŋæmŋ fe  	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: jsoʒʒʒ sɡ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ɛfdfzɔɹ ɹ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: jnvjɛɑæʊz 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: θɹθɔɡfvmʒ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ŋʒsɛvŋɹɑb 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: tʊɡæmoŋɑ  	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ɔdʊssʊɪ ɡ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: z ɛwæbæod 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: v ɛtndhʊ  	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: eɔɛensɡɑæ 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: vnɹmwdooɔ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: dɹbtɛvoɑb 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: znteɔæɪɡʊ 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ɛzwmbɪθʊɪ 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: tɔtɡmɹoɑʒ 	Real IPA: ɫin
Word: loong     	Gen. IPA:  sθhf ɛhŋ 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ɔæmʒŋwdzn 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ɔθdɔe ww  	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʒŋɪvfəfɪw 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʊɑæʒɪms s 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ɛɛsfedʒɡd 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: wəvɔvhʒŋs 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ŋesvɔhɹjɪ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: sʊshdswzj 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: oɛdsθhʒ ɔ 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: wvŋɡɛodms 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA:  vfʒeɹvef 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: sɔt ɔɛ sn 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʒɹfɛætəw  	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ɪɪwzvjd n 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: moɔfhesoʒ 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: tɑɡ noʒoŋ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ɡdwjnɔ mɔ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: esəθʊŋoəθ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: θte nnθ ʒ 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: bʊʒæehɹfɪ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: mwvzɛzfɪ  	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: fsɪʊsʊnɹt 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: fdhsvh mɛ 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: fŋɡhwvfsɡ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ɹwjɡowmjm 	Real IPA: ɹumən
Word: satires   	Gen. IPA: sɑwswʒsɪθ 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: θɡɔɑvəæe  	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: bŋf eʒtŋɪ 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʒθozsəʒdv 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: fɑɑæt ɔth 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: dæwɪjdmʊɛ 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: wəvʒɡvsɔf 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: nənɹɡ emf 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ɪz ɛæfddæ 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: həwæzeɹnh 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: wfteevɔɔm 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: soɪhmhnɡæ 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: æobfɔwtɛe 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: æzfmz oɑd 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ɑɛʒjæmθɡŋ 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: oɛbwz  tɑ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ɹss  sɪmɛ 	Real IPA: ətɝz
Word: views     	Gen. IPA: ɛfvbŋv ʊ  	Real IPA: vjuz
Word: voshell   	Gen. IPA:  ænʒæwɪɡɹ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: dtŋteɹʊʊæ 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: hʒvɔd ŋɪθ 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: jeəseʊmhw 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: jnjɪʊsbwm 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ɪjmɑʒɛbθŋ 	Real IPA: zɝk
[2/100] - ptime: 17.66 loss_d: 0.502, loss_g: 2.868
Word: agnew     	Gen. IPA: zjfhɪjovθ 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʒwedʊɹejʊ 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ɡtɑdʒɹt ʒ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: jszsdʊbfv 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ɔvŋo wsəʒ 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: θɪəhɪvdnh 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: hhəʒɔmɛmn 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: æŋhjvnɑdʊ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: f ɑæoobŋz 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ænədmsndw 	Real IPA: bɑs
Word: branch    	Gen. IPA: ɡŋɛ ʒɡævv 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: jeejəmʊfθ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: hvf ɔθɪɹf 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: sbɔstʊθɹw 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: tʒɛmhmɑɪɑ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ŋdɑəɹsɹov 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: wjʒjoʊoʊf 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ŋɹʊ mʊənɔ 	Real IPA: koʊmz
Word: contest   	Gen. IPA: dʒntɡvɛwj 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA:  θvjvɛʒvŋ 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ɹsɑ əŋ dz 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: f sæ zmtθ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: vsɡwŋmɪɹɔ 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: bʊsmnɪʒɔs 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ɹeofssɪhz 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA:  vɛʒtɛwod 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: dʒʊtejɛθæ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA:  fszəhɔ ɛ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ɑjvwzbzəθ 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: dnvŋvʒezo 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ddfjɡɡɹzɪ 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ɪæɔbæsjzɪ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ɹzvbeθæeb 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: zfŋɡobsŋɛ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: tŋæmm fʊɑ 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: jsoʒʒʒʊsɡ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ɛfdfzɔɹ ɹ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: jnvjɛdæʊt 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: θɹθɔɡfvmʒ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ŋʒsɛvsɹɑb 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: tʊɡæmoŋɑ  	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ɔdʊssʊɪsɡ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: z ɛwæbæod 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: v ɛɹndhʊz 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: eɔɛeŋbɡɑæ 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: vnɹmwoooɔ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: dɹbtɛjoɑb 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: zɔθeɔæɪɡʊ 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ɛzwmbwθʊɪ 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: jɔtɡmɹoɑʒ 	Real IPA: ɫin
Word: loong     	Gen. IPA:  sθhf ɛhŋ 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ɔæɹʒzwdzn 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ɛθdɛe wwɪ 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʒŋɪvŋʒfɪw 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʊɑæwədt s 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ɛɛsŋtdʒɡd 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: wəvɔvhʒŋs 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ŋesjɔhɹjɪ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: sʊsɑdswzj 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: oɛdsθhʒtɔ 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: wmŋɡɛodms 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: zvfʒeɹveʒ 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: sɔtɛŋɛ sn 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʒɹfɛætəwɑ 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ɪɪwzvjd ʊ 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: moɔfəesoʒ 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: tɑɡtnoʒoŋ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ɡdwjnɔɑmɔ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: estθʊŋoəθ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: θte nnθ ʒ 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: jʊʒæehɹfɪ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: mwvɛɛzfɪɔ 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: fssʊsʊnɹv 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: fdhsvf mn 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: fŋɡhwθfmɡ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ɹwjɡonmjm 	Real IPA: ɹumən
Word: satires   	Gen. IPA: sɑwswʒjɪθ 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: θɡɔɑvəæe  	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: bŋfɔeʒtŋɪ 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʒθozsəsdv 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: fɑɑæt ɔth 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: dæwwjdmʊɛ 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: wəjʒɡvɛɔf 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: nəneɡɑemf 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ɪz ɛæfdeæ 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: həwæzeɹnh 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: ʒfteevɔtm 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: soɪhmhnɡæ 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: æobfɔwtɛe 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: æzfmzɔoɑd 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ɑɛʒjæmθɡs 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: oɛbwɑæ tɑ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ɹss  sɪmɛ 	Real IPA: ətɝz
Word: views     	Gen. IPA: ɛfvbŋv ʊt 	Real IPA: vjuz
Word: voshell   	Gen. IPA:  ænʒæwɔɡɹ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: dtŋseɹʊʊə 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: hhvbjhŋɪθ 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: jetseʊmæw 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: jnjɪʊsbwm 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ɪjmɑʒɛbθŋ 	Real IPA: zɝk
[3/100] - ptime: 17.75 loss_d: 0.793, loss_g: 1.862
Word: agnew     	Gen. IPA: znfhɪjovθ 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʒwedʊɹæjʊ 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ɡtɑdʒɹtɹʒ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: jszjdʊbfv 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ɔzŋo wsəʒ 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: θɪwhɪvdnh 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: hhəʒɔmɛmn 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: æŋhjvnɑdʊ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: f ɑæoobŋz 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ænədmsndw 	Real IPA: bɑs
Word: branch    	Gen. IPA: ɡŋɛ θɡævə 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: zeejʒɡmfθ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: hvf ɔθɪɹf 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: sfɔstʊθɹw 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: tʒɛmhmɑɪɑ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ɹdɑəɹsɹov 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: wjʒjoʊoʊf 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ŋɹʊ mʊənɔ 	Real IPA: koʊmz
Word: contest   	Gen. IPA: əʒntfvɹwj 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA:  θvjvɛʒvŋ 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ɹsɑ əθ dz 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: f sæɹzmtθ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: vsɡwŋmɪɹɔ 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: bʊzmnɪʒɔs 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ɹeofssɪhz 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA:  ɑɛʒtɛwod 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: dʒʊtzjɛθæ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA:  fszəhɔ ɛ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: tovwzbzəθ 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: dnvŋvʒezo 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ddfjɡɡɹzɪ 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ɪæɔbæsjzɪ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ɹzvbeθæeb 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: zfŋɡobsŋɛ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: tŋæmm fʊ  	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: jsoʒʒʒʊsɡ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ɛfdfzɔɹ ɹ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: jnzjɛɔæʊt 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: θɹθɔɡfvmʒ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ŋʒsɛvsɹɑb 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: tʊɡæmoŋɑ  	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ɔdʊssʊɪsɡ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: z ɛwæbææd 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: v ɛɹndhʊz 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: eɔɛetbɡɑæ 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: vnɹmwoooɔ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: dɹbtɛjoɑb 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: zɔθeɔæɪɡʊ 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: ɛvwmbwθʊɪ 	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: jɔtɡmɹoɑʒ 	Real IPA: ɫin
Word: loong     	Gen. IPA:  sθhf ɛhŋ 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ɔæmʒŋwdzn 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: ɛθdɛe wwɪ 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: ʒŋɪvŋəfɪw 	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ʊɑæʒədt s 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ɛbsŋtdʒɡd 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: wəvɔvhʒŋs 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: ŋesjɔhɹjɪ 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: sʊsɑdswzθ 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: oɛdsθhʒtɔ 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: wmŋɡɛodms 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: evfʒeɹveʒ 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: sɔtɛɔɛ sn 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: ʒɹfɛætəwɑ 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: ɪɪwzvjdθʊ 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: moɔfhesoʒ 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: tɑɡtnɛʒoŋ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ɡdwjnɔwmɔ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: estθʊŋoəθ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: oæe nnθ ʒ 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA: bʊʒæehɹfɪ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: mwvɛɛzfɪɔ 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: fsɪʊsʊnɹt 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: fdhsvf mθ 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: fŋɡhwθfmɡ 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ɹwjɡowmjm 	Real IPA: ɹumən
Word: satires   	Gen. IPA: sɑwswʒjɪθ 	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: θmsɑvəæe  	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA: bŋfɔeʒtŋɪ 	Real IPA: saɪd
Word: sevey     	Gen. IPA: ʒθozsəsdv 	Real IPA: sɪveɪ
Word: sicilian  	Gen. IPA: fɑɑæt ɔth 	Real IPA: sɪsɪɫiən
Word: sison     	Gen. IPA: dæwwjdmʊɛ 	Real IPA: sɪsən
Word: sokol     	Gen. IPA: wəjʒɡvɛɔf 	Real IPA: soʊkəɫ
Word: spaugh    	Gen. IPA: nənɔɡɑemf 	Real IPA: spɔ
Word: staunton  	Gen. IPA: ɪz ɛæfdeæ 	Real IPA: stɔntən
Word: stocum    	Gen. IPA: həwæzeɹnh 	Real IPA: stoʊkəm
Word: surles    	Gen. IPA: wfteevɔɔm 	Real IPA: sɔɹəɫz
Word: tesler    	Gen. IPA: soɪhmhnɡæ 	Real IPA: tɛsəɫɝ
Word: thriller  	Gen. IPA: æobfɔwtɛe 	Real IPA: θɹɪɫɝ
Word: tracor    	Gen. IPA: æzfmzɔoɑd 	Real IPA: tɹɛkɝ
Word: tropworld 	Gen. IPA: ɑɛʒjæmθɡɑ 	Real IPA: tɹɑpwɝɫd
Word: unhinged  	Gen. IPA: oɛbwzæ tɑ 	Real IPA: ənhɪndʒd
Word: utters    	Gen. IPA: ɹss əsɪmɛ 	Real IPA: ətɝz
Word: views     	Gen. IPA: ɛfvbŋv ʊt 	Real IPA: vjuz
Word: voshell   	Gen. IPA: ʊænʒæwɔɡɹ 	Real IPA: vɑʃəɫ
Word: weisfeld  	Gen. IPA: dtŋseɹʊʊə 	Real IPA: waɪsfɛɫd
Word: whining   	Gen. IPA: hhvɔjhŋɪθ 	Real IPA: waɪnɪŋ
Word: wogoman   	Gen. IPA: jetseʊmæw 	Real IPA: woʊɡoʊmən
Word: wyly      	Gen. IPA: jnjɪʊsbwm 	Real IPA: waɪɫi
Word: zirk      	Gen. IPA: ɪjmɑʒɛbθŋ 	Real IPA: zɝk
[4/100] - ptime: 17.60 loss_d: 0.570, loss_g: 4.102
